Gene	RNA_FC	Chip_FC
serp2(2of2)	2.203473368	1.18548458
sfrp5(2of3)	-2.578118259	1.050293324
sgce(1of2)	2.987095804	0.597907629
sh2d5	2.504162051	1.485737651
sh3bp5(2of2)	-1.462889188	-1.668478095
shtn1(1of3)	1.448956288	-0.710907961
slc10a3	-1.188914787	0.802242232
slc23a1(2of2)	1.748765669	-1.034063542
slc25a15(2of2)	-2.961086859	-1.211165506
slc25a25(1of4)	-1.519341671	-0.64761801
slc25a25(4of4)	-2.407844087	1.054911562
slc25a30	3.76490888	0.676413604
slc2a9(5of7)	-1.229214499	-0.641421777
slc39a1(2of2)	1.532495855	-0.624904184
slc43a2(1of2)	2.578734145	-0.623308787
slc5a3	1.151399014	0.734105374
slc9a5	-1.988948278	1.871889195
smarcc2	-2.291724425	-0.69695963
smoc1	-4.25325835	-0.663874911
snx12	1.168826996	0.603442615
socs3	1.21199797	-0.584811055
sox10(1of2)	-2.065684005	0.743215899
sox9(2of3)	-1.392068656	0.65265036
sp140	-1.736332479	-1.153205934
sptssa	1.789885576	0.641858123
srprb	-1.079636422	0.631005575
srr(1of2)	-3.371526445	-1.545382289
sspn	3.144813428	0.600012426
st6gal2(1of2)	2.03454618	-0.749207564
stk35(1of2)	-3.67658021	0.780469312
stt3b(2of3)	-1.055261497	-0.800441909
stx11(2of4)	2.845223259	0.644353796
stx5	-1.674639615	0.66109918
sugt1(1of2)	1.381473525	0.671801309
sulf2(2of2)	-1.093035903	-0.633982108
supt5h(1of2)	4.377114575	-0.862519738
svopl	-2.218707761	-0.584524066
taf6l	-1.479916159	1.288360812
taok3(1of2)	1.796304752	-1.061503385
tbkbp1(2of2)	1.164825047	-0.637981594
tdp2(1of2)	-2.25736281	1.101477586
tespa1	-2.557563402	-0.744513063
tfeb	2.550767728	0.602475862
thsd4(2of2)	2.528383093	-0.608569535
tm7sf2	-1.611826325	1.014626569
tmem106b	1.034989145	0.599378019
tmem145	2.039128527	-0.607734437
tmem178b(3of3)	4.140923319	0.78129201
tmem179(1of2)	2.395577156	-0.83368994
tmem192(1of2)	1.501276186	0.747822833
tmem200c(1of2)	1.427464473	0.662897434
tmem235(2of2)	2.066307591	-0.707102399
tmem238(4of4)	1.41315629	0.621888453
tmem53(2of3)	-1.353089382	0.619266878
tmem97	1.355860294	1.177272998
tmx3(2of2)	2.659044724	-0.695452793
tnik(1of3)	1.409330979	-0.653954613
tnni1(3of5)	5.434801971	-0.595748856
tnrc18	1.428414692	-0.775822057
tonsl	-2.53978635	-0.632000016
trib2(1of2)	2.908642139	0.91597931
trim16(11of15)	1.325814749	0.761828922
trim36	-2.032710011	-0.731726206
trim68(1of2)	2.803422561	0.879973072
trim80(9of16)	2.79071921	-0.629746312
trpc1	4.500410227	0.96735753
trpv1(1of2)	1.044858991	-0.751563614
tspan5(2of2)	1.176215463	0.620133183
ttbk1	2.610311078	-0.798539759
ttbk2(1of2)	3.176337557	-0.671429626
ttll4	-2.358824603	0.935925314
ttll8	4.501932853	-0.856922181
tuba1c(2of10)	-2.421801441	0.595691028
tuba1c(4of10)	1.845383606	0.732168759
ulk2(1of2)	-1.572742722	-0.69186045
vat1(2of2)	-2.378251054	-0.681655084
vat1l(2of2)	-2.522935933	-1.673367595
vdac2(3of3)	-3.154773674	2.287289208
vgf(2of2)	2.181457339	-2.557023562
vgll1	1.432955929	1.011166305
vgll3	1.007997447	0.696826578
vit	-1.057204212	-0.632289036
vwa2	-1.126326022	0.642184961
wbp2(2of2)	2.357072799	0.581029097
wdr27	4.08558934	-0.625681997
wnt5a	-1.072411299	0.608531508
xkr7(2of2)	2.051082056	-2.788954477
ypel3	1.38969573	0.730529331
ypel5(2of2)	1.017723662	0.589911592
zar1(2of2)	4.874987517	-0.867607889
zbtb48(1of2)	-2.268865421	-0.619768697
zdhhc16(1of2)	-1.177353468	-0.627805664
zfp36l1(4of5)	2.227511938	0.754276037
zhx3(2of2)	1.499640467	-0.840299079
znf226(1of4)	1.202038603	2.35402694
znf235(57of148)	1.265771575	0.683304251
znf431	1.269033436	0.588371059
