Gene	Chip_FC	RNA_FC
bhlhe22	-1.47	-2.84639769
bhlhe40(1of2)	-1.16	2.404346883
bhlhe41	-1.66	2.009174069
bhmt(1of2)	-1.03	5.273828798
bin1(2of2)	-1.24	2.952509304
blvrb(1of2)	-1.07	-5.835172473
bmp2(1of2)	-1.39	1.872392992
bmp3	-1.37	-1.629146152
bmp5	-1.1	-1.195623039
bmp7(2of5)	-1.2	-1.636264756
bmp7(5of5)	-1.33	-2.569727703
bmper	-1.31	-1.109100712
bnc1	-2.34	-1.93186345
brsk1(3of3)	-1.49	1.061805954
btbd6(1of2)	-1.25	-1.046951423
c1orf216	-1.27	2.653509901
c2orf72	-1.37	-1.761524718
c8orf4(1of2)	-1.17	2.257022049
c9orf172(1of2)	-1.28	3.058005931
cables2(1of2)	-1.3	-1.936174299
cacna1a(3of3)	-1.02	-2.632525451
cacna2d3(1of4)	-1.45	-2.306818396
calm3(1of4)	-1.61	-1.981286562
caln1(2of2)	-1.06	1.642878152
calu(2of2)	-2.2	-1.576092108
camk1d(1of3)	-5.33	-1.288853693
camk2d(2of3)	-1.18	-2.418172422
camkmt	-5.52	-1.018878603
cap1	-1.53	-1.508687342
cap2	-1.45	1.736097983
capn1(3of3)	-1.06	3.469975777
capn2(3of3)	-1.49	-2.38728645
capn5(1of4)	-1.25	1.165797652
car4(2of2)	-1.13	-2.541383453
carkd	-1.21	2.129188434
cartpt(6of6)	-1.22	-3.38574366
casp1	-1.03	-1.86409514
casz1	-1.85	-2.027455331
cbx8(1of2)	-1.62	4.262299212
cbx8(2of2)	-1.28	1.282826757
ccdc136(2of4)	1.75	3.248970293
ccdc169	-6.22	-3.616409241
ccdc85b	-1.07	-1.034726817
ccdc85c(2of2)	-1.31	-2.146319701
cdh1	-1.21	-1.391277908
cdh11(1of2)	-1.24	-1.599247557
cdh20	-1.34	-1.764778578
cdh24(2of2)	-1.04	-3.910639076
cdh6	-1.35	-1.551882088
cdkn1b(1of3)	-3.45	5.090075042
cdkn1b(2of3)	-1.06	1.823790316
cdo1	-1.11	4.790386799
cdpf1	-1.54	-1.703068247
cdx2	-1.26	-4.446402829
cdx4(2of2)	-1.76	2.84167708
cebpd	-1.19	2.251039546
celf3(3of3)	-1.12	-2.738962205
cfap43	-1.73	2.1209369
chl1(2of2)	-1.67	1.116237161
chrd	-1.06	-1.4644628
chst12(2of3)	-1.04	-1.308250588
cic(1of2)	-2.08	1.117229158
ckap4	-1.26	-1.505023288
ckb(1of2)	-1.04	-1.468831998
ckb(2of2)	-1.04	-6.053936615
cldn11(1of2)	-1.02	-1.885070991
cldn23(2of2)	-1.36	-1.996206992
clip3	-1.2	3.275016162
clstn3	-1.13	2.57752301
cmip	-1.56	1.576173916
cnnm2(2of2)	-1.24	-1.228110487
cnnm4(2of2)	-1.85	1.94636455
cntn1(1of2)	-1.21	1.584855835
cntnap1	-1.11	-1.16288013
col11a1(4of4)	-1.11	-3.841148861
col12a1(1of2)	-1.32	-1.019082843
col26a1	-1.86	-2.52157747
col27a1(4of4)	-1.31	-2.028429035
col4a1(1of5)	-1.11	-2.378260612
col4a1(5of5)	-1.66	-3.374536266
comt	-1.19	2.481324804
cox4i1(1of2)	-1.68	-3.657144003
cox6b1(2of3)	-1.03	1.666549832
cplx3	-1.17	1.505915665
creb3l1	-1.07	-1.919131645
crebrf(1of2)	-1.21	1.007887035
csdc2(2of2)	-1.31	2.701275039
csnk1g2	-1.38	1.069961992
ctdspl(1of2)	-1.22	1.928114045
cux2	-1.1	-2.864097702
cxcl12(2of2)	-1.5	-1.126486345
cxcl14	-1.21	-1.024236834
cyp26b1	-1.45	-4.042446739
cyp26c1	-1.43	-3.100006067
cyr61(1of5)	-1.57	1.054029154
dach1(1of2)	-1.08	-3.794523985
dach1(2of2)	-1.13	-1.689431584
dazap1	-1.87	-2.05979188
dbx1(2of2)	-1.36	-3.11427207
dcaf7(1of2)	-2.48	-5.814787084
dcc(1of2)	-1.46	-1.255552289
dgat1(1of3)	-1.41	1.785615737
dgkb(2of4)	-1.02	2.074329547
dgkb(4of4)	-6.69	-2.723821549
dhfr(2of3)	-1.42	2.500534751
diaph3(1of4)	-1.34	-1.760680839
diras2(2of2)	-1.39	2.32185378
dkk2	-1.2	-2.724455798
dll1(1of5)	-1.22	-3.481609543
dll1(2of5)	-1.7	-1.793532578
dll1(3of5)	-1.49	-1.477006208
dlx2	-2.01	-2.105284832
dlx6(1of2)	-1.43	-4.010216933
dmrta2	-1.65	-3.327065329
dmtn(2of2)	-1.8	2.918322671
dnah10	-1.7	1.439708806
dnai2	-2.06	-2.561113523
dnmt3b(3of4)	-1.62	-2.123241617
dock3(2of2)	-1.12	2.127236874
dpp4	-1.43	-2.680329876
dpysl2(3of3)	-1.08	-2.771642176
drosha	-1.53	1.251950384
dusp26(3of5)	-1.78	3.668778022
dusp5	-1.32	-2.031651941
ebf1(2of2)	-1.24	-1.491439109
ebf2	-1.12	-2.505343186
edn1	-1.46	1.240536015
eepd1	-1.1	1.330995369
efemp1	-1.39	1.315171682
efna1(2of2)	-1.78	1.298940648
efna2(1of2)	-1.02	-4.669717933
efnb1	-1.2	-1.352889242
efnb2(2of3)	-1.25	1.214410209
eif3m	-2.32	1.866111904
elk4(3of3)	-1.79	-2.314052627
elmo3	-3.68	1.240893174
emid1	-1.37	-1.437889272
emilin3(1of2)	1.61	-3.68682122
eml3	-1.28	1.758149895
emx2	-1.49	-1.096865457
en1(2of2)	-1.26	-1.816167316
en2	-1.4	-1.685794999
epb41(1of2)	-1.47	1.400585882
epb41l4b	-1.31	1.453793819
epha4(1of3)	-1.02	-1.15618284
epha4(3of3)	-1.2	-1.651775921
ephb3(2of2)	-1.48	-1.189687935
epm2a	-2.62	2.500794926
erbb2	-1.09	1.060641993
ermp1	-1.71	-4.06345304
esm1	-1.09	-2.361503906
esyt1(2of2)	-1.34	-5.900354592
ets1(3of3)	-1.73	-1.615747387
etv5(2of2)	-1.44	-3.171322014
eva1b	-3.94	-1.094589847
eva1c(1of4)	-1.72	4.517681803
evl(1of4)	-1.28	1.233546686
ext1(1of4)	-1.7	2.009166227
ext1(2of4)	-1.16	-2.0105995
eya2	-1.03	-2.033066016
eya4	-2.68	-1.74994227
fam129b	-1.34	1.448950057
fam150b	-1.19	-3.054171815
fam155a(2of2)	-1.07	-1.882360098
fam181a	-1.35	-1.870741157
fam185a	-1.12	3.420789399
fam20c(1of6)	-1.25	1.07789099
fam222a(1of2)	-1.34	-2.187573648
fam49b(1of3)	-1.32	-1.339567005
fam49b(3of3)	-1.39	-3.129895021
fam60a(1of2)	-8.18	3.184180733
fam69b	-1.31	2.764270437
fam69c	-1.97	-1.775975685
fam83d	-1.85	-1.602295585
fam84a	-1.18	1.212175807
fam89a	-2.51	-1.075100659
fap	-1.2	-1.631401751
fat2(1of2)	-1.15	-2.535255439
fat4(2of5)	-1.32	-2.462601512
fbn2(3of3)	-1.07	-1.414196365
fcgbp(1of3)	2.3	-5.071656568
fgf10(1of2)	-1.87	-1.247486009
fgf10(2of2)	-1.78	-2.478948364
fgf18(2of2)	-1.43	-2.073539701
fgf8(2of2)	-1.5	-1.421628737
fgfbp1(1of3)	-1.48	3.619452526
fgl1(3of3)	-1.33	3.903562532
fgl2(2of3)	-2.18	-1.768919879
fhl1	-1.6	1.410341619
flad1	-1.33	-2.69932517
fli1(1of2)	-1.27	-1.549470649
flrt3	-1.5	-1.482630129
flt1(2of2)	-1.68	1.209806937
fn1(2of3)	-1.06	2.309431092
fn1(3of3)	3.85	-1.958184386
foxd1(1of3)	-1.43	-2.9854772
foxd1(2of3)	-1.39	-1.372028366
foxd3	-1.7	-2.701413722
foxe1(2of2)	-1.51	-1.267660937
foxg1(1of3)	-1.15	-1.820369012
foxl1(2of2)	-1.58	-4.78953795
fras1	-1.68	-1.471464809
frem2(1of3)	-1.28	-2.063205618
frk	-1.17	-1.460537826
fut5	-1.21	-2.893947867
fzd1	-1.06	-1.435914355
fzd10	-1.5	-1.611165358
gabra5(2of2)	-1.14	-2.430172719
gad1(1of2)	-1.17	-2.450386084
gadd45b(1of2)	-1.59	1.384634515
gadd45g(1of3)	-1.33	-2.331819141
gadd45g(3of3)	-1.09	-1.604874681
gadd45gip1	-1.31	-2.170930342
gak	-1.08	-1.571412652
galnt18(4of6)	-1.02	1.476207993
galnt3	-1.23	-1.615579925
galnt6(1of2)	-1.17	-1.998057689
gas1(1of3)	-1.31	-1.357174477
gas7(2of2)	-2.02	1.75780919
gatm	-6.07	-2.657211641
gchfr	-1.16	4.050348428
gdf10(1of2)	-1.27	-3.161327994
gdf11	-1.44	-1.782157638
gdpd2	-1.18	-3.550623298
gfi1(2of4)	-1.39	2.254568833
gfi1b	-1.16	1.276983868
ggt5(1of3)	-1.06	-1.083496008
ggt5(3of3)	-1.12	-1.669248615
ghr(3of3)	-2.49	1.324942287
gli3	-1.6	-2.142082627
gnal(1of2)	-1.64	1.193126204
gng13(1of2)	-1.01	-2.37389107
gpc1(1of2)	-2.29	-3.498188196
gpm6b(3of3)	-5.05	-1.654329499
gpr173	-1.15	-2.052172278
gpsm1(3of3)	-4.7	-2.313704045
grb10(1of2)	-3.97	2.390785995
grk6(1of3)	-1.52	-1.887685372
gsk3b	-1.53	-1.957657257
gsx1	-1.4	-5.529216556
gsx2	-1.19	-2.594547533
gtpbp8	-1.2	1.064445707
gulp1(2of2)	-1.07	2.074350784
h2afy	-1.63	-2.522165304
habp4	-1.24	-1.36444331
hadha	-2.12	-2.690627518
hand1	-1.55	-1.726674678
hapln1(2of2)	-1.72	-1.552639014
hbg2(2of4)	-1.45	-4.097434374
helt	-1.36	-5.017046465
hephl1	-1.09	-4.34490711
hes1(2of3)	-1.46	-1.870857717
hes3	-1.09	-5.333218265
hes5(3of5)	-1.79	-1.786908369
hes5(4of5)	-3.4	-1.91035797
hes6(2of2)	-1.37	-2.639114339
hes7(1of2)	-1.25	4.359682682
hey1(1of2)	-1.47	-1.978018668
hey1(2of2)	-1.64	-1.201815761
hgd	1.41	1.89892827
hic2(1of3)	-1.26	-2.036093828
hlf(3of5)	-1.13	-3.306744068
hlx	-1.4	-2.860298718
hmcn1(8of8)	-1.2	-2.436478312
hmgb1(1of2)	-6.1	-1.445700123
hmgn1(2of2)	2.07	-2.697582064
hmgxb4(1of2)	-1.47	4.62563322
hmha1	-1.08	-1.12687684
hmx1	-1.01	1.03419322
hmx2(1of3)	-1.43	-5.463580507
hmx2(2of3)	-1.24	-3.279298717
hmx2(3of3)	-1.01	-1.882498877
hnf1b	-1.2	-1.106160647
hook2	-2.26	1.031475735
hoxa13(2of2)	-1.31	2.057636833
hoxa2b	-1.61	2.149088137
hoxb1(1of3)	-1.3	1.874469257
hoxb1(2of3)	-1.21	-2.634034333
hoxb6(1of2)	-1.39	-1.199070241
hoxc11(1of2)	-1.5	1.315557191
hoxd11	-1.62	1.970637576
hps3	-1.09	-5.503898276
hs3st3b1(2of4)	-1.1	-2.627363326
hs6st3(1of2)	-1.02	-2.415009843
htra3	-1.12	1.424306042
icoslg	-1.34	3.122553102
ier2(2of2)	-1.21	1.774843078
iffo1(2of2)	-1.01	3.363475509
ifi44(1of2)	-6.04	-1.732130064
igdcc4	-1.14	2.477983591
igf2	-1.72	-3.076287876
igfbp3(1of2)	-1.4	1.794676244
igfbp3(2of2)	-1.03	-4.24965092
il1rap(2of3)	-1.69	1.465551466
il1rapl1(2of2)	-1.14	1.475122113
il34	-1.08	1.07711837
inadl(2of3)	-5.96	1.182453274
inafm1	-1.43	2.694426808
insm1	-1.78	-4.232813841
irs1(3of3)	-1.3	1.994613798
irx1(1of4)	-1.7	-1.371871967
irx1(4of4)	-1.03	-1.201162825
isl1	-1.34	-1.344461427
itga3(2of2)	-1.16	-1.412116183
itga6(1of3)	-1.09	-1.669459596
itga8(2of2)	-1.4	-1.715651346
itgb8	-1.37	-1.597995144
itih5	-1.4	-1.266098512
itpka	-1.4	-2.534520806
itsn2(2of2)	-1.25	-1.007784679
jade1	-1.23	1.484931066
jade2	-5.82	4.891344919
jag1(1of2)	-1.17	-2.513851887
jag2(2of2)	-1.5	1.717132254
jmy(1of2)	-1.52	1.149639829
jmy(2of2)	-1.08	1.591747585
junb(2of2)	-1.24	1.988332392
kank1(1of3)	-1.7	1.936286274
kank4(1of2)	-1.53	1.116025319
kcnf1(1of2)	-1.48	2.475535152
kcng3(1of2)	-1.58	3.350280763
kctd12(2of2)	-1.53	-2.787830596
kif26a(2of2)	-1.13	-1.770425571
kif3c(2of2)	-1.16	-1.090342934
kirrel3	-2.34	-2.729720945
kit(1of2)	-1.08	1.499813667
klc1(3of3)	-1.01	1.307275279
klf13	-1.88	-3.656667425
klf15(2of2)	-1.48	3.073723207
klf2(1of2)	-1.37	-1.423945184
klf2(2of2)	-1.2	-1.069546301
klf6(2of2)	-2.54	1.369057159
klf7(1of2)	-1.11	1.91009138
klf9(2of2)	-8.13	3.233696908
klhl14	-1.28	-1.263375334
klhl23(1of2)	-1.1	1.277967454
krt17(5of5)	-1.42	-3.634011002
larp6(1of2)	-1.36	1.483287187
lbh(1of2)	-1.24	1.293583161
ldlrad4	-1.02	-1.892857314
lefty1	-1.02	-3.903946837
lgi1(1of2)	-1.25	-1.826219532
lhx1(1of2)	-1.1	-2.651148745
lhx1(2of2)	-1.23	-1.437800117
lhx2	-1.43	-1.568212215
lhx5	-1.53	-2.427091602
lhx6(1of2)	-1.41	-2.26969777
lin28a	-6.52	1.26613196
lipg	-1.22	-1.058721608
lmtk3	-1.24	1.275882001
LOC107373567	-1.31	-1.448863221
LOC107374876	-1.15	5.108400759
LOC107375217	-1.03	1.575016948
LOC107376854	-1.25	1.741693747
LOC107379752	-1.52	-1.974198335
LOC107382420	-1.34	3.225525732
LOC107382689	-1.14	2.483390267
LOC107385308	5.39	4.071076022
LOC107386916	-1.42	-2.15911137
LOC107387798	5.69	4.90348415
LOC107391470	-1.39	3.891377468
LOC107394637	-1.69	-1.298294872
LOC107395009	-1.55	2.552891136
LOC107396397	-1.59	1.52005059
lonrf1(1of2)	-1.34	3.540264184
lonrf3(1of2)	-1.42	2.110983661
lox(1of4)	-1.34	-1.637015047
lrba	-1.28	-2.182218127
lrp11	-1.34	2.134610669
lrrc31	-1.43	1.164341883
lrrc3b(3of3)	-1.02	-2.150430636
lrrc4b(1of3)	-1.11	-1.451195901
lrriq1	-1.52	-1.103128386
ltbp2(1of2)	-1.15	-1.690794431
lurap1l	-1.34	-1.042501467
mab21l1	-1.06	-3.414406996
mab21l2	-1.13	-3.476089473
macf1(1of2)	-2.16	-1.282610127
mafa	-1.15	1.321973978
magi3(2of4)	-2.01	1.409027172
maml2	-1.46	1.09951034
man1c1	-1.25	-1.26177214
map3k5(1of2)	-1.04	1.296947071
map7d2(2of3)	-1.27	1.706548848
mark1	-1.15	1.465272193
marveld1	-1.7	1.452395915
mbnl3	-1.57	1.484860694
megf6	-1.09	-1.672404586
meis1	-1.43	-1.015311267
metrnl(1of3)	-1.28	-1.181654938
mettl23	-4.01	-2.004651359
mfsd2a(3of3)	-1.83	1.821986478
mgat1(1of2)	-1.08	-1.808661287
mgll	-1.34	-1.705548133
micall2(2of2)	-1.13	-1.387815322
mitf(2of5)	-1.09	-1.042702949
mmd2(1of2)	-1.04	-1.559023925
mmp23(2of2)	-1.99	1.146158513
mov10(1of2)	-1.1	-2.492895933
mpp1	-1.01	2.191942968
mpp3(1of2)	-1.61	1.443449842
mpped2	-1.56	-1.804769099
msx2(2of3)	-1.15	-1.476705693
mtcl1(3of3)	-1.34	1.157359298
mtss1(3of3)	-1.03	1.402779513
mycbp(2of2)	-1.66	2.340883613
mycl(1of2)	-2.11	3.454759085
mycn(1of2)	-1.55	-1.110457748
myf5	-1.09	-3.2671911
myl4	-1.43	-1.025705283
myo10(1of4)	-1.18	-3.000490852
myo18b(1of2)	3.6	1.597887332
myof(2of2)	-1.57	2.544110228
mysm1	-1.69	1.827910293
myt1(2of2)	-1.15	-1.005372878
nab2	-1.03	-2.391280383
nacad	-5.96	2.710744361
nanos1(1of2)	-1.19	-1.560953413
nanos1(2of2)	-1.39	-2.578441355
nav2	-1.16	-1.588556062
ndel1(1of2)	-1.12	1.695188483
ndnf(2of2)	-1.23	-1.448636147
ndrg4	-2.52	4.481297917
ndufb11	-1.91	-1.231622534
ndufs1(2of2)	-1.26	4.302295161
neurod4(1of2)	-1.29	-4.323079425
neurod4(2of2)	-1.24	-2.01364433
neurog1	-1.6	-2.159432849
nfasc(1of2)	-1.08	-2.159480516
nfatc1(1of2)	-1.12	2.65713638
nfe2l2(1of2)	-6.56	1.780908251
nhlh2	-1.48	-1.278833951
nicn1	-4.39	-2.437962176
nin	-1.41	-2.032818293
nipsnap1	-1.02	3.710756169
nkain2	-1.28	-2.63629429
nkx2-1(1of2)	-1.51	-3.571876026
nkx2-6	-1.47	-1.031515089
nkx2-8	-1.51	-2.557269006
nkx3-2(2of2)	-1.36	-2.506038297
nkx6-1	-1.36	-1.223703437
nmnat2	-1.16	4.397350759
nog(3of4)	-1.02	1.445396749
notch2(1of3)	-1.87	-1.755109436
notum(2of2)	-2.82	1.491987243
nova1(2of2)	-1.24	-1.175499491
nox4	-1.55	-1.213997686
npas3(1of2)	-1.33	-1.529420005
npdc1	-1.86	1.304121739
npm1(2of2)	-1.03	-1.322665858
npnt(1of2)	-1.56	-1.209785774
nr2e1	-1.28	-2.484069693
nr2f2(2of3)	-1.19	-1.868600139
nr2f2(3of3)	-1.56	-1.618207112
nr3c2	-1.41	2.495189746
nrn1(1of2)	-1.49	-1.843257068
nrp1(3of3)	-1.33	-1.073778289
nrp2(2of2)	-1.41	-1.2391401
nsg1(3of3)	-1.22	1.511558811
nsmf	-1.03	1.787978133
ntmt1	-2.04	2.259013794
ntn1(1of4)	-1.2	-2.996523429
ntn1(4of4)	-1.05	-1.48401543
ntrk1	-1.78	-2.864161766
nuak2	-1.04	-1.071699366
nxph2	-1.17	-2.989319484
olfml2b(1of2)	-1.22	-1.17072055
olig2	-1.13	-2.677181632
olig3(1of2)	-1.59	-2.889598971
olig3(2of2)	-1.24	-1.838676533
onecut1	-1.37	-1.475889235
onecut2(3of4)	-1.6	-1.574718939
onecut2(4of4)	-1.34	-1.529078899
osbp2(1of2)	-2.45	1.654259887
p2ry4(1of3)	-1.17	-3.580632859
palm(2of2)	-1.47	1.96529094
palm3	-1.01	1.96118511
paqr6	-1.33	1.77392525
parp9	-1.25	3.435251949
pawr	-1.54	1.011768116
pax1	-1.59	-1.346647622
pax2(1of2)	-1.51	-1.076124663
pax3(2of2)	-1.56	-1.31990446
pax5	-1.56	-1.1715365
pax7	-1.33	-3.698755287
pax9	-1.52	-2.164373282
pcdh10(5of10)	-1.41	-3.646848621
pcdh10(7of10)	-1.13	-2.848508375
pcdh17(1of2)	-1.12	-2.114842751
pcdh18(1of2)	-1.33	-1.955410689
pcdh19	-1.27	-1.706090984
pcdh7(1of2)	-1.01	-1.298393414
pcdh7(2of2)	-1.04	-1.447762909
pcdh8(2of3)	-1.02	-1.682647145
pcdh8(3of3)	-1.8	-3.448916577
pcdhgc4	-1.24	-1.728542792
pcdhgc5(1of5)	-1.3	-2.126599852
pcdhgc5(3of5)	-1.27	-1.692004512
pcdhgc5(5of5)	-1.21	-3.02407156
pck1(1of2)	-1.31	-4.941517708
pcnxl2	-1.06	1.15448136
pdcd6	-1.3	-1.113851192
pde3a(2of2)	-1.05	1.016890319
pde4dip(1of3)	-1.39	-1.514078855
pde8a	-1.12	-1.302056113
pdgfa(1of2)	-1.01	-2.472342852
pdgfa(2of2)	-1.14	-1.568760261
pdgfc	-1.2	-1.317981044
pdpn	-2.17	-3.150018418
pdx1	-1.3	-2.01371534
pex2	3.9	1.34092379
pfkfb4(1of2)	-1.06	1.628443671
pgf(1of2)	-1.46	-1.619816892
phactr1(1of2)	-1.37	1.350883683
phospho1(1of2)	-1.92	1.038650265
phox2a	-1.44	-2.205224356
phox2b	-1.39	-3.098637684
piezo1	-1.08	1.096317827
pim1(1of3)	-2.18	-1.054328111
pip5kl1	-1.32	4.391564384
pitpna(2of2)	-1.1	-1.639123562
pitx1	-1.58	-1.781920472
plcd1(1of2)	-1.5	-1.63960631
plcg1(1of2)	-1.25	1.637807786
plch2(2of4)	-1.36	-1.299823962
plcl2(2of3)	-1.03	-1.670279857
plekha2	-1.08	2.194771832
plekha5(1of2)	-1.09	1.793134868
plekho1(2of2)	-2.63	-3.233851812
plin2(2of3)	-1.34	-3.794652265
plpp2(1of2)	-1.45	2.009439362
pltp	-1.4	-2.099338333
plvap(1of2)	-1.41	-2.266340657
plxna1(2of2)	-1.09	-1.779199339
plxna2(1of2)	-1.01	-2.636777333
plxnd1	-1.45	-1.861846156
pmepa1	-1.23	-2.664495957
pmp2	-1.05	-7.640919502
pnpla8(2of2)	-1.03	-1.383453313
pou3f2(2of2)	-1.55	-1.211693254
pou3f3(2of2)	-1.38	-4.376997911
pou3f4(1of3)	-1.12	-2.714265163
pou3f4(2of3)	-1.88	1.663015432
ppara(1of2)	-1.29	2.789631375
ppara(2of2)	1.44	2.742983435
ppfia3(1of2)	-1.06	1.007739242
pphln1(1of3)	-1.04	2.754317859
ppm1e	-1.16	-2.053693638
ppm1h(1of3)	-1.36	-1.064688207
ppp1r13l	-2.27	1.470911589
ppp1r14b(3of3)	-1.11	-1.233579901
ppp1r18	-1.18	-4.262007849
ppp3ca(2of5)	-1.7	1.593511378
ppp4r4	-1.24	1.802171672
ppp5c	-1.28	-1.651816359
prdm12(1of2)	-1.33	-1.73235218
prdm16	-1.03	-2.405558565
prdm2(1of2)	-2.74	1.360124357
prdm5(2of2)	-1.14	-1.654815226
prkar1b	3.67	1.337537469
prkar2b	-1.09	-1.957891531
prkca(3of3)	-1.05	-1.062205338
prkcd(2of2)	-3.51	-1.220399016
prodh(2of2)	-3.89	2.257116106
prox1(3of5)	-1.36	-4.12273853
prox1(5of5)	-1.19	2.085182487
prrx1	-1.23	-1.27643871
ptgfrn	-1.67	-1.015007324
ptprd(4of5)	-1.36	-1.211653907
ptprz1(1of2)	-1.35	1.438429277
pttg1ip(2of3)	-1.68	1.366194132
pura(1of2)	-1.31	-1.059977337
r3hdm1(1of2)	-1.39	1.054633168
rab11fip1(2of2)	-1.14	-1.874309025
rab11fip5	-1.24	2.692476511
rab27b(2of2)	-1.62	-1.448189231
rab39a(2of2)	-1.3	-2.014141255
rab3b	-2.74	1.130989374
rapgef3	-2.06	3.453759794
rapgefl1	-1.1	1.140837347
raph1(1of2)	5.62	1.767938306
rasef(2of2)	-1.06	-2.440537558
rasgrf1(1of4)	-1.36	3.312567831
rasgrp1(2of2)	-1.35	1.657683972
rbm47	-1.23	-2.021693842
rbms2(1of2)	-1.21	1.441868076
rbpms	-1.19	-1.362756462
rft1	5.07	1.022818653
rgs7bp(1of2)	-1.15	-2.730244041
rhbdl3	-1.71	2.14629119
rims2(3of4)	-1.44	-2.565319946
rin1	-1.5	1.860406078
rnf11(1of3)	5.5	2.231515287
rnf122(2of2)	-1.38	2.462782254
rnf144a	-1.52	1.684312297
rnf19a(3of5)	-1.02	1.749361432
robo1(1of4)	-1.13	-3.582250478
robo2(2of4)	-3.62	-1.146300106
rora(1of3)	-1.15	2.482879849
rorb(2of3)	-1.8	2.59060125
rpl10	-2.08	1.027861828
rpl26	-1.19	1.628094519
rps6kc1	-1.23	-2.526794165
rspo2(2of2)	-1.53	-1.135703986
rspo3(2of2)	-1.49	-1.066075432
rtkn(1of2)	-1.58	1.107752695
rundc3b	-1.23	3.620526131
rybp	-1.08	-1.13444028
ryr2(7of7)	-1.19	1.469816781
s100a13(1of3)	-2.01	-1.977728985
s100a14	-1.91	-3.003867014
s1pr3(1of2)	-1.07	-2.807303049
sacs(3of3)	-1.38	-2.21172216
sall1(2of3)	-1.7	-2.181693293
sall1(3of3)	-1.39	-3.325582788
samd11	-1.13	-1.665126515
samd3(9of10)	-1.24	1.092481084
satb2(2of2)	-1.02	-1.491513098
scn2a(2of2)	-1.05	2.060055031
scrt2(2of3)	-1.83	-3.778548251
sdc2	-2.19	2.054218635
selm(2of2)	-1.3	-3.673476629
sema3a(2of4)	-1.46	-1.774656479
sema3f(2of3)	-1.25	-1.000304689
sema3f(3of3)	-1.48	1.275231216
sema3g	-1.25	-2.981521972
sema4d(1of3)	-1.28	-1.304440238
sema4d(3of3)	-2	2.079477808
sema6d(1of3)	-1.77	-1.001678066
sept4(2of2)	-1.14	1.475561536
serp2(2of2)	-1.71	3.301181735
serpine2	-2.19	1.220840931
serpini1	-1.03	2.305756399
sfmbt2	-1.65	1.568623901
sfrp5(2of3)	-1.92	-3.041087214
sfxn1(2of2)	-1.05	-1.491948866
sgk1(1of3)	5.38	1.402729563
sgsm1(2of2)	-1.2	1.725609204
sh3rf2	-1.76	1.577745721
shd(2of2)	-1.34	1.090741498
shf	-1.54	1.031196689
shfm1	-2.59	-2.564708974
shisa9(2of4)	-1.1	-1.62006132
shroom3(1of2)	-2.45	-1.431824552
ski(2of2)	-1.46	-1.075343705
slc12a8	-1.03	-2.101520898
slc1a2(3of3)	-1.16	-1.280952951
slc1a3(1of3)	-1.58	-1.33074298
slc22a13(6of6)	-1.58	2.820268391
