Gene	RNA_FC	Chip_FC
abcd3(2of2)	-0.88084297	-0.575981428
abcd4	0.85074801	-0.364651174
abce1	0.360698877	0.21254499
abcf1	-0.58219602	-0.181249538
abcf2	-1.628954201	0.113595669
abcf3	-1.526008417	0.203636677
abcg1(1of2)	1.227691819	0.376612715
abcg2(1of3)	-0.488615962	-0.117496804
abhd10	0.681578004	0.434560846
abhd11	-0.526483965	0.043475223
abhd12(1of3)	-0.268162	-0.240424
abhd12(2of3)	-0.777853112	-0.086310567
abhd12(3of3)	-1.668848786	0.174561572
abhd13	-2.421947991	NA
abhd14a	0.164531005	0.333841404
abhd14b	1.290992688	-0.223905947
abhd15(1of2)	-2.472773286	0.26490731
abhd16a	-2.286451346	0.315348997
abhd17b	-2.580537028	-0.422559738
abhd17c(1of2)	-1.380778516	0.02042434
abhd17c(2of2)	-1.456634211	-0.079972457
abhd18	-0.209605258	0.122462441
abhd2(1of2)	0.542108619	-0.203184799
abhd2(2of2)	0.829612802	-0.084102315
abhd3(1of2)	0.136861366	-0.345508835
abhd4	0.584455296	0.064808554
abhd5(1of2)	0.682594256	-0.07726062
abhd5(2of2)	1.496411797	0.397571853
abhd8(1of2)	2.802720309	0.091821983
abhd8(2of2)	-0.028317475	-0.316447876
abi1(1of4)	-0.295118753	-0.351328497
abi1(3of4)	-0.606637696	0.013674992
abi1(4of4)	0.208657723	-0.241312886
abi2(1of2)	1.021637806	-0.335091783
abi2(2of2)	3.303567962	0.384201736
abi3bp(1of2)	0.879135097	0.241321326
abl1	-0.400091476	-0.056469979
abl2	0.378542314	0.048493342
ablim1(1of2)	1.01149629	-0.140729638
ablim1(2of2)	1.135796868	0.2463293
ablim2	1.661889935	0.0737171
ablim3(1of3)	0.64937798	-0.307666439
ablim3(3of3)	1.586247314	-0.176411789
abr(2of2)	-0.972265728	-0.345943409
abra(1of2)	-0.303799955	-0.40304173
abra(2of2)	0.590336926	-0.103892743
abracl	-5.841476144	NA
abt1	-0.434095122	0.180365979
abtb1	1.821277147	0.615376232
abtb2(1of2)	1.334912324	-0.01115812
abtb2(2of2)	-0.059279069	0.29027894
ac004381.6	0.409277993	-0.46627505
ac092835.2	0.282013964	0.013159944
ac111632.2(2of2)	2.965629252	-0.724976474
acaa1	1.435538865	7.27E-05
acaa2	-1.753394496	-0.032906845
acaca	-0.148448125	-0.22904663
acacb	0.62360571	-0.106932277
acad11(1of3)	0.842548579	-0.174285006
acad8	0.882370584	-0.138382325
acad9	0.2708577	-0.314277103
acadl	-2.111885448	0.654557338
acadm	0.456251483	0.328503891
acads(1of2)	-0.419003794	0.139913558
acads(2of2)	-0.975043263	0.374097499
acadsb	0.551152438	0.037565935
acadvl(1of2)	-0.737488971	0.016726606
acadvl(2of2)	0.482175456	-0.18473788
acap2(1of3)	-0.198065311	-0.358472159
acap2(2of3)	0.736904036	-0.329067662
acap2(3of3)	0.241164119	-0.259850729
acap3(1of3)	1.294082704	-0.183440857
acap3(2of3)	-0.987571474	-0.188298637
acat1	0.479885393	0.026090722
acat2	-1.614176298	-0.000675737
acbd3	-0.989458492	0.331346351
acbd4	-0.230630962	-0.141088852
acbd5(1of2)	1.674024523	-0.024007305
acbd5(2of2)	-0.83333228	-1.099603109
acbd6	0.084291605	0.195740704
acbd7	-1.476119683	0.298347851
accs	-1.387530365	-0.22208835
ace(1of6)	-2.062627912	0.63577312
ace(5of6)	-1.911017169	1.100346761
ace(6of6)	-1.513319324	0.865040214
ace2	-0.425514301	-0.338219535
acer2	0.210857392	-0.396086496
acer3	2.038584182	0.061498708
ache(1of2)	-0.599419298	-0.676458476
acin1(1of2)	-0.791471003	-0.477743233
acin1(2of2)	-0.680429891	-0.426509913
ackr3(2of3)	-1.075462685	0.423565651
ackr4(1of2)	1.21022135	-0.135699783
acly(1of2)	-1.065416974	0.032497914
acly(2of2)	0.868125305	0.073988686
acmsd	0.823923661	-0.353780434
aco1	-0.415347363	0.313358318
aco2(1of2)	-1.248285396	0.16417181
aco2(2of2)	0.738687125	0.586047825
acot1(1of2)	1.057665595	-0.035215469
acot1(2of2)	0.119491219	-0.227355083
acot11(1of2)	1.329530717	-0.177740041
acot11(2of2)	0.000177891	-0.186653905
acot13	1.348058304	-0.018813962
acot7	-2.716484475	NA
acot8	-0.283939567	0.395611568
acot9	1.604328484	0.178549705
acox1	0.203045165	0.063652813
acox3	-1.564943808	-0.218057993
acp1	-3.740161891	-0.341039636
acp2(2of2)	-1.588917855	-0.24704093
acp5	0.830607508	-0.351768785
acrc	-5.744517682	0.437892689
acsbg1	-1.564201435	0.152785301
acsf2(1of2)	2.392266865	0.55635736
acsf2(2of2)	-0.150273376	-0.403952701
acsf3	-0.95463002	0.43292369
acsl1	-0.414514061	0.370234281
acsl3(1of2)	-1.398796813	-0.020761234
acsl3(2of2)	0.057030791	-0.194141123
acsl4	0.363047029	0.414434119
acsl6(1of2)	-3.023443651	0.466270023
acss1	0.41660152	0.247930458
acss2(1of2)	-0.23238625	-0.729928814
acss2(2of2)	-0.932887163	0.472484006
acss3	1.184724681	0.054791219
actb	0.587168514	0.640285889
actc1(1of5)	1.040891591	-0.135911115
actc1(2of5)	1.487429176	0.142995431
acta2	4.483609133	0.674033948
actc1(4of5)	-0.039478371	-0.171810933
actc1(5of5)	-0.372337088	0.198962694
actg1(1of2)	0.649254718	0.34080775
actg1(2of2)	-0.439063052	0.526817846
actl6a	-2.240858851	0.247389298
actn1	0.270455707	-0.034318812
actn2	0.333616419	0.461580248
actn3	-0.769963984	-0.264410567
actn4	-0.284324107	-0.266451793
actr10	0.733894202	0.18791746
actr1b	-0.832719314	0.240829122
actc1(3of5)	-2.657959772	-1.281427566
actr2(1of2)	0.801232011	0.527214977
actr3(1of3)	-0.272606459	1.817643044
actr2(2of2)	0.115780146	0.574786205
actr3(3of3)	-0.515857158	0.141937765
actr5	-0.742002459	-0.131345885
actr6	-0.883373214	0.10998065
actr8	-1.225109176	-0.409078267
acvr1(1of3)	-0.22380418	-0.01659305
acvr1(2of3)	1.374661937	0.173059293
acvr1(3of3)	0.872696982	-0.00901356
acvr1b	-0.115929381	0.124523878
acvr1c	0.235766088	-0.308954832
actr3(2of3)	-1.770111359	0.361184143
acvr2b(1of2)	-0.203319086	0.049544452
acvr2b(2of2)	-0.877930057	-0.33933143
acy1	-2.190127188	-0.133469439
acy3	0.609587808	-0.164154377
acyp1	0.346168752	0.111744355
adad1	0.107457397	0.104454761
acvr2a	-0.32720651	-0.664001746
adal(1of3)	-0.166664586	0.236862084
adal(2of3)	0.321145617	-0.114801158
adal(3of3)	0.809395367	-0.213755453
adam10(1of3)	0.324193633	-0.407827323
adam10(2of3)	-0.516747718	-0.084516051
adam10(3of3)	0.307444024	-0.008919949
adam11(2of2)	-0.150508811	0.148508243
adam12(1of3)	-2.183977121	-0.388682432
adad2	-0.785777057	-0.858712042
adam12(3of3)	1.568476496	-0.057355814
adam17(1of2)	0.20114921	-0.050810408
adam12(2of3)	-1.2186009	-0.588478006
adam19	-2.588957614	-0.253166709
adam22	0.386319588	-0.185481075
adam28	-0.947098911	-0.123770897
adam8(1of2)	-1.413588843	-0.263713224
adam17(2of2)	-1.198832106	-0.536218363
adam9(2of2)	-2.002252648	-0.346878003
adamts1	-1.7526307	-0.009119466
adamts10	-2.202171685	-0.637780156
adamts12	-2.314195234	-0.126530527
adamts15(1of2)	0.781299234	-0.437265255
adamts15(2of2)	0.504045542	-0.173218092
adam8(2of2)	0.576549891	-0.306217926
adamts18	-2.312479185	0.008262429
adamts20	-0.577344092	-0.237809735
adam9(1of2)	-0.812274377	-0.890461846
adamts5	-0.889302799	-0.114903305
adamts6	0.085807728	0.023709578
adamts16	0.533197614	-0.413814768
adamts8	0.666982362	-0.234166255
adamts9	-2.629050273	0.033188819
adamtsl1	-0.916663802	-0.49169807
adamtsl5	0.155747396	-0.10451758
adap1(1of4)	-0.442523053	0.515248051
adar(1of2)	-3.045640444	-0.220952628
adar(2of2)	-0.342172008	-0.399051686
adamts3	-1.416655979	-0.620528642
adat1	-1.90821088	-0.399163091
adat2	-1.189966902	0.161045948
adat3	-0.953776265	0.088947303
adck1	-0.996992457	NA
adck2	-1.016222713	0.124737783
adck3(1of3)	0.163919563	-0.127659425
adamts7	0.122444033	-0.781979064
adck3(3of3)	1.156947544	-0.032165264
adck5	-0.320369954	-0.157164171
adcy2(1of4)	0.055695314	-0.237621198
adcy2(2of4)	0.159948548	-0.255618417
adcy2(3of4)	-0.955189568	-0.302104373
adcy2(4of4)	1.778404348	-0.336176238
adcy3(1of3)	-1.59781264	-0.608671969
adcy3(3of3)	-0.567566629	-0.344609194
adarb1(3of3)	-0.989880458	-0.533639057
adcy6(1of2)	0.577481844	-0.275013257
adcy6(2of2)	1.045438425	-0.653931621
adcy8(3of3)	-0.485881865	-0.134763806
adcy9(1of2)	0.747430046	0.201649054
adcy9(2of2)	0.595416514	-0.014364078
adcyap1(1of2)	-1.121032088	0.143054764
adcyap1r1(2of2)	0.082538712	-0.265346727
add1	-0.376220083	-0.098879837
adck3(2of3)	0.705626912	0.405580264
adcy5	-2.050895208	-0.781062405
add3(2of2)	0.174870104	-0.211315739
adgra2	0.222210829	-0.180886163
adgra3	0.112233224	-0.066746196
adgrb1(1of4)	2.830294885	NA
add2	1.965348316	-0.383067963
adgrb1(3of4)	0.285189831	-0.271239077
add3(1of2)	-0.282655769	-0.729163648
adgrd1	-0.442993336	-0.302219274
adgre1	-5.539421091	-0.234556017
adgre5	-1.072549972	-0.045584901
adgrf3(1of2)	1.641446342	0.024096169
adgrf5(5of6)	0.494657245	-0.268120409
adgrg2(1of3)	0.533338489	-0.156426901
adgrg4(4of6)	-1.798175582	NA
adgrg4(5of6)	-0.168782924	0.191143948
adgrg5	-0.310101136	-0.332927498
adgrb1(2of4)	-0.54056702	-0.764821877
adgrg6(2of2)	0.222427611	-0.130835915
adgrl2(1of3)	0.473384478	-0.325884277
adgrl2(2of3)	-0.742753117	-0.04531962
adgrl3(1of8)	-2.872502926	1.786204848
adgrl3(2of8)	-4.551245505	-0.004345283
adgrl3(3of8)	-1.527914857	1.170741844
adgrl3(4of8)	-3.347964626	1.970057327
adgrl3(5of8)	0.111969016	-0.163703832
adgrl3(6of8)	1.479923514	-0.185128755
adgrl3(8of8)	0.142401943	-0.229089826
adgrb3(1of2)	-1.321781678	-0.960854353
adgrv1	-1.249972045	-0.144793419
adh5(1of4)	-0.37665188	0.208694173
adh5(2of4)	1.988722119	0.079639015
adh5(3of4)	0.021645463	-0.000193433
adh5(4of4)	-0.585536578	0.07847926
adhfe1(1of2)	0.848847152	-0.257112009
adhfe1(2of2)	1.69514485	0.199835114
adi1	0.355648331	0.189635125
adgrg6(1of2)	-0.429586903	0.809185059
adipor2	0.648271991	0.235387123
adk(1of3)	-0.312511061	NA
adk(2of3)	-0.165869386	-0.353511927
adk(3of3)	-2.086127176	0.262631924
adm(1of2)	-0.275882406	NA
adnp(1of2)	0.133880068	-0.116099107
adnp(2of2)	-0.437611591	-0.0456758
adnp2	-0.945578257	0.161375927
ado(1of2)	-0.456060142	0.391470674
adgrl4(2of2)	0.382308985	0.59625527
adora1(1of5)	-0.974564162	-0.397837953
adora2a(1of2)	-0.525582239	0.212155605
adora2b	1.159378794	0.194247833
adipor1	0.840247988	0.483264237
adpgk(2of2)	-1.653584975	-0.183120258
ado(2of2)	-0.734227209	-0.529655528
adprh(2of2)	-1.342578185	0.391962747
adprhl1(2of3)	0.042019086	0.117934352
adprhl1(3of3)	1.261987288	0.227743816
adpgk(1of2)	-1.454715196	0.416085483
adprm(2of2)	0.366349184	-0.263954616
adra2a(4of5)	0.324784257	-0.462836358
adrb2(3of3)	1.363018349	-0.199758521
adprh(1of2)	1.75667264	0.315343885
adrm1(1of2)	-2.481461611	-0.350887678
adrm1(2of2)	0.703651998	0.126635492
adsl	0.814448048	0.214036359
adprhl2	-0.846292395	0.436702546
adss(2of2)	-2.073443008	-0.380806384
adssl1	1.773585094	0.085361239
aebp1(1of2)	-3.617388934	-0.43933833
adrbk2	0.215495664	-0.466646739
aebp2(1of2)	-1.607101181	-0.287461005
aebp2(2of2)	-2.308838511	-0.342611565
adss(1of2)	-2.379392473	0.643215779
aes(1of2)	-0.094580649	-0.156455592
aes(2of2)	-0.928414168	0.379390473
aebp1(2of2)	-0.585639868	-0.659855467
afap1l1(1of2)	-0.722644223	0.025526194
afap1l1(2of2)	-0.556150644	0.071074451
afap1l2(1of2)	-0.4887989	-0.00100903
afap1l2(2of2)	3.932364819	-0.268765248
aff3	-0.529313332	-0.427052471
aff4(1of2)	-0.985258257	-0.425711205
aff4(2of2)	0.085092526	0.102172964
afg3l1(1of2)	-2.750092528	-0.150406121
afg3l2	1.160676757	-0.021471673
afmid(1of2)	-0.269881526	-0.143168865
aftph(1of2)	1.077961482	-0.127944675
aftph(2of2)	-0.515614941	0.113300241
aga	-2.125443354	-0.180688075
agap1	1.233017919	-0.044053425
agap3	-0.716227426	-0.186070779
agbl2	1.602841507	-0.238872543
agbl4(1of2)	0.445195011	-0.212330831
agbl5	1.142430861	0.072029598
agfg1(1of3)	2.715302873	0.224508624
agfg1(2of3)	0.404719978	-0.126295683
agfg1(3of3)	-0.955212661	-0.235047373
aggf1	-0.069313295	0.02609146
agk	0.897440412	0.066035766
aen	0.749630639	0.372240543
agmat	-2.477876658	NA
agmo	0.910978183	0.004583333
ago1	-0.813233459	0.28070595
ago2	-0.692780062	0.021294304
afap1	-0.111986085	-0.564606087
ago3(2of2)	-3.408949133	-0.283213954
ago4	0.791782194	-0.176863502
agpat1	0.148182632	0.124190404
agpat3	-0.479622376	0.231294197
agpat4(1of2)	1.212874563	-0.166134513
afmid(2of2)	1.295510187	0.590099943
agpat5	-0.128938043	0.091564395
agps	-1.741556343	0.056874693
agr2	-3.474279174	NA
agr3	-2.047226972	0.780040019
agrn	-1.431197893	-0.593682339
agrp	-0.504957825	-0.577449904
agt	-6.851804418	NA
agtpbp1	1.342737146	-0.02188197
agtr1a	0.632707518	0.603834847
agl	-0.035957762	-0.407055886
agxt(1of2)	3.859208445	-0.024437272
agxt(2of2)	3.603239892	0.217476799
agxt2	0.555331223	-0.171688592
ahctf1	-0.420400973	0.359599206
ahcy	-0.46244296	0.232842003
ahcyl2(1of4)	-0.945895613	-0.706904758
ago3(1of2)	-2.521266878	-0.662952055
ahcyl2(3of4)	0.477607885	-0.017001297
ahi1(2of2)	-0.432619445	-0.028763898
ahnak(1of6)	0.502824378	0.381607279
ahnak(3of6)	0.154026048	-0.327504003
ahnak(4of6)	0.150150096	-0.121529827
ahnak(5of6)	1.989490942	-0.39956384
ahr(2of3)	1.283801996	0.223706002
ahr(3of3)	0.720839037	-0.29437821
ahsa1(1of2)	2.268112188	0.235836354
agpat4(2of2)	2.831301898	-1.222102894
ai314180	-0.962017411	-0.121903401
aicda	0.462136569	-0.241245482
aida	-0.979360593	0.317214635
aif1l(1of2)	0.783249075	0.008014556
aif1l(2of2)	-2.450703549	0.496170652
aifm1(1of2)	-0.529242225	0.438267743
aifm1(2of2)	-0.798255652	-0.119634933
aifm3(2of3)	0.050075391	-0.041736859
aig1(1of2)	0.086033845	0.009241436
agtrap	-1.344956339	0.560390874
ahcyl2(2of4)	-0.578764485	0.326443158
aim1l	-0.045098286	-0.493525995
aimp1(1of2)	2.61553919	0.078091522
aimp1(2of2)	-0.423808367	0.074037663
ahnak(2of6)	0.274779931	-0.406085999
ahsa1(2of2)	0.248861993	0.54802188
ajuba	-0.244987691	-0.268433429
aim1(1of2)	-0.574879634	-0.473215418
ak2	1.729249145	-0.115068678
ak3	0.758431821	-0.185761189
aim1(2of2)	-0.380423342	-0.582191174
ak6(2of2)	1.58965689	0.182037029
ak7(1of3)	0.993462295	-0.05809386
ak8	-0.75191791	0.158653257
ak9	-0.708533273	-0.333414212
akap10	0.230201538	-0.091409638
akap11(1of3)	0.663277811	-0.165609394
akap12(1of2)	0.026001497	-0.321876487
aimp2	0.388425533	0.333847385
akap17a	-0.377038514	0.068096161
akap2	-0.854304756	-0.117233134
akap6(1of2)	1.882699191	-0.208947721
akap6(2of2)	1.470658078	-0.099507949
akap7	0.757653446	-0.126897014
akap8l	-0.009759627	-0.259171629
aip	1.353703777	0.554732062
ak1	0.303136418	0.344508358
akip1	-1.202078283	0.121320341
ak4	1.263754397	0.564400081
akap13	0.525530477	-0.446793272
akirin2(2of2)	-0.391150895	0.289624269
akna(1of2)	-3.227820457	-0.536368259
akna(2of2)	1.108762911	0.098555563
akr1a1(1of4)	-2.337024498	-0.816790922
akr1a1(2of4)	0.188448458	-0.189747101
akr1a1(3of4)	2.118177876	0.184309081
akap9(1of2)	-1.325428119	-0.449361383
akr1b10(2of4)	1.29138556	-0.149909655
akr1b10(4of4)	2.029105675	0.185551335
akap9(2of2)	-0.054836312	-0.521978335
akt1	-0.454789977	-0.037736634
akt1s1	2.573817988	-0.021930937
akt2	1.047498742	0.26940686
akt3(1of2)	1.66850429	-0.381608469
akt3(2of2)	0.979640727	-0.066295318
aktip	1.507072442	0.252681231
al513412.1	0.872496241	-0.107666948
alad	-0.815528644	0.195401384
alas1	-0.442927737	0.226105032
alas2	-0.030754026	0.178875301
alcam	-0.892670449	0.009261809
akirin1	-0.137518969	0.757196552
aldh18a1(1of2)	0.522400895	0.188688359
aldh1a2	-1.734113974	-0.227907513
akirin2(1of2)	0.135298647	0.432169272
aldh1l2(2of2)	0.143587261	-0.319219319
aldh2	0.250398819	0.128467546
aldh3a2(1of3)	-0.546144686	0.188308841
aldh3a2(2of3)	-1.14772528	-0.443999981
aldh3a2(3of3)	-0.707806847	-0.129144881
aldh3b1(2of2)	0.16132044	0.403771443
akr1a1(4of4)	-1.34902637	0.451548528
aldh5a1	-0.162215374	-0.108675757
aldh6a1	0.168567801	0.168195311
akr7a2	1.120074413	0.405979184
aldh8a1	-0.067659511	-0.226414964
aldh9a1(1of2)	-1.337977709	-0.068455257
aldh9a1(2of2)	3.179842446	-0.168096676
aldh16a1	-0.976696376	1.249008266
aldob	3.684673115	0.1036783
aldh1l2(1of2)	1.407775298	-0.436078967
aldh4a1	-1.842777797	-0.507370246
alg1	0.472334918	0.038833397
alg10	0.02279375	0.314467994
alg11(1of2)	3.061670089	0.24247855
alg11(2of2)	0.882028127	0.181653862
aldh7a1	0.674150612	0.336905714
alg13(2of2)	0.296764705	0.209853433
alg14	0.057863656	-0.090700727
aldoa	2.576737509	0.535779619
alg3	0.561322978	0.173275686
aldoc(1of2)	2.215796162	-0.518599535
alg6	-0.105045966	0.140591352
alg8	-0.090884464	-0.153753099
aldoc(2of2)	1.963367123	0.451112926
alk(2of2)	-0.779747878	-0.434274626
alkbh1	-0.212283288	0.215869351
alkbh2	-0.867002971	-0.191193159
alkbh3	-1.063053284	0.181739553
alkbh4	0.405509636	0.20673975
alg12	0.334042757	0.435328569
alkbh6	-0.415381958	0.546808627
alkbh7	0.060647333	0.208962355
alkbh8	1.063533016	0.1734756
alg2	0.424347494	0.34728242
alg5	0.500899258	0.321873232
alox12b	0.462664729	-0.007664269
alox15b	0.689976042	NA
alox5(1of2)	0.12730524	-0.202176622
alg9	-1.889576529	-0.363532531
aloxe3(1of2)	1.003530493	-0.300815392
alkbh5	0.481112728	0.571528668
allc	3.215501392	0.699419533
alpk2	-1.129777451	-0.163723592
alpk3(1of2)	0.624808502	-0.329866729
alpk3(2of2)	-0.833507608	-0.08031363
alms1(3of3)	0.449545222	-0.437496781
als2(1of2)	-1.978173673	-0.49200724
als2(2of2)	1.176224768	-0.200748333
alx1	-1.423028024	0.467837506
alx3	-0.366101349	0.302261334
alx4(1of2)	-0.86339222	0.220510933
alx4(2of2)	0.634254724	0.347812209
alox5(2of2)	1.56996583	-1.480958973
alyref(2of2)	-0.895476668	-0.146952591
aloxe3(2of2)	0.777503648	1.616172932
amacr(2of2)	0.248510617	-0.176866392
ambp(2of3)	-3.540079878	NA
ambp(3of3)	0.516945851	-0.121476686
ambra1	0.325955199	-0.327931169
amd1	-2.246779762	0.16790491
amdhd1	-2.439825418	-0.346896355
amdhd2	1.607789245	0.111261417
amer1	0.286536962	-0.085477436
amer2(2of2)	0.840748884	-0.338831797
amfr	1.942701101	0.032067933
amigo1(2of3)	-0.502562328	-0.489612811
alpk1	-0.087496199	-0.507010452
alpl	-1.377934262	1.181874299
amot	0.676475914	-0.118767218
amotl2(1of2)	-0.034468188	0.114678292
amotl2(2of2)	0.949193978	0.144343712
ampd2(1of3)	-0.558984858	-0.306493845
ampd2(3of3)	-0.775612543	-0.375033781
amph	0.500265143	-0.17812071
amt	-0.70919107	0.036645909
anapc1	-1.313075115	-0.062404991
anapc10	-0.696142444	0.238313402
anapc11	-1.030992427	0.100618407
anapc13	0.030303752	-0.208759607
anapc15	-1.614677903	0.218753328
anapc16	0.773856587	0.171117185
anapc2	-2.933136038	0.126896312
anapc4	-0.707610199	0.033754769
anapc5	-1.022994115	0.28437586
alyref(1of2)	-0.733898088	0.426445836
amacr(1of2)	0.219264827	-0.349858444
and3	-2.654385869	-0.272107663
angel1	1.136815585	0.178239137
angel2	-0.404943138	-0.119942732
angpt1(1of2)	-1.075517119	-0.260105489
angpt1(2of2)	-1.692105608	-0.262320298
angpt2(2of2)	-5.919658784	-0.082225313
angpt4(1of2)	-2.725767967	NA
angpt4(2of2)	-3.262007575	0.713031
amigo3	8.386414403	2.31303953
angptl1(4of4)	1.905279031	1.363874255
angptl2(1of2)	-1.18397505	0.148829883
angptl2(2of2)	-0.933761677	-0.143305019
angptl3(1of2)	0.331830345	-0.35523118
ammecr1	-2.67291588	-0.523957035
anapc7	0.109957282	0.282413355
angptl4(2of2)	-1.594880729	-0.548658639
angptl7	-5.420956018	-0.506787638
ank1(1of3)	0.686743777	-0.042807197
ank1(3of3)	0.939571292	0.153094476
and1	0.296410661	-0.614859719
angptl1(2of4)	-4.225423786	-0.511408811
ank2(3of3)	0.428705047	-0.08034862
angptl3(2of2)	-0.527668794	0.616069214
ank3(2of2)	1.117901983	0.121608934
ankef1	0.406600785	-0.326600175
angptl4(1of2)	2.976967299	0.357221797
ankfy1	0.39885707	0.123119085
ankh	0.195585386	-0.025242359
ankhd1	-0.37659686	-0.335885072
ank2(1of3)	-0.124834378	-0.636416998
ankib1(2of2)	0.37159349	-0.24472823
ank2(2of3)	0.675380865	-0.575269752
ankle1	-0.969040749	-0.049619917
ankle2	-0.180386179	-0.079019995
ankmy2	-1.166372979	0.210929554
ank3(1of2)	-0.85293458	-0.428138254
ankra2(2of2)	-0.116403145	0.375548325
ankrd1	-0.228520004	-0.207626689
ankrd10(1of2)	-0.559353276	-0.243918342
ankrd10(2of2)	-2.841893525	-0.110502421
ankrd11	0.277296692	-0.302196888
ankrd12	1.50648224	-0.13354946
ankrd13a	0.068592682	0.188045149
ankrd13c(1of2)	-1.844881787	-0.251406229
ankrd13c(2of2)	-0.562918947	0.227933163
ankrd13d	-0.655726164	0.345268718
ankrd16	1.913251112	0.244237241
ankfn1(2of3)	-0.67535243	-0.536000599
ankrd24	-2.935275168	0.031638416
ankib1(1of2)	-0.648228971	-0.702306205
ankk1(2of2)	1.312560083	3.747256043
ankrd28(1of2)	0.810934366	0.106559064
ankrd28(2of2)	-0.519168679	0.046636917
ankrd31	0.156982183	-0.382005739
ankrd33b(1of3)	-0.003846538	-0.227352153
ankrd33b(2of3)	0.200264418	-0.391284677
ankrd34a	-0.059807154	-0.292409739
ankra2(1of2)	-0.519023433	1.200122267
ankrd40	-0.023266829	-0.210883084
ankrd22	1.452791796	0.410338716
ankrd26	0.326275242	-0.327589238
ankrd49	0.193718652	0.186898211
ankrd50(1of3)	-1.582973435	0.148621294
ankrd50(3of3)	-1.247832164	-0.322298755
ankrd52(1of2)	0.384593287	-0.131170127
ankrd52(2of2)	1.142752157	-0.059688324
ankrd53	2.587996262	0.301744413
ankrd27	-0.432552464	-0.407867407
ankrd6(1of2)	0.646544622	-0.338746109
ankrd39	0.569021318	0.472537522
ankrd63(1of2)	-2.05585714	-0.289948653
anks1a(2of2)	-0.564152832	-0.174455056
anks1b	0.660047115	-0.323855688
anks3	-0.007989519	0.080873378
anks6	-1.113404074	-0.434329853
ankzf1	0.902551489	-0.094672704
anln(1of2)	-3.594170548	-0.220788151
anln(2of2)	-6.351537741	-0.201216548
ano1(2of5)	-0.291812972	NA
ano1(3of5)	2.267376098	0.432420814
ano10(1of3)	0.304229496	-0.059406288
ano10(2of3)	0.882673599	0.272265226
ano10(3of3)	0.843173582	-0.26522835
ano3	-0.686026298	-0.276437236
ano5(1of2)	-2.472964615	-0.550628706
ano5(2of2)	0.602571984	0.187210202
ano6	-0.594122177	-0.199038491
ankrd44	0.747920043	-0.430517048
ankrd46	0.361766341	0.506430504
ano9(1of2)	0.627643986	-0.033378694
ano9(2of2)	1.086890305	0.168694326
anos1	-1.846518324	0.101673264
anp32a(1of2)	-1.580140818	0.144433567
ankrd54	0.070263325	0.308878229
ankrd6(2of2)	0.7397664	-0.564623412
anp32e(1of2)	1.154395265	0.227181906
anp32e(2of2)	-0.467623112	0.264701201
anpep(3of7)	-1.323698993	-0.049275188
anpep(4of7)	-2.141011303	0.046570354
antxr1(1of4)	-0.519445554	-0.228662143
antxr1(3of4)	-0.888896188	-0.597425534
antxr1(4of4)	0.483580304	-0.379238471
antxr2(1of2)	-1.680171413	0.007895451
ano7(2of2)	1.99974008	-0.447689842
anxa1(2of2)	3.171510711	0.79386371
ano8(1of3)	0.262606097	-0.622196824
anxa11(2of2)	0.242069488	0.295667875
anxa13(1of2)	0.299000948	0.109880941
anxa13(2of2)	-1.477819585	-0.320693638
anxa2(1of3)	-1.486040081	0.317097239
anxa2(2of3)	-0.963228561	0.333884444
