Gene	Chip_FC	RNA_FC
wdr7(2of2)	-1.5914285714285719	1.111910183
prdm12(1of2)	-1.3016666666666665	-1.73235218
nrp2(2of2)	-0.281	-1.2391401
slc22a13(6of6)	-0.01400000000000003	2.820268391
pou3f4(2of3)	-1.2333333333333332	1.663015432
calu(2of2)	-1.4200000000000002	-1.576092108
pcdhgc5(3of5)	-1.12	-1.692004512
fam20c(1of6)	0.30400000000000005	1.07789099
rspo3(2of2)	-0.5725	-1.066075432
dll1(1of5)	-0.7474999999999998	-3.481609543
diaph3(1of4)	-0.9400000000000001	-1.760680839
tnik(1of3)	-0.5275000000000001	1.411336132
hes7(1of2)	-0.93	4.359682682
cldn23(2of2)	-0.5700000000000001	-1.996206992
wnt7b(1of2)	-0.2524242424242423	-2.030006875
atp2a2(3of4)	0.35000000000000003	-1.037491515
lgi1(1of2)	-1.25	-1.826219532
arid1b(2of3)	-1.699375	-1.158231572
pcdhgc4	-1.3	-1.728542792
tyrp1(2of2)	-1.33	-7.468233334
tpm1(3of3)	-1.2	-1.523769619
zfp423	-1.0992857142857144	-1.297177047
hoxb1(2of3)	-0.905	-2.634034333
nr2e1	-1.28	-2.484069693
neurod4(2of2)	-1.24	-2.01364433
emc3(2of2)	-0.4720000000000001	1.186825022
bmper	-0.9953333333333334	-1.109100712
det1	-1.0991666666666668	1.281881841
pip5kl1	-1.32	4.391564384
prpsap2	-0.2133333333333333	1.424545132
gfi1b	0.565	1.276983868
evl(1of4)	-0.3	1.233546686
LOC107395009	-0.06000000000000005	2.552891136
s100a13(1of3)	-2.01	-1.977728985
loxl3	-0.9650000000000001	-1.672602402
zdhhc15	-0.5499999999999999	1.079710049
fli1(1of2)	-0.38375	-1.549470649
pou4f2	-0.730625	-2.017824304
paqr6	-1.19	1.77392525
pcdh10(7of10)	-1.1433333333333333	-2.848508375
afap1l2(2of2)	0.6599999999999999	2.490293757
gdf11	-1.0918181818181818	-1.782157638
sema6d(1of3)	-0.7996428571428572	-1.001678066
sox2(3of3)	-0.299	-1.42831747
cnnm2(2of2)	-1.24	-1.228110487
gas7(2of2)	-1.3666666666666665	1.75780919
adcy5	-1.26	-1.914741678
bmp2(1of2)	-2.364444444444444	1.872392992
hadha	-1.3033333333333335	-2.690627518
gad1(1of2)	0.332	-2.450386084
ndufb11	-1.91	-1.231622534
hes1(2of3)	-1.246666666666667	-1.870857717
zfp524	-1.43	-1.032628654
hmx2(2of3)	-0.4099999999999999	-3.279298717
spns2	-0.10500000000000004	-1.078749277
thbd(2of2)	-1.23	1.541520769
jag2(2of2)	-2.1169230769230767	1.717132254
mtcl1(3of3)	-0.5866666666666668	1.157359298
pcdhgc5(1of5)	-1.3	-2.126599852
hnf1b	-0.476	-1.106160647
mpnd	-0.625	-2.557641119
sult4a1	0.30000000000000004	1.552939065
zfp536(3of3)	-0.7928000000000001	-1.692748656
unc119(2of2)	0.4600000000000001	-2.326327164
nanos1(2of2)	-1.2385714285714287	-2.578441355
zdhhc14(1of2)	-2.2933333333333334	1.262856227
gtpbp10	-1.55	2.206634929
tcf15(2of2)	-1.25	1.880713053
cplx3	-0.7855555555555557	1.505915665
zfhx4	-0.3583333333333334	-1.815048986
sox10(1of2)	-0.8799999999999999	-1.693258551
rasgrp1(2of2)	-1.35	1.657683972
ntn1(1of4)	-0.9216	-2.996523429
nr2f2(2of3)	-0.82	-1.868600139
prox1(5of5)	-0.7016666666666665	2.085182487
ppp4r4	-0.6599999999999999	1.802171672
b3gat2	-0.41000000000000003	1.429590407
satb2(2of2)	-0.30700000000000005	-1.491513098
samd3(9of10)	-1.24	1.092481084
lonrf3(1of2)	-0.785	2.110983661
zbtb7b	0.35	-1.284673974
gsx2	-0.6833333333333333	-2.594547533
slco5a1(2of2)	-0.9975	-5.074364801
prdm16	-0.9725000000000001	-2.405558565
dach1(2of2)	-0.7538095238095237	-1.689431584
ube2ql1	-1.0550000000000002	1.04901304
sh3yl1	-0.3633333333333333	-1.53217448
pcdh7(2of2)	-0.7126086956521738	-1.447762909
jag1(1of2)	-1.115	-2.513851887
cilp2(3of3)	-0.13499999999999998	-3.190481151
tmem178b(3of3)	-1.19	2.328685445
meis1	-0.23020833333333326	-1.015311267
armc6	-1.46	-2.278094364
LOC107394637	-1.35	-1.298294872
lhx1(1of2)	-0.5977777777777777	-2.651148745
nkain2	-0.5200000000000001	-2.63629429
srsf5	-2.84	-1.613055576
taf13	-1.49	-1.158938727
foxg1(1of3)	-0.945	-1.820369012
zfp503(1of2)	-0.39853658536585357	-1.166545072
ltbp2(1of2)	-1.055	-1.690794431
stard10(3of3)	0.5449999999999999	-3.119056066
wnt8b	-0.8049999999999999	-2.71587111
bmp7(5of5)	-0.9550000000000001	-2.569727703
myt1(2of2)	-0.52	-1.005372878
mbnl3	-1.57	1.484860694
mab21l1	-0.2924999999999999	-3.414406996
junb(2of2)	-0.57	1.988332392
pcdhgc5(5of5)	-0.715	-3.02407156
tcf21	0.13000000000000003	-1.563074208
gtf3c4	-0.7166666666666667	-1.491499061
fbxl15	-0.829375	-3.537787443
rasgrf1(1of4)	-0.7300000000000001	3.312567831
fam129b	-0.08333333333333333	1.448950057
foxd1(3of3)	-0.485	-1.862645689
sgpl1	-1.07	1.449305979
tecpr1(1of2)	-0.5350000000000001	-2.813650256
sema3f(2of3)	-1.0859999999999999	-1.000304689
bmp3	0.07333333333333329	-1.629146152
trh	-1.025	-4.483142651
trim67	-0.15500000000000003	-1.441826042
il1rap(2of3)	-1.305	1.465551466
ppp3ca(2of5)	-0.48	1.593511378
mecom	-0.599	-4.964180676
olig2	-0.9433333333333334	-2.677181632
pcdh18(1of2)	-1.5709615384615392	-1.955410689
galnt6(1of2)	-0.6499999999999999	-1.998057689
sema3f(3of3)	-0.86	1.275231216
hes3	-0.9850000000000001	-5.333218265
cdh20	-1.1163636363636362	-1.764778578
neurod4(1of2)	-1.15	-4.323079425
trhr(1of3)	-1.14	-1.401428214
sulf2(2of2)	0.4538461538461538	-2.288032021
pde8a	0.14	-1.302056113
rtkn(1of2)	-1.0922222222222222	1.107752695
dct	-0.78	-4.847960402
stx18	-0.6150000000000001	2.155090655
klhl14	-0.8	-1.263375334
slc8a1(1of4)	-0.1425	-1.613030189
serpina10(1of2)	-1.24	4.052922421
mab21l2	-0.7944444444444444	-3.476089473
shd(2of2)	-0.495	1.090741498
vit	0.382	-2.35448717
st3gal2(2of2)	-1.61	1.958425215
hic2(1of3)	-1.03875	-2.036093828
igfbp3(1of2)	-0.027647058823529424	1.794676244
epb41l4b	-0.9033333333333334	1.453793819
ascl1(1of2)	-0.624	-3.306614781
c8orf76	-3.785	-1.562534683
rab11fip5	0.6	2.692476511
gadd45g(1of3)	-0.7666666666666667	-2.331819141
tnr	1.7833333333333332	2.84300886
pde4dip(1of3)	-0.40499999999999997	-1.514078855
fam150b	-1.19	-3.054171815
htra3	-0.21500000000000008	1.424306042
tmem200a(1of2)	-1.565	-2.719252686
slc3a1	-0.55	-4.016040441
dpysl2(3of3)	-0.6180000000000001	-2.771642176
cables2(1of2)	-1.01	-1.936174299
plxna4	0.037800000000000014	-2.913385458
fam49b(1of3)	-0.18000000000000005	-1.339567005
lhx1(2of2)	0.5273076923076924	-1.437800117
gadd45b(1of2)	-2.3075	1.384634515
hmx1	-0.4433333333333333	1.03419322
marveld1	-1.7	1.452395915
bahd1(1of2)	-1.195	1.07397271
esm1	-0.7000000000000001	-2.361503906
mycbp(2of2)	-1.66	2.340883613
slc1a2(3of3)	-0.284	-1.280952951
slc25a28(1of3)	-1.22	-1.51246476
auts2(2of2)	0.14500000000000005	-1.280236807
nsg1(3of3)	-0.36333333333333334	1.511558811
ryr2(7of7)	-1.4849999999999999	1.469816781
fam181a	-1.35	-1.870741157
tmem200c(1of2)	-0.624	1.119653575
lrrc4b(1of3)	-0.48833333333333334	-1.451195901
cartpt(6of6)	1.69	-3.38574366
msx2(2of3)	-0.59	-1.476705693
olig3(2of2)	-0.858	-1.838676533
irs1(3of3)	-0.9666666666666667	1.994613798
gramd1b(2of3)	-1.23	1.323979785
myf5	-1.09	-3.2671911
nsmf	-1.03	1.787978133
cnnm4(2of2)	-1.85	1.94636455
mrpl33	0.007500000000000012	-1.841935357
hmx2(3of3)	-0.6749999999999999	-1.882498877
plcl2(2of3)	-0.595	-1.670279857
plcg1(1of2)	-0.925	1.637807786
zic1(2of2)	-0.3338461538461538	-1.506741973
vgf(1of2)	0.15499999999999992	-4.98735145
cux2	-0.6873684210526316	-2.864097702
LOC107386916	-0.97	-2.15911137
vsx2(2of2)	-0.97	-5.132168173
tmem161a	-0.575	-1.749063208
gse1(2of2)	-0.5566666666666666	-1.250495344
hsd17b12(2of3)	-0.78	-1.846985274
klhl23(1of2)	-1.165	1.277967454
samd3(1of10)	0.18857142857142858	1.144776222
pou3f4(1of3)	-0.44666666666666677	-2.714265163
chrd	-0.16999999999999998	-1.4644628
klhl11(1of2)	-1.35	1.460773137
dusp5	0.14500000000000002	-2.031651941
rgs7bp(1of2)	-0.355	-2.730244041
b4galnt4	-0.9075000000000001	-2.391462058
lrrc31	-0.72	1.164341883
tmem145	-1.1	1.845567085
mafk(1of2)	-1.46	1.574091817
sec61b	-0.42499999999999993	-1.682446594
pnpla8(2of2)	-1.03	-1.383453313
mmp2	-0.4364285714285713	-2.542870923
fam84a	-1.18	1.212175807
prkar2b	-0.7350000000000001	-1.957891531
cap1	-1.53	-1.508687342
fhl1	-1.6	1.410341619
sfmbt2	-1.65	1.568623901
col11a1(4of4)	0.31999999999999995	-3.841148861
t(2of2)	-0.5925000000000001	-1.608411278
LOC107382689	2.2350000000000003	2.483390267
nova1(2of2)	-1.24	-1.175499491
lrrc28	-1.02	1.826106498
ppp1r18	-0.33999999999999997	-4.262007849
col12a1(1of2)	-0.48500000000000004	-1.019082843
LOC107394546	-0.3300000000000002	-1.693186219
larp6(1of2)	-1.36	1.483287187
h2afv	-0.69	-3.568336381
tecta(4of5)	-1.17	-3.900754342
rgn	-1.85	-2.403094123
itga8(2of2)	-0.815	-1.715651346
pcdhga2(2of3)	-0.7949999999999999	-2.428555643
eva1c(1of4)	-1.72	4.517681803
il1rapl1(2of2)	0.8133333333333335	1.475122113
pard3b(3of3)	-0.84	-1.149111824
syngr2(2of2)	-1.53	1.983183681
nxph2	0.06333333333333337	-2.989319484
tmem179(1of2)	-0.51	2.807372175
strbp	0.01000000000000003	-1.206108292
vat1l(1of2)	-1.22	-3.728068755
itpka	0.1166666666666667	-2.534520806
frem2(1of3)	-0.6749999999999999	-2.063205618
atp13a3(2of2)	-0.9957142857142858	1.909530543
pcnxl2	0.47800000000000004	1.15448136
LOC107391470	-1.39	3.891377468
itih5	-0.33999999999999997	-1.266098512
aanat(3of3)	0.36000000000000004	4.554526096
hes5(4of5)	-2.75	-1.91035797
akr1a1(3of4)	-1.53	1.995104053
abtb2(1of2)	-1.13	1.345775622
pmepa1	-0.42375	-2.664495957
hook2	-1.6400000000000003	1.031475735
tns1(2of2)	-0.9300000000000002	1.288586108
tomm40	-0.9775	-1.953948432
angptl4(1of2)	-2.11	3.012754033
tubgcp5	-1.93	-1.702947724
sema3g	-1.3633333333333333	-2.981521972
vsnl1(1of3)	0.13333333333333333	1.209574697
sall1(3of3)	-1.0899999999999999	-3.325582788
nrp1(3of3)	-0.8850000000000001	-1.073778289
dkk2	-0.5633333333333334	-2.724455798
rax(2of3)	-0.99	-3.860192161
chl1(2of2)	-1.2699999999999998	1.116237161
plch2(2of4)	0.072	-1.299823962
mettl23	-2.335	-2.004651359
fat2(1of2)	-0.5717647058823528	-2.535255439
sacs(3of3)	-1.5699999999999998	-2.21172216
fbln5	-0.89	1.972061385
rapgefl1	-1.1	1.140837347
LOC107379854	-0.5442857142857143	-1.434854039
jade1	-1.23	1.484931066
c8orf4(1of2)	-1.17	2.257022049
rnf19a(3of5)	0.315	1.749361432
znf585b	10.76	1.004152224
ptprd(4of5)	0.13199999999999995	-1.211653907
hgd	0.29	1.89892827
lrp8(4of4)	-0.04583333333333333	-1.018626681
hes6(2of2)	-1.37	-2.639114339
samd11	-1.780625	-1.665126515
hadh	-2.382	-1.759923757
pdgfa(2of2)	-0.5323076923076923	-1.568760261
sp5(2of2)	-0.7033333333333333	-1.131107799
mycl(1of2)	0.5266666666666667	3.454759085
man1c1	-0.7041666666666666	-1.26177214
prrx1	-0.04399999999999998	-1.27643871
maml2	0.35000000000000003	1.09951034
cdh24(2of2)	-0.52	-3.910639076
fat4(2of5)	-1.021764705882353	-2.462601512
LOC107374876	2.75	5.108400759
klf6(2of2)	0.06916666666666668	1.369057159
magi3(2of4)	-1.2244444444444444	1.409027172
anos1	-1.21875	-1.125935197
tbc1d30	-0.66	-1.025431881
lrriq1	-1.3633333333333335	-1.103128386
wscd1	-0.5933333333333334	2.414389475
LOC107373567	-1.31	-1.448863221
col1a1(2of2)	-0.975	-1.192540281
lmo1(2of2)	-0.03666666666666665	-1.045690573
ephb3(2of2)	-0.532258064516129	-1.189687935
cmah	-0.26600000000000007	2.989566218
cldn11(1of2)	-1.02	-1.885070991
tmeff1(2of2)	-0.32666666666666666	-1.921390089
ephb2(1of2)	-1.666190476190476	-1.636989939
tshz1(3of3)	-1.04	-1.742982944
fzd10	-1.355	-1.611165358
lmtk3	-1.24	1.275882001
zar1(2of2)	-0.655	4.30619172
emid1	-0.72	-1.437889272
tenm3(1of2)	-0.36750000000000005	-1.361869231
LOC107377091	-0.87	-4.492046809
rorb(2of3)	-0.375	2.59060125
ghr(3of3)	-2.49	1.324942287
soga1(2of2)	-0.4100000000000001	-1.682690004
bcam	-1.6892857142857138	-1.125562961
ppp1r14b(3of3)	-0.925	-1.233579901
plxna2(1of2)	-0.589433962264151	-2.636777333
cdh11(1of2)	-0.17227272727272724	-1.599247557
robo1(1of4)	-1.101	-3.582250478
lzts1	-0.3393749999999999	-1.442974809
rora(1of3)	-0.88	2.482879849
gfra2(2of4)	-0.12000000000000002	-1.919394887
nav2	-0.7505263157894737	-1.588556062
sox9(3of3)	-0.45125	-1.917555992
csrnp2(1of2)	-1.155	-2.673537093
ckb(1of2)	-1.04	-1.468831998
rybp	-0.5711538461538461	-1.13444028
atp1a3(1of2)	-0.5085714285714286	-1.272562911
cdpf1	-0.7799999999999999	-1.703068247
barx2	-0.913076923076923	-1.494430151
osgin2(2of2)	-0.28	-2.039984601
plxna1(2of2)	-0.7766666666666667	-1.779199339
pdgfc	-1.2	-1.317981044
pcdh8(2of3)	-1.02	-1.682647145
atn1	-1.21	1.211683045
hadhb	-0.8557142857142858	-1.216099095
gabra5(2of2)	-1.03	-2.430172719
adora2b	-1.78	1.560088452
pitpna(2of2)	-0.7100000000000001	-1.639123562
fn1(2of3)	-1.06	2.309431092
map3k5(1of2)	-0.28222222222222215	1.296947071
rasef(2of2)	-0.8266666666666667	-2.440537558
lrp11	-1.705	2.134610669
npdc1	-1.86	1.304121739
phospho1(1of2)	-1.5666666666666667	1.038650265
fam185a	-1.12	3.420789399
slc25a42(1of2)	-0.8200000000000001	3.052880408
npas3(1of2)	-0.9658333333333333	-1.529420005
pcdh19	0.12769230769230766	-1.706090984
tesk2(1of3)	1.0571428571428572	2.740120936
icoslg	-1.34	3.122553102
ret	-0.0775	-1.653805198
smoc2	-0.5330769230769232	-2.331378749
robo2(2of4)	-1.0312903225806456	-1.146300106
klf13	-1.402	-3.656667425
ebf2	-0.8375000000000001	-2.505343186
diras2(2of2)	0.4900000000000001	2.32185378
trim36	-0.23250000000000004	-1.830420916
tnfrsf11b(2of4)	-1.275	2.669938779
api5	-1.31	-1.34689197
ntn1(4of4)	-0.87	-1.48401543
nr2f2(3of3)	-2.041666666666667	-1.618207112
cic(1of2)	-2.17	1.117229158
them6(2of2)	-1.44	1.023859863
fgf17	-0.664	-1.381086534
meis2	-1.0289655172413794	-1.648247038
dll1(2of5)	-0.8979999999999999	-1.793532578
mnx1(1of2)	-1.0899999999999999	-3.174804856
col4a3bp(2of2)	-1.66	2.55370638
megf6	-0.7375	-1.672404586
adcy6(1of2)	-0.47500000000000003	1.232427272
cmip	-1.55	1.576173916
rapgef3	-1.1733333333333333	3.453759794
elmo3	-2.733333333333333	1.240893174
dach1(1of2)	-0.9600000000000001	-3.794523985
myo10(1of4)	-1.3325	-3.000490852
gtpbp8	-0.9125000000000001	1.064445707
zc3h12c(2of2)	-1.43	-1.615684267
lrba	-1.28	-2.182218127
c1orf216	-1.27	2.653509901
smarcad1	-1.52625	-4.683195942
rbms2(1of2)	-0.4483333333333333	1.441868076
slc4a4(2of2)	-2.69	1.128704176
hivep2(1of2)	-1.2116666666666667	1.34145854
hmha1	-1.08	-1.12687684
alx4(1of2)	-1.2699999999999998	-1.533101762
rab39a(2of2)	-1.3	-2.014141255
sema4f	-0.9299999999999999	-1.736871748
micall2(2of2)	-0.3525	-1.387815322
scn2a(2of2)	-0.24666666666666667	2.060055031
lefty1	-0.645	-3.903946837
nog(3of4)	-0.645	1.445396749
sobp(1of2)	-0.07500000000000004	1.00517552
capn2(3of3)	-0.9150000000000001	-2.38728645
igf2	-1.4100000000000001	-3.076287876
tnrc18	-2.2	1.675730601
LOC107392754	-0.20878787878787877	1.405810966
bmp5	-0.6766666666666667	-1.195623039
prorsd1	-0.92	-1.975779594
igfbp3(2of2)	-1.03	-4.24965092
adamts1	-0.275	-2.486687685
pawr	-0.6566666666666667	1.011768116
galnt18(4of6)	-1.02	1.476207993
pcdh7(1of2)	-0.013235294117647053	-1.298393414
hs3st3b1(3of4)	-0.7203571428571427	-1.720218622
s1pr3(1of2)	-1.0255555555555556	-2.807303049
gpc1(1of2)	-1.5075	-3.498188196
lonrf1(1of2)	-1.34	3.540264184
prlr(1of2)	-0.97	-1.468650852
tagln3	-0.85	1.709894628
baiap2l1(3of3)	-0.5933333333333334	1.03962293
camk2d(2of3)	-0.21749999999999997	-2.418172422
pdcd6	-0.92	-1.113851192
epha4(1of3)	-0.29214285714285715	-1.15618284
sult2b1(3of4)	-1.23	-2.299136578
col4a1(1of5)	-0.58375	-2.378260612
tpbg(3of4)	-1.77	-1.480122252
bhmt(1of2)	-1.03	5.273828798
acot1(1of2)	-0.6875	1.368420739
atp11b	-0.14514285714285716	1.224023754
tfeb	-0.3291666666666665	2.452587104
enox1(1of2)	-0.4366666666666667	1.656314238
camkmt	-1.4757142857142858	-1.018878603
slc25a1(1of3)	-1.01	-3.398495049
tshz2	-0.85	-1.657689087
bmp7(2of5)	-1.068	-1.636264756
dgkb(2of4)	-0.7625	2.074329547
dock3(2of2)	-0.6150000000000001	2.127236874
fam69b	-1.31	2.764270437
sox6(1of2)	-0.4108695652173914	-1.090516406
stc2	-0.87	1.139789485
robo2(4of4)	-2.024545454545455	-1.777990092
eif3m	-1.62	1.866111904
htra1(1of2)	-0.945	-1.231105606
slc12a8	-1.03	-2.101520898
atoh1(2of2)	-0.96	-4.852864985
dpp4	-0.83	-2.680329876
apcdd1(1of2)	-0.7123076923076924	-1.52758194
ctss	-1.3925	-1.93278356
cgref1	-0.43	-5.532338035
tbxas1(3of3)	-1.1633333333333333	2.202540825
per1	-2.45	2.033700298
bbs9	-1.2266666666666666	-1.032153828
gdpd2	0.9149999999999999	-3.550623298
kit(1of2)	-1.08	1.499813667
islr2(1of2)	0.2925	-1.474321393
galnt3	-1.23	-1.615579925
myo18b(1of2)	0.29	1.597887332
LOC107396397	-1.59	1.52005059
cdo1	-1.11	4.790386799
cadps2	0.4066666666666667	-1.686286763
epha4(2of3)	-0.6111538461538462	-2.479764056
fam49b(2of3)	-0.5677777777777779	-1.750749009
pde3a(2of2)	-1.05	1.016890319
rab11fip1(2of2)	-0.7549999999999999	-1.874309025
rpl11	-1.08	1.345051522
epha4(3of3)	-1.172	-1.651775921
frk	0.22999999999999998	-1.460537826
sema3a(2of4)	-1.016111111111111	-1.774656479
spsb4(2of2)	-1.2424999999999997	1.31303093
il34	-0.818	1.07711837
stk10(1of2)	-0.665	2.203979733
pcdh17(1of2)	-0.49666666666666665	-2.114842751
slc38a8(2of2)	-0.98	-1.780036267
gadd45g(3of3)	-0.8633333333333333	-1.604874681
chac1(1of2)	-1.505	3.432207782
gcnt4	-0.35750000000000004	-4.566994996
lamb1(4of4)	-1.626	-2.601140865
dbx2	-1.09	-2.873281112
sfrp5(2of3)	-1.5850000000000002	-3.041087214
nav1(2of2)	-0.7569999999999999	-1.456911935
atp2a2(1of4)	-0.7366666666666667	-1.984035404
tfpi2	-0.042499999999999996	-2.087231616
xpr1(1of2)	-0.538	-1.037836441
cntnap1	-1.11	-1.16288013
abca4(1of2)	-0.5185714285714286	1.066190867
efna2(1of2)	-1.02	-4.669717933
npnt(1of2)	-1.56	-1.209785774
bin1(2of2)	-1.24	2.952509304
