Gene	Chip_FC	RNA_FC
timp3	2.1	1.650200167
gpt(1of4)	1.88	1.362396469
tox4(2of2)	-1.615	-1.834701255
arhgap11a(2of2)	-1.91	-4.236995191
eif4ebp1(1of2)	2.29	3.988431576
bcl11a(2of2)	-3.49	-3.872405021
kif4a	-1.755	-8.061388299
junb(2of2)	2.58	1.988332392
rheb(1of2)	1.75	2.605249356
serpina10(1of2)	2.64	4.052922421
lamp1(4of4)	2.06	2.324764462
mcm4	-2.8	-4.921829983
slc30a1	-1.92	-2.887052208
chchd4(2of2)	-1.85	-1.562280524
fam185a	1.75	3.420789399
myo1b	-2.22	-1.666253638
aif1l(2of2)	-3.98	-2.92146053
cbx7(1of2)	1.8449999999999998	6.465767806
haus8	-2.02	-2.485172792
tk1	-2.02	-3.588661577
dnaja2(2of2)	-1.64	-1.570127489
rapgef3	2.28	3.453759794
parp12(3of3)	2.63	3.838926381
coq10b(3of3)	-2.37	-2.558776047
celf3(3of3)	-2.75	-2.738962205
chaf1a	-1.62	-4.81069302
rfc2	-0.5	-3.923198442
cks1b(2of2)	-1.63	-4.8972811
bcs1l	-2.11	-3.159261362
efnb2(3of3)	-1.6349999999999998	-2.096743542
ptrhd1	-3.0	-3.0028801
ddx5(2of2)	-0.16000000000000003	-2.423244061
slco5a1(2of2)	-3.24	-5.074364801
timp2	1.8	2.490467181
angptl4(2of2)	-3.51	-1.21029465
pmf1	-2.09	-6.470643192
noct(1of2)	-3.97	-4.946909421
hmga1	-1.35	-3.030855942
klf15(2of2)	2.29	3.073723207
cdc20	-2.3	-6.66319306
sord	2.19	2.312335153
f10(2of3)	2.13	3.874863049
pigc	-0.6433333333333334	1.048024207
spin1(4of4)	2.55	1.878395797
LOC107385269	-0.635	-3.553081243
rab11fip5	2.37	2.692476511
higd1a	-2.25	-3.566216159
pnpla2(4of5)	1.68	4.877199242
st8sia2	-3.31	-3.428867191
dhx32	-2.48	-2.251293871
stk10(1of2)	1.79	2.203979733
narf	-1.87	-3.336911477
tubb5	-3.78	-5.220476292
gnao1(2of3)	-2.47	-2.520415394
trpc1	3.74	3.552666045
bhlhe22	-1.24	-2.84639769
eva1c(1of4)	2.55	4.517681803
slc25a25(4of4)	-1.63	-2.537274304
cmpk1	-1.98	-3.697765698
acsbg1	-1.01	-1.143956819
troap	-2.77	-4.336785512
plk4	-1.95	-4.180770945
gadd45b(2of2)	2.96	3.513397086
tubb4b(5of5)	-1.4	-3.776544527
ago1	-1.61	-2.310092207
tmem47(1of3)	-2.08	-1.518948966
epb41(1of2)	2.23	1.400585882
prodh(2of2)	2.18	2.257116106
slc25a1(3of3)	1.84	2.056704949
timeless	-2.01	-4.254060892
ormdl3	1.72	2.535993415
igdcc3(3of3)	-1.946666666666667	-1.860126649
espl1	-1.53	-5.604629844
dpf3	-1.91	-2.275164415
dnajb2	1.65	4.184956933
e2f8	-1.76	-4.938769738
aaas	-1.7	-2.724084274
gpatch2l	2.03	3.804020358
dlg5(1of2)	1.39	2.257824857
snx27(2of2)	-1.74	-3.316132049
ddx5(1of2)	-1.44	-3.38930049
farsb	0.67	-2.372763978
bbox1	-2.96	-3.520809699
mcm2	-2.05	-2.463079811
osgin2(1of2)	3.52	2.988849621
elk4(3of3)	-1.61	-2.314052627
hist2h3d(1of8)	-3.77	-10.25741371
kifc1(1of2)	-1.9	-4.064289544
tuba1c(3of10)	2.64	1.860511746
smc2	-1.88	-7.049673919
ccdc149(2of2)	2.38	2.881934406
wdhd1	-1.72	-4.356521901
bard1	-2.15	-3.980837132
fam64a	-1.51	-3.500727725
gab1(1of2)	2.28	3.341237394
eef2(2of2)	2.25	3.164694898
mast2(1of3)	0.775	-1.853654123
prc1(2of4)	-1.96	-3.796924484
kiaa1524	-1.75	-5.130062661
tmem132e	-2.55	-1.685547644
nacad	2.74	2.710744361
flt1(2of2)	3.18	1.209806937
fsbp	2.04	-1.053061565
gadd45a(1of2)	-2.71	-3.590914359
lonrf3(1of2)	1.01	2.110983661
tet2	-0.39999999999999997	-1.453794909
fam13a(1of3)	-0.2833333333333333	2.570529765
hist1h2bk	-3.64	-6.666720198
rbbp8	-2.2	-2.829659252
slc43a3(1of2)	-2.34	-2.894409779
tpd52	-0.10666666666666665	1.677843183
gins3	-2.22	-8.10229272
chaf1b	-1.81	-5.961829851
abcc5	2.44	1.463744771
kbtbd7	-2.08	-2.972099332
mapk8(1of2)	-1.35	-2.005931598
nans(2of2)	-1.83	-3.462530681
kdelc1	-2.65	-5.145255194
gars	-1.47	-3.351964775
LOC107385308	5.27	4.071076022
plpp2(1of2)	1.53	2.009439362
LOC107388443	2.97	3.143563115
zeb2(3of3)	-1.6	-1.595721245
chst12(1of3)	-2.52	-3.468787309
tesk2(1of3)	1.87	2.740120936
e2f1	-1.35	-3.040459146
timm44(2of2)	-2.09	-2.401882253
hmgcs1	-1.5	-1.778599261
mtmr11	-2.02	-3.111680002
papss2	-2.11	-4.187180899
ncapg2	-1.8	-4.168015419
cenpk	-2.04	-4.462201227
cenpf(2of2)	-1.67	-6.696367999
rb1	-1.79	-2.646896401
fat2(1of2)	-2.77	-2.535255439
atf3	2.47	2.948824594
ints8(1of2)	-2.01	-2.136489979
arfgap3	1.66	1.733977836
slc25a3	-1.49	-1.921894108
exo1	-2.48	-4.649578793
hivep2(1of2)	3.63	1.34145854
farp1(2of2)	1.385	2.191509923
racgap1(3of3)	-1.74	-5.967327936
ccpg1	1.8	2.351811138
lhfpl2(2of2)	-0.885	-1.030537485
tlr5(1of2)	1.045	3.300403661
cks1b(1of2)	-1.72	-6.540228498
elovl6(3of3)	-1.76	-1.731813339
rilpl1(3of3)	1.52	3.892227926
smdt1(2of2)	2.18	3.331856357
spata20	1.37	2.038415363
spc25	-1.44	-5.230758778
cish(1of2)	-3.06	-2.498629147
tmem269	2.41	3.746635504
cdk1	-2.01	-4.695209184
klf9(2of2)	2.13	3.233696908
sparc(1of2)	-2.22	-1.517253323
aanat(3of3)	3.29	4.554526096
rap2a(2of2)	-2.06	-1.070024877
rad54l	-1.6	-2.247881075
dtwd2	-1.44	-2.581605214
ccnb3	-1.78	-5.155188842
tspan11	1.9	2.148752918
pole2	-2.37	-3.625089254
nadk(1of2)	-1.56	-1.600343851
tbkbp1(1of2)	1.65	2.443634147
LOC107395202	-3.11	-4.124092818
vmp1	-1.67	-2.333693566
lypla2	-1.63	-3.131888531
zkscan2(2of2)	-1.69	-2.20765347
foxd1(1of3)	-2.95	-2.9854772
ccser1	1.65	1.763291797
pdxk(2of2)	-2.86	-2.524434831
sox9(2of3)	-1.69	-2.030142375
pcdh8(3of3)	-2.66	-3.448916577
rhbdf1(2of2)	-2.32	-2.285368392
slc6a6(1of2)	-1.5	-1.714789126
dcaf7(1of2)	-1.2033333333333334	-5.814787084
fam49b(2of3)	-1.62	-1.750749009
phlpp2	2.17	3.665951193
aspg	-2.54	-2.760380762
nmnat2	2.54	4.397350759
sephs1	-1.41	-4.521691021
ssh2	-1.175	-2.247412276
ppp1r3d(2of3)	1.79	3.349254237
nr1d2(4of4)	1.3800000000000001	2.082454299
ism2(1of2)	-2.96	-4.162476707
eml6	-2.19	-1.40107124
arhgap19(1of2)	-1.75	-3.942650537
slc27a2(2of3)	1.6	3.006345161
ccnf	-1.71	-4.432709519
pck1(1of2)	-3.77	-4.941517708
mad2l1bp	-1.7	-7.906230149
ece1	0.8833333333333333	1.398765282
fanca	-2.29	-2.006191536
ankrd13c(1of2)	-1.69	-1.869453928
psmc5	-1.51	-2.864086839
pnpt1	-1.9	-1.229096073
slc25a25(1of4)	-1.44	-1.511575088
nuf2	-0.19499999999999995	-3.807046887
LOC107379778	1.4	3.606465476
iffo1(1of2)	2.7300000000000004	-1.757768077
rtkn2(2of2)	-1.0150000000000001	-3.235135955
synm	-0.2849999999999999	2.358732077
snrk(2of3)	1.145	2.967180252
clip1(1of2)	-2.37	-1.365959947
parp12(2of3)	1.32	2.958264893
ap4e1	-1.47	-2.636527577
usp5	-1.17	-2.716823958
dgat1(1of3)	1.85	1.785615737
thbs1(2of2)	-2.59	-4.385713476
ifrd1(2of2)	-1.19	-2.697001272
ppm1l(1of2)	-1.6	-1.99350655
fbxl15	-1.85	-3.537787443
etv5(2of2)	-2.15	-3.171322014
atad2b	-1.27	-4.985376004
ubr7(2of2)	-2.42	-3.451705533
ndc80	-1.58	-7.114056562
cd34(2of2)	-2.115	-1.214896964
ccdc167	-2.22	-2.819198687
pfkfb4(1of2)	-0.9166666666666666	1.628443671
mthfd2	-1.83	-4.601653914
trib2(1of2)	1.135	2.378469013
smad4(2of3)	1.71	3.84939576
fam160b2	1.95	1.848372175
pcdh10(5of10)	-2.24	-3.646848621
arhgef40(1of2)	-2.73	-1.806337053
oxnad1	-1.4	-1.038954029
hoxb1(3of3)	1.64	1.250698586
thap4(1of6)	1.73	1.793736816
rab14(2of2)	3.105	-1.603448876
clspn	-1.2	-3.796100578
myc(2of2)	1.62	3.876480966
dpysl2(3of3)	-3.67	-2.771642176
chek1	-1.58	-5.042955965
tns2(2of2)	2.53	3.384313361
bub1(1of2)	-1.51	-3.327588924
tldc1	1.5	1.368225057
epha4(2of3)	-2.44	-2.479764056
pdgfa(1of2)	-2.26	-2.472342852
cd276(1of2)	-1.57	-1.400684237
nusap1	-1.48	-8.610577579
ttbk2(1of2)	1.72	2.513620842
rnf169	-1.58	-2.320322146
acss3	0.6766666666666667	1.464744274
ptpn12(2of2)	-1.27	-1.397757303
hist1h1b(5of6)	1.63	-3.547866674
abracl	-4.29	-7.166879569
sox9(3of3)	-2.115	-1.917555992
mecom	-4.42	-4.964180676
b4galt3(2of2)	2.3	1.888510472
st6gal2(1of2)	1.81	1.748945405
abcc4	-3.45	-1.841947322
agps	-1.3	-1.731826837
creg1	1.9249999999999998	2.343874025
ppara(1of2)	2.12	2.789631375
ash1l(2of2)	1.37	1.591907732
tmem45b(2of2)	-2.18	-2.016205337
fbxo48	1.49	3.322752054
foxp4	-1.27	-2.277721599
anapc15	-1.41	-2.067193667
kif11	1.9450000000000003	-3.31485638
idh1	-2.6	-3.849208881
kctd15	-1.73	-1.644521274
spdl1	-2.225	-1.688940002
lrrc40	-2.71	-1.869423238
clock	-1.53	-1.403096918
mettl21a	-2.64	-3.695295082
scarb2(1of3)	-1.29	-1.998694485
pfkp(2of2)	-2.08	-3.713653484
mfsd13a	2.02	1.305971702
adamts1	-2.4	-2.486687685
eif4e(3of3)	-1.21	-3.438337839
cbx8(1of2)	0.04499999999999993	4.262299212
c9orf16	-1.49	-3.160586192
vwa7(6of6)	-3.04	-2.828097052
palb2	-1.51	-2.455006833
abcf2	1.705	-2.027029574
anln(1of2)	-1.21	-3.635661257
LOC107389788	-3.0	-4.556782631
nomo1	-1.31	-1.230637653
hist2h2ab(1of10)	-3.48	-8.153535812
hes5(5of5)	-2.78	-1.869027406
cdk9	-1.12	-1.116805904
plin2(2of3)	-2.8	-3.794652265
ip6k2(2of2)	1.52	1.146731965
fat4(2of5)	-1.49	-2.462601512
cdr2l(1of2)	-2.0	-1.083661184
cenpl	-1.87	-2.822936494
fbxl2	1.3	1.84299942
apex1(1of2)	-1.39	-4.305177707
tbccd1	1.72	1.151275695
rap1gds1(1of3)	-1.51	-1.091087612
fkbp10(1of2)	1.29	1.036436102
gstm3(2of2)	1.38	1.944834228
itgb8	-3.26	-1.597995144
tapt1(2of2)	1.34	1.783752984
aurka	-1.11	-3.711250245
minpp1(2of2)	1.62	1.3916129
prep	-1.62	-4.533634967
slc22a13(6of6)	1.99	2.820268391
mms22l	-1.52	-3.150271184
smc4	-1.26	-2.329894452
tmem35	-1.65	-2.511362403
memo1	-1.25	-2.692615578
fgfbp3	-1.71	-2.110206682
bahd1(1of2)	-4.79	1.07397271
cdk2ap1	-1.74	-5.500571373
ska3	-1.62	-5.082110162
rangap1(2of2)	-1.45	-4.439845263
pbk	-1.33	-4.930972602
fam173a(2of2)	2.1	4.643924311
abat	1.38	1.786329825
hes6(2of2)	-2.12	-2.639114339
cyp2u1	1.63	2.265189957
man2b1	-3.64	-1.479054295
fzd1	-1.22	-1.435914355
tax1bp1(1of4)	1.34	2.809992974
dnmt3a(2of2)	-2.3066666666666666	-1.74654539
cep135	-1.31	-2.286989065
ttbk1	0.3599999999999999	2.066946716
klf9(1of2)	-1.1	-3.930957133
armc6	-1.46	-2.278094364
hes5(3of5)	-3.293333333333333	-1.786908369
hist2h2ab(4of10)	-1.815	-8.489566453
vat1(2of2)	-1.51	-2.873678315
ckap2l	0.9700000000000001	-3.987316955
mtcl1(1of3)	-2.94	-3.852891797
cfap43	2.2	2.1209369
tdp1	-0.885	1.731479149
snrpf	-1.09	-4.633462286
pura(1of2)	-0.255	-1.059977337
nr2f1	-0.41999999999999993	-1.911061057
alkbh3	-1.63	-1.240064183
pfkfb3	-1.79	-1.649144339
acp1	-1.64	-4.581856575
LOC107391388	-1.12	-1.966486543
ywhag(1of2)	-1.39	-1.177218393
zar1(2of2)	3.41	4.30619172
hoxb1(2of3)	-1.94	-2.634034333
cecr5(2of3)	-1.99	-2.496847458
cdca3	-2.27	-5.844480417
eprs	-0.31	-2.133580837
kif2a(2of2)	-1.2	-2.192731933
mxra8(3of3)	-3.52	-2.909504566
ube2c	-1.14	-5.219393522
thsd7a(1of2)	-2.79	-1.406071165
gins4	-1.88	-4.314187773
tshz1(3of3)	-1.05	-1.742982944
atp10d	-1.79	-1.558040498
gfm1	-1.9	-2.007970253
znf569(2of12)	-0.74	1.166889497
ppp1r15b(2of2)	1.29	1.710191916
dixdc1(1of2)	-1.42	-1.698500423
ccdc85c(2of2)	-1.42	-2.146319701
tsta3	-2.26	-3.280852082
notch2(1of3)	-1.375	-1.755109436
tsc22d1(2of2)	1.1866666666666668	3.889345731
tipin	-1.67	-3.980473656
acrc	-1.56	-5.893745373
basp1	-2.64	-4.013571701
stau1	-1.23	-2.801528335
sqstm1	1.45	2.924521648
plk1	-1.23	-3.866218368
sox4(2of2)	-1.81	-2.192534362
kpna3	-1.26	-2.87682805
c7orf57(2of2)	-1.42	-3.147726121
arfgap1	-1.45	-3.413715595
sacm1l(1of2)	-1.28	-1.211315901
ntn1(1of4)	-1.84	-2.996523429
dach1(1of2)	-1.91	-3.794523985
psma2	-1.2	-2.590948298
stx5	-1.27	-1.516738778
cmtm4(1of2)	1.19	2.177909547
e2f3(1of3)	-1.07	-2.914611682
pax7	-2.56	-3.698755287
ythdc2	-1.46	-1.998038394
far1(2of2)	-1.84	-1.112038907
tmem198(1of4)	-1.82	-2.187051911
akr1a1(3of4)	1.525	1.995104053
cenpw	-1.35	-3.514889431
pttg1ip(2of3)	-0.8899999999999999	1.366194132
atp2a2(1of4)	-2.35	-1.984035404
terf1	-1.64	-2.02537923
gpatch4	-1.97	-2.744775015
arhgap31	-2.82	-1.855464909
slc30a7	-1.25	-2.861952546
them6(2of2)	1.93	1.023859863
cux2	-2.48	-2.864097702
f2r(2of2)	1.92	3.423461571
ccnt2(2of2)	-1.03	-1.199352097
rdm1	-3.21	-6.312492326
crlf3	-1.64	-1.34312661
taf6l	-1.53	-1.681914296
ppie	-1.42	-1.54414091
plxna1(2of2)	-2.29	-1.779199339
hras(1of2)	-1.13	-1.097732724
cenpe(2of3)	-1.58	-4.808830371
socs7(2of2)	1.05	2.565280787
asb13(1of2)	0.7000000000000001	2.28682139
enpp4	2.05	1.672733276
arid1b(2of3)	-2.49	-1.158231572
sgms2(2of2)	1.0366666666666666	1.790918702
tenm3(1of2)	-2.83	-1.361869231
rnf213(2of2)	2.2	1.003405015
rbm24(1of2)	1.61	2.759143623
txnrd2	-1.44	-1.770939324
dck(2of3)	-1.46	-3.853636243
pdap1(2of2)	-1.17	-4.375689556
dpp3	-1.25	-5.200240062
abcd2	-1.28	-1.797685481
kif21a(2of3)	-1.78	-1.427820639
grb10(1of2)	1.4	2.390785995
mcm6	-1.49	-3.235070053
gk(1of2)	-2.5	-2.255916239
diras2(2of2)	1.51	2.32185378
pdp1(2of3)	-0.745	1.522194113
col4a3bp(2of2)	0.185	2.55370638
fam73a	-1.45	-1.488797473
me3(1of2)	-1.36	-3.111550353
rrm1(1of2)	-1.08	-3.907378573
tmeff1(2of2)	-2.16	-1.921390089
dnph1	-2.81	-4.410525372
sema6a	-1.46	-1.97338236
lrrk2	1.39	1.546881239
sik1	-1.69	-1.39810541
macf1(1of2)	-1.41	-1.282610127
arf1(2of3)	-0.395	-2.661716743
traip	-1.09	-2.937833593
hmgxb4(1of2)	2.93	4.62563322
nin	-1.3	-2.032818293
npepl1(1of2)	-1.13	-1.129879213
lnpep	1.21	2.462542318
fbxl20	-1.31	-1.530378098
sox4(1of2)	-0.09999999999999996	-1.953385072
renbp	2.32	2.083945942
sars	-1.08	-2.17898919
snx14(2of2)	1.25	2.095556616
syt14(1of2)	-1.6549999999999998	-2.895692197
cdh23(2of3)	1.31	-1.16229724
brip1	-1.52	-2.416707111
dhx15(1of2)	-1.04	-1.169020289
cyp27a1(3of4)	-1.99	-2.179349423
eogt	-2.02	-3.036715651
b4galnt4	-2.23	-2.391462058
cbs(2of2)	1.57	1.53701054
psmd1	-1.17	-2.643772197
slc27a4	-1.53	-2.545488776
col12a1(2of2)	-5.58	-3.233120263
dnajb11	-1.25	-1.840128519
hes5(4of5)	-3.5949999999999998	-1.91035797
c14orf166	-1.08	-1.285458077
dtx3(2of2)	1.33	1.539169029
trim62(2of3)	-2.41	-1.949827674
pip5k1a(1of2)	-1.23	-3.138944925
atp1a1(2of2)	-1.26	-1.03230088
lrp11	1.99	2.134610669
sall1(3of3)	-4.19	-3.325582788
dctn1(1of2)	-1.21	-1.778312308
alg9	-1.08	-2.168277689
kif23(2of2)	-0.7066666666666667	-5.414327396
agrn	-0.3	-1.130192662
rpl22l1	-1.04	-1.25162851
tram2	-1.26	-2.395771494
neurl4	-1.16	-1.055239716
poglut1	-1.12	-2.645379046
erbb2	1.11	1.060641993
pim1(1of3)	-1.0	-1.054328111
tmem179(2of2)	0.5666666666666668	2.909912543
myf5	-3.47	-3.2671911
ganab	-1.01	-2.543039535
hsd17b7(1of3)	1.49	2.706717279
fli1(1of2)	-2.92	-1.549470649
mfsd3	-1.4	-1.596582318
lct(1of2)	1.96	2.060387252
marveld3(2of2)	-1.4866666666666666	1.694188245
gulp1(2of2)	-1.6300000000000001	2.074350784
ttll7	-2.86	-4.021295311
asphd2(1of2)	1.34	1.853617937
nufip2(2of2)	-1.0	-2.134061486
mlh1	-1.4	-1.873083899
cyr61(3of5)	1.77	1.624262189
hmmr(1of2)	-1.07	-3.368756168
rnf126(2of2)	-1.4	-2.261240762
tdg(2of2)	-1.24	-3.378713282
numa1	-1.46	-3.732101776
wbp2(2of2)	1.11	2.66639763
sp4	1.38	1.094745283
cyp26b1	-1.285	-4.042446739
spag5	-1.56	-6.097198269
tp53	-1.02	-3.550866671
mab21l2	-1.88	-3.476089473
kidins220	0.88	1.209442436
slc4a4(2of2)	1.18	1.128704176
ppp1r13l	1.2	1.470911589
slc25a44(2of2)	-1.26	-1.773423548
rars	-1.43	-1.420114561
pde4b(1of4)	-3.6466666666666665	-1.060377701
slc27a6	1.19	4.102307941
ruvbl2	-1.07	-2.582262768
uqcrc1	-0.99	-1.577335733
dlat	-1.43	-1.572650688
eed	-1.42	-3.916371845
fibin(1of2)	-1.69	-1.801249385
prc1(1of4)	-1.24	-3.512256296
fam49b(3of3)	-3.34	-3.129895021
etaa1(2of2)	-1.17	-1.880483503
ttk	-1.07	-3.540911141
auts2(2of2)	-2.64	-1.280236807
pmepa1	-5.470000000000001	-2.664495957
rpa1(1of2)	-1.36	-4.130635409
ccdc69	-1.33	-1.225611488
snrpg	-1.07	-3.113699485
kbtbd8	-0.93	-1.256495198
tsc22d3(2of2)	2.21	3.518078663
col15a1(2of5)	-1.695	-1.877474495
cntnap1	-1.77	-1.16288013
col2a1(3of3)	-2.2	-3.44472365
prkcd(2of2)	-1.42	-1.220399016
ccnb2(1of2)	-1.02	-4.004717357
xrcc2	-1.57	-1.821713852
tax1bp1(3of4)	1.29	1.430879831
scml4	-1.55	-2.810945605
snx22	1.72	3.233980786
sh3pxd2a(1of2)	-1.39	-1.020009102
sema4d(3of3)	1.48	2.079477808
trim36	-2.02	-1.830420916
acacb	-1.63	1.004833861
irx1(4of4)	-2.755	-1.201162825
wdsub1	1.49	1.326582581
dcc(1of2)	-2.4733333333333336	-1.255552289
tpr(2of2)	-0.99	-1.757300723
canx(2of2)	-1.04	-1.459191785
arhgef2	-0.95	-1.533684498
arl6ip4	-1.23	-2.092520749
mcm8	-1.91	-3.638931179
gsg2	-1.24	-3.316470965
dctd	-2.94	-3.31637396
pacsin3(2of3)	-4.21	-1.709849264
topbp1	-1.1	-1.900487166
lamb1(4of4)	-2.475	-2.601140865
c8orf4(1of2)	1.14	2.257022049
nfyc	-1.22	-1.655916328
mocs1	0.06333333333333331	2.83595527
dynlt1(2of3)	-1.61	-3.296025427
dnajc8	-1.11	-1.915331849
adprh(2of2)	-2.03	-1.040986115
hes1(2of3)	-1.04	-1.870857717
cyld(4of4)	1.28	1.446116145
sirt1	-1.1	-1.832976457
samhd1(2of2)	-2.05	-3.366845383
pacsin3(1of3)	1.51	1.678387683
apmap(1of2)	-1.17	-1.346874693
dpp9(2of3)	0.44499999999999995	-1.105147438
cables2(1of2)	-2.32	-1.936174299
u2af1(2of2)	-0.95	-2.930767867
sepp1(2of2)	3.17	3.864927171
pqlc3	1.8933333333333333	-2.259090767
ctnna2	-2.15	-1.706709071
ebf2	-1.42	-2.505343186
mxi1(2of2)	-1.42	-1.511867807
cdca2	-0.99	-2.707855752
adprh(1of2)	1.07	2.28203638
brwd1	-1.07	-1.452987589
zmym4(1of4)	-0.885	-1.327040155
rpn2	-1.12	-1.954433619
rfesd(3of3)	1.63	2.040749918
dera	1.22	2.507989211
tonsl	-1.26	-2.608303245
atp2a2(2of4)	-1.02	-3.014283039
pusl1	-1.32	-2.548328254
lonp2	1.01	2.180295113
plxna2(1of2)	-1.54	-2.636777333
rfx7(2of2)	1.1	1.46420437
mbnl3	2.62	1.484860694
b4galt7	-1.2	-1.259681004
abhd17c(2of2)	-1.25	-1.627106572
alg11(1of2)	1.07	3.658746506
adpgk(2of2)	-1.24	-1.637781772
klhl26	1.29	1.221896491
mfsd12	1.13	1.006436381
tprg1l(1of2)	1.96	1.244163781
smarca5	-0.93	-3.496362628
txndc5	-0.94	-4.352040187
gas6	1.18	1.308660122
notch1(2of3)	-1.31	-1.38919389
kif20a(1of3)	-1.29	-9.101002306
col1a2(1of4)	-2.85	-3.578938457
fbxo5	-3.8	-8.111226815
tspo	1.04	2.674284902
cry2(1of2)	1.32	1.936932231
pptc7(2of2)	1.16	1.496367616
piga	-1.59	-2.445686118
plpp3(4of4)	1.12	1.419815366
dock9(1of2)	-0.5549999999999999	-1.972491548
brf1(2of2)	1.53	1.070841548
psmd6	-1.22	-2.654303153
pif1(2of4)	-1.28	-3.056940016
slc25a22(4of4)	-0.99	-1.416687432
col4a1(5of5)	-1.26	-3.374536266
glul(3of3)	-1.09	-1.175486127
c1orf112	-1.3	-1.894416874
trpm1(1of3)	-4.42	-1.54708194
kat2b	1.14	1.800262396
nt5c3b(2of2)	-1.29	-2.94766016
rgs3(2of2)	-1.31	-1.471079023
c15orf39	-1.3	-1.596325814
dennd4a(2of3)	-1.84	-1.695716386
nfil3(5of5)	3.35	7.015410662
ttyh3(1of2)	-1.02	-1.170633608
prelid1(2of3)	-1.04	-2.163904824
abcf3	-1.41	-1.716700713
dnmt3a(1of2)	-0.785	-1.603213132
arid5b(2of2)	-1.38	-1.840593104
creb1(3of5)	1.1	2.78612873
eva1b	-2.84	-1.094589847
rbl2	1.25	2.168565366
cpt1a(2of4)	-1.12	-1.457299372
ralbp1	-1.06	-1.175084258
cntn2(3of3)	-1.49	-1.75734777
smarca4(2of2)	-0.96	-3.723327148
nfat5(1of2)	1.15	2.256510267
atad5	-0.93	-4.095814706
hnf1b	1.73	-1.106160647
ascl1(2of2)	-1.75	-2.086000047
spsb4(2of2)	-1.2149999999999999	1.31303093
wars	-1.64	-2.500049557
acvr2b(2of2)	-7.31	-3.156599798
blvra	1.34	1.6347176
rab33b(1of3)	1.26	2.655752975
yod1	-0.87	-1.818140214
vars	-1.35	-1.356082495
