Gene	RNA_FC	Chip_FC
dnah8	1.456969205	-0.793296463
dph6	-1.557430762	-0.782116419
dpp3	-4.929397048	-0.692764228
dsn1	-2.389422444	0.659093651
dsp(1of2)	1.396875938	-1.236157641
e2f5	-4.540096269	-0.790726994
ebna1bp2(2of2)	1.081005288	-0.821313795
ednra(2of2)	-1.250919725	0.844988447
eef1a1(5of5)	2.124718822	-1.40504362
efna4	1.183830457	0.631131405
eftud2(1of2)	-2.049894898	0.806475107
ehd2(2of4)	-2.638751827	0.785516375
eif4e(3of3)	-4.506265621	0.61358254
eml6	-1.322213038	-0.650204305
epb41l1(2of2)	2.15507038	0.964770999
esco2	-2.854875934	0.820185773
exoc3l4	-1.515865143	-0.695301686
ezr(1of2)	1.805170535	-1.140890371
f10(1of3)	1.773431272	0.780208119
f10(3of3)	2.61098562	0.720826473
f13a1(1of2)	1.285424229	0.596279476
f2r(2of2)	2.619732488	0.652092684
fabp6(1of4)	-1.919265858	-1.305055334
fam107b(1of3)	1.613605377	1.017944801
fam161b(2of2)	2.272057798	-0.683028988
fam49b(1of3)	1.599454356	0.606713866
fam57b(3of3)	-2.137061707	-0.953380727
fam64a	-2.13937877	0.58122435
fam69c	-1.377537624	0.942372194
fbn2(2of3)	-1.779329118	-0.671310224
fbp1(1of2)	3.201139091	0.990223976
fbp2	1.704831393	1.195681567
fbxo15(3of3)	1.801478501	0.724867429
fgfbp1(1of3)	2.477485233	0.676264129
fgl1(3of3)	2.596971105	-0.771998252
foxq1(1of2)	1.761976911	0.940508091
fst	-1.808766617	-1.152826569
fxyd3	2.572190416	0.615452703
gadl1(1of2)	-1.666804617	-0.941345803
gatad2b	-2.052421266	-0.708222248
gbas(2of2)	-1.157695408	-0.79854723
gchfr	3.878647523	0.667340364
gga1(1of2)	-1.06178277	-1.019207825
gimap4(3of7)	3.06090987	-0.653823213
gimap7(3of11)	3.236165878	-3.715725812
gimap9(5of10)	2.289658259	-2.221683826
gk(1of2)	-2.129235929	-0.742578828
glul(1of3)	2.6476644	0.861103809
gm17296(2of2)	-2.17777943	-0.917457111
gmcl1	-1.628175072	0.925531498
gng2	1.172006731	-0.657758173
gpat3(1of2)	1.638117112	1.367160859
gpsm1(2of3)	1.34629126	0.751520454
gpt(1of4)	1.034883085	0.798924229
gramd1b(1of3)	2.010392133	-0.75436852
grpel1	-2.220498918	0.65451244
gsg1l(6of7)	1.330684204	-0.660068364
gstcd	-2.526593409	1.643816284
gstm3(2of2)	1.899031452	0.641786163
gulp1(2of2)	3.229091833	0.580614554
hc	1.250703485	-0.814753826
hdac4(1of2)	1.860880418	0.595468835
hepacam(2of2)	1.140778191	-0.796655481
hexb(2of2)	-1.848510096	-0.641457254
hgd	4.047224311	0.630805528
hlf(1of5)	2.677353413	0.588890613
hmbox1(2of3)	-1.827636794	-0.761814654
hmgcr(2of2)	-2.115770831	-0.690973763
hnrnpab(2of2)	-2.572485828	0.661748577
hoxd11	1.102714591	0.619235517
hpd(2of2)	3.700127419	0.641646154
hpse	-1.42586152	-0.797565144
iffo1(1of2)	-2.236558536	-1.648442141
igdcc3(3of3)	1.00309844	-0.68228748
itgb8	-1.628061833	-0.728234543
jmy(2of2)	1.825117704	-0.642541685
kalrn(2of2)	-1.111539079	2.604725788
kcng3(1of2)	2.4072152	0.840447628
kcnk6	1.09240475	0.580304805
kcnq5(3of4)	-2.014123746	0.827551504
kdf1(2of2)	1.825766019	0.701662444
kiaa1524	-4.715256003	-0.767074834
kif23(2of2)	-4.673543414	-1.843276194
klhl2	-1.170348909	-0.611858888
kmt5a	-1.063708184	-0.936417026
kpna2(3of3)	-1.464432293	-0.592733915
krt17(2of5)	3.841562299	-0.911032045
krtcap3(2of2)	1.171184616	0.659714857
l3mbtl4	1.068412945	-0.724887733
lamb1(4of4)	-1.233357124	-1.218378255
ldb3(2of2)	2.295341884	0.596035142
lhpp	-1.467565158	0.609707789
lhx4	1.409751034	-0.653271497
lin7a	1.433948925	0.585319523
lmnb1	-3.693529856	0.603159042
lmo7(2of2)	1.790126055	-1.47583374
LOC107372488	-1.12542552	-3.712476139
LOC107372742	-1.60935845	-0.730992054
LOC107373123	2.032636317	-2.132769885
LOC107373637	1.093025215	-0.618016001
LOC107375133	2.79160928	1.298824542
LOC107378458	5.873833907	0.626176349
LOC107381066	-1.243823746	-0.846230474
LOC107381070	-1.141943546	0.652724791
LOC107382953	2.014388394	0.663264167
LOC107389088	-1.812501041	-0.763354612
LOC107390827	-1.618619653	0.831903771
LOC107391470	2.849195979	2.336577384
LOC107393010	-1.094270081	-0.620536044
LOC107394159	-1.359114298	-0.779152961
lpcat3	-2.63920453	-0.73241656
lrrc40	-1.920329588	-0.735664819
lrrk2	1.085337863	-0.62141041
lss	-1.332123378	-0.622566751
lzts1	1.03999415	1.121001373
macc1	1.512060422	0.588197186
mafg(2of2)	2.019649066	0.606090754
magi2(2of2)	-1.207618514	-0.918918442
map1b(1of3)	-3.04197775	-0.707917149
mapk10	1.761034428	-0.639092468
mapk8ip1(1of2)	1.391961828	-0.623773092
mapkbp1(1of3)	-2.441787614	-0.98390095
mast1(1of2)	2.001149493	-1.137249612
mastl	-2.017155377	-1.058605657
mat2a(1of3)	-2.005727732	0.997935631
mcm2	-3.13520514	0.680033987
mcoln2	1.013357268	-0.618839031
megf6	-1.308276788	-0.716208087
megf9	1.010603346	-0.891271991
mettl6	-1.235819207	0.96698412
mettl7a(2of2)	-1.322344934	0.68348125
mia3	-1.319713582	-0.615870381
mical2(1of3)	1.319740296	-0.859328338
mkrn2(1of2)	-3.673663488	1.1871326
mlf1	1.116612264	0.642865857
mpdz(3of3)	2.050840681	-0.590778672
mpzl2(1of3)	1.117404604	0.864641008
mpzl2(2of3)	2.368644828	0.833496894
mrc1(13of18)	1.162821352	-0.632409166
murc(1of2)	2.140104115	0.587199056
myh7(2of3)	1.401919726	-0.693815882
mylpf(3of4)	1.337677056	-0.620204074
myo5a(2of2)	-1.247849323	-0.616408897
myo6(1of2)	-3.282739255	-0.610990318
myof(2of2)	1.078171464	-0.61348682
nae1	-2.106335855	-1.017476296
nans(1of2)	1.067026335	-0.688711142
ncapd2	-2.020736984	-0.74057303
ndufaf3	-1.025945051	0.618875504
nipa2(1of2)	1.725477209	0.580456663
nipsnap1	1.799618464	0.747473068
npb	3.577621368	-0.773975086
nup54(1of2)	-1.084800365	2.85029917
nusap1	-4.262496826	0.75382739
nutf2(1of2)	-2.029229197	0.588562843
obscn(2of5)	1.551284134	-0.770586986
ocln(3of4)	1.473702649	0.60894317
osbpl3(3of3)	1.487368152	-0.706835709
otud1(1of2)	1.767152664	0.875223415
pamr1	1.302599497	-1.415775544
pank1	1.003127202	-0.677160347
paox(1of2)	-1.172428126	-1.095758951
pcgf5	2.842400054	0.71887657
pcsk2	1.612769749	1.426193997
pcyox1l	-1.726452346	0.770107678
pebp4	1.43559902	0.592011679
pfkp(2of2)	-4.631248733	-0.580634133
pgbd5(4of4)	-1.675033838	-1.221052052
phactr2(2of3)	1.220739082	-0.652490082
picalm(3of3)	-1.66298731	-0.792272907
pigu	-2.909600433	0.794462247
pik3ip1	2.003571446	0.642505693
plcd1(2of2)	2.604879622	0.625228998
plcxd1(1of5)	3.575911955	0.862166193
pld1(1of2)	1.125929726	-1.881968421
plekhg4(2of5)	2.716199751	-0.841000568
plekhg4(3of5)	1.677924008	-0.957739019
plpp3(3of4)	1.728478629	0.598370595
plscr1	1.088112	0.776047558
plxna1(2of2)	-1.028262936	-0.645037549
pmm1	1.076534904	-0.979199688
pmp22(1of2)	1.072235619	0.630005362
polh	-1.141219549	0.676278884
pou2f2(1of2)	-1.465899305	-0.792532196
ppa2	-1.591066792	0.959720728
ppara(1of2)	1.323146246	0.585815151
ppcs	1.181067387	0.584398789
ppip5k1(1of2)	1.128899603	-0.621782938
ppm1h(1of3)	-1.606712039	-0.653953499
ppp1cb(2of2)	1.00466147	0.908448541
ppp1r26	-2.999602564	-0.803460982
ppp1r27(1of2)	2.886442412	0.599405871
ppp1r3c(3of3)	3.079588557	0.662794639
ppp1r9b(2of2)	-2.152797463	-0.79263564
prr15	2.159371592	0.847528517
prrc2c	-1.686159612	-0.670478932
psmd6	-2.429138747	0.653506013
psme2	-1.194699167	-1.07891475
ptchd3	-1.291690456	-0.773876823
ptges3(2of2)	-1.673465169	0.612486411
pttg1ip(3of3)	1.203146201	0.801061603
r3hdm2	-1.375894762	-0.621737051
rab25(2of2)	1.331602563	-0.86513608
rab38(2of2)	2.248685697	0.750714487
rab3d(2of2)	2.647693336	-1.956526869
rab4b	1.478150863	0.895756836
rac2(6of6)	1.569983552	0.62114061
rai1	2.294380014	-0.798915015
ranbp3	-1.31096988	0.762550793
rap1b(2of3)	-1.04895848	-0.955547323
rap1gap(3of3)	2.059811028	-0.67692546
rbbp4	-4.530253979	0.728108278
rbm45	-1.510614129	0.596812479
rbp4(1of2)	1.691075751	1.110394773
rbp4(2of2)	-1.088518153	0.769410324
rcvrn(2of3)	-1.454622525	-0.873608306
recql4	-3.811345901	-0.719308536
rin2(3of4)	1.438054301	0.582359322
rnf165(1of2)	-1.122442043	-0.634731664
rnf181	-2.207370334	0.636255419
rps6kl1	1.734115271	0.63552776
rrad	1.931322979	0.872933803
rrm2(2of2)	-3.900323231	0.693597203
rsph10b	-1.123334441	-0.771950869
ryr1	1.112835975	-0.762858963
sar1b(2of3)	-2.142390735	0.67739614
sardh	1.16740962	-1.056634401
scube1(2of3)	2.140418653	-1.041917504
sec13	-1.160460408	0.642537471
sema3c	1.134150879	-0.767867537
sepp1(1of2)	5.376727797	0.657138969
sgce(1of2)	2.866888802	0.597907629
sh2d5	2.377289228	1.485737651
sh3bp5(2of2)	-1.699173787	-1.668478095
shisa4(2of2)	-1.164274354	0.893679304
sirt3(1of2)	1.166196921	-1.037024764
slc10a3	-1.509793966	0.802242232
slc23a1(2of2)	1.422325404	-1.034063542
slc25a15(2of2)	-2.838781961	-1.211165506
slc25a25(1of4)	-2.453782709	-0.64761801
slc25a25(4of4)	-3.17334729	1.054911562
slc25a30	3.130075872	0.676413604
slc39a1(2of2)	1.17040133	-0.624904184
slc43a2(1of2)	3.316463273	-0.623308787
slc5a3	1.15149529	0.734105374
slc5a7(3of3)	-2.867750943	-1.316469162
slc6a5	1.207317526	-0.76774533
slc9a5	-2.244610337	1.871889195
smarcb1(1of2)	-1.201982864	0.582787188
smarcc2	-2.821406672	-0.69695963
smoc1	-1.914760884	-0.663874911
smyd2(2of2)	-1.238955889	0.597010382
socs3	2.895312256	-0.584811055
soga3	1.835200898	-1.06820097
sox10(1of2)	-1.056402542	0.743215899
sox14(2of2)	1.497187994	-0.716314561
sp140	-1.71175693	-1.153205934
spef1	-1.045422558	1.007151398
spef2(1of3)	-1.57925436	-0.828974325
spock2(2of2)	1.815950915	0.853262532
srr(1of2)	-3.470595936	-1.545382289
srrm3	1.246788352	-0.686605762
sspn	3.231990896	0.600012426
st6gal2(1of2)	1.185392818	-0.749207564
stk35(1of2)	-3.835531756	0.780469312
stt3b(2of3)	-1.878861581	-0.800441909
stx11(2of4)	2.878369394	0.644353796
stx5	-2.237820859	0.66109918
supt5h(1of2)	1.08192261	-0.862519738
svil(2of4)	-1.174959316	-0.802941252
svopl	1.209510578	-0.584524066
taf6l	-2.293386075	1.288360812
taok3(1of2)	1.363046835	-1.061503385
tdp2(1of2)	-3.687801685	1.101477586
tfeb	2.070582787	0.602475862
tgm5(3of3)	1.513405517	-0.588764208
thsd4(2of2)	3.40214983	-0.608569535
tm7sf2	-2.515962904	1.014626569
tmeff1(1of2)	-1.05157551	0.656446395
tmem106b	1.478035264	0.599378019
tmem145	3.325761672	-0.607734437
tmem178b(3of3)	2.739503603	0.78129201
tmem179(1of2)	1.00698446	-0.83368994
tmem184b(1of2)	-1.460832192	-2.199241112
tmem200c(1of2)	2.637061935	0.662897434
tmem235(2of2)	1.277858637	-0.707102399
tmem238(4of4)	1.458706926	0.621888453
tmem53(2of3)	-1.249342443	0.619266878
tmpo(1of2)	-1.082926269	0.694440868
tnik(1of3)	1.636156187	-0.653954613
tnni1(3of5)	6.458952243	-0.595748856
tonsl	-3.63847855	-0.632000016
trib2(1of2)	2.773946833	0.91597931
trim28	-1.274364973	-0.686071358
trim36	-1.296411977	-0.731726206
trim54(2of2)	1.381125894	-0.804231827
trim68(1of2)	2.164411375	0.879973072
trim80(9of16)	1.828788018	-0.629746312
trpc1	3.244501037	0.96735753
trpv1(1of2)	1.450668886	-0.751563614
tspan31	-1.120307018	0.637428498
ttbk1	1.352406129	-0.798539759
ttbk2(1of2)	2.001887112	-0.671429626
ttc39a(2of2)	1.733340893	0.885519552
ttll4	-2.134315107	0.935925314
ttll8	2.332614758	-0.856922181
tuba1c(2of10)	-1.997766293	0.595691028
tyrp1(1of2)	1.094735676	-0.59177578
unc119b(1of2)	-1.423479256	1.872635844
upp1	1.79245139	-0.725764508
vat1(2of2)	-1.313903824	-0.681655084
vat1l(2of2)	-1.772839273	-1.673367595
vdac2(3of3)	-2.996725514	2.287289208
vgf(2of2)	2.022826266	-2.557023562
vgll1	2.715938834	1.011166305
vit	1.134688271	-0.632289036
vwa5b2	-1.749058868	-0.757175926
wbp2(2of2)	1.728175495	0.581029097
wdr27	2.77896542	-0.625681997
xpnpep3	-1.253351438	-0.89567323
ypel3	1.730483695	0.730529331
ypel5(2of2)	1.078542411	0.589911592
zar1(2of2)	4.136451748	-0.867607889
zbtb48(1of2)	-1.11992219	-0.619768697
zc3h12a(1of3)	1.09620438	0.650213453
zdhhc12(2of2)	-1.161385114	-0.659422084
zdhhc16(1of2)	-1.562975009	-0.627805664
zfp36l1(4of5)	2.304577033	0.754276037
znf35	-1.572134	0.59092547
znf597	-1.285972556	0.58810134
