chr	start	end	id
chr1	114040354869190534625	114040354869190537112	pdp1(3of3)
chr1	228080709738381071747	228080709738381074218	mtus2(2of2)
chr1	456161419476762145975	456161419476762148112	mtf2(2of2)
chr1	912322838953524294097	912322838953524295599	lin37
chr1	1824645677907048589706	1824645677907048592483	cfap46(2of2)
chr1	3649291355814097182199	3649291355814097185721	phf14
chr1	7298582711628194367930	7298582711628194376070	chd3(2of2)
chr1	14597165423256388744010	14597165423256388748194	slc7a3
chr1	29194330846512777492214	29194330846512777492994	nkx1_2
chr1	58388661693025554985218	58388661693025554987302	ghsr(4of4)
chr2	1	3290	cdhr5(3of3)
chr2	3301	6970	kdm2a(3of3)
chr2	10281	11891	fgf20(2of2)
chr2	22182	22898	fgf4
chr2	45090	51279	cdh23(2of3)
chr2	96379	101279	cdh23(3of3)
chr2	197668	200855	ppp2r2b
chr2	398533	406418	kdm6b(2of2)
chr2	804961	808956	sphk1(3of3)
chr2	1613927	1615952	sirt1
chr2	3229889	3231680	fgf3
chr2	6461579	6461976	rps11
chr2	12923565	12926420	myo19
chr2	25849995	25850507	fgf17
chr2	51700512	51701252	rpl13
chr2	103401774	103403337	lect1(2of2)
chr2	206805121	206805792	rnaseh2a(1of2)
chr2	413610923	413611802	rnaseh2a(2of2)
chr2	827222735	827223055	rpl32
chr2	1654445800	1654446988	creb1(5of5)
chr2	3308892798	3308894320	prkab1(2of2)
chr2	6617787128	6617790850	slc1a2(3of3)
chr2	13235577988	13235579633	gabrb3(3of3)
chr2	26471157631	26471158122	c12orf65
chr2	52942315763	52942323106	setd1b(3of3)
chr2	105884638879	105884645266	prdm2(2of2)
chr2	211769284155	211769284943	hoxa7
chr2	423538569108	423538572133	trpc7(1of2)
chr2	847077141251	847077142133	xcr1(2of4)
chr2	1694154283394	1694154286243	cep112
chr2	3388308569647	3388308571216	idh2(2of2)
chr2	6776617140873	6776617143391	grb7
chr2	13553234284274	13553234285880	ttc30a1
chr2	27106468570164	27106468574607	ppp1r13b(1of2)
chr2	54212937144781	54212937149926	bcl9l(1of2)
chr2	108425874294717	108425874298753	hipk2(5of6)
chr2	216851748593480	216851748594945	bloc1s4
chr2	433703497188435	433703497189478	bphl
chr2	867406994377923	867406994382176	fam184a(1of2)
chr2	1734813988760109	1734813988761155	zfp330
chr2	3469627977521274	3469627977523238	gfra1(5of7)
chr2	6939255955044522	6939255955046563	st6galnac6
chr2	13878511910091095	13878511910093874	chrnb1(2of2)
chr2	27757023820184979	27757023820186566	cldn19(2of4)
chr2	55514047640371555	55514047640373290	pnp(3of5)
chr2	111028095280744855	111028095280746334	cops4
chr2	222056190561491199	222056190561492200	LOC107372748
chr2	444112381122983409	444112381122984569	gale
chr2	888224762245967988	888224762245969497	lcp2(1of2)
chr2	1776449524491937495	1776449524491939047	acaa2
chr2	3552899048983876552	3552899048983877841	exosc9
chr2	7105798097967754403	7105798097967756466	wdr73
chr2	14211596195935510879	14211596195935513448	chrna4
chr2	28423192391871024337	28423192391871027130	prpf39(1of2)
chr2	56846384783742051477	56846384783742053694	zcchc8
chr2	113692769567484105181	113692769567484106951	anapc15
chr2	227385539134968212142	227385539134968215982	csf1r(2of2)
chr2	454771078269936428134	454771078269936428877	capsl
chr2	909542156539872857021	909542156539872858188	rpusd4
chr2	1819084313079745715219	1819084313079745716349	hist1h1b(1of6)
chr2	3638168626159491431578	3638168626159491432769	tmem100(1of2)
chr2	7276337252318982864357	7276337252318982866142	trerf1(1of2)
chr2	14552674504637965730509	14552674504637965735753	msh6
chr2	29105349009275931466272	29105349009275931468165	znf235(31of148)
chr2	58210698018551862934447	58210698018551862941783	fam83h(1of2)
chr3	1	4736	pcdh1(2of2)
chr3	4747	6496	lsamp
chr3	11253	25735	huwe1
chr3	36998	38610	tapbp
chr3	75618	76572	ccdc90b
chr3	152200	152923	txn2
chr3	305133	306396	LOC107396618
chr3	611539	612615	zscan22(1of6)
chr3	1224164	1227013	tmem229a
chr3	2451187	2452386	tnfaip8l3
chr3	4903583	4907638	trim33(2of2)
chr3	9811231	9812144	tnmd
chr3	19623385	19624841	sgms2(1of2)
chr3	39248236	39248698	c11orf31
chr3	78496944	78499142	hspd1
chr3	156996096	156998517	plaa
chr3	313994623	313996184	cers5(2of2)
chr3	627990817	627994280	cxorf21
chr3	1255985107	1255985518	ier3ip1(1of2)
chr3	2511970635	2511972380	htr3a(4of11)
chr3	5023943025	5023944483	rnd2(2of2)
chr3	10047887518	10047889717	lcmt2
chr3	20095777245	20095778654	serpini1
chr3	40191555909	40191557267	LOC107383633
chr3	80383113186	80383116884	csmd3(7of9)
chr3	160766230080	160766233535	rab27b(2of2)
chr3	321532463625	321532469278	jag2(2of2)
chr3	643064932913	643064936708	zbtb39
chr3	1286129869631	1286129871427	brd7
chr3	2572259741068	2572259743261	LOC107372370
chr3	5144519484339	5144519485858	schip1(2of3)
chr3	10289038970207	10289038970991	nqo1(2of6)
chr3	20578077941208	20578077942088	ppil3
chr3	41156155883306	41156155885794	prr16(1of2)
chr3	82312311769110	82312311769453	LOC107395317
chr3	164624623538573	164624623539769	LOC107382444
chr3	329249247078352	329249247081070	fpgs
chr3	658498494159432	658498494163599	lrriq1
chr3	1316996988323041	1316996988323952	cetn3
chr3	2633993976647003	2633993976648542	rab1a(3of3)
chr3	5267987953295555	5267987953298445	c1orf112
chr3	10535975906594010	10535975906596254	znf721(2of2)
chr3	21071951813190274	21071951813193699	cdh18
chr3	42143903626383983	42143903626389067	runx1t1
chr3	84287807252773060	84287807252777551	kiaa1324l(3of3)
chr3	168575614505550621	168575614505551627	glrx2
chr3	337151229011102258	337151229011104137	irf8(2of2)
chr3	674302458022206405	674302458022208227	ankrd63(2of2)
chr3	1348604916044414642	1348604916044419109	arhgap44(2of2)
chr3	2697209832088833761	2697209832088836041	nol10
chr3	5394419664177669812	5394419664177672112	gipc1(2of2)
chr3	10788839328355341934	10788839328355342631	nlrx1(1of2)
chr3	21577678656710684575	21577678656710687827	scarb2(2of3)
chr3	43155357313421372412	43155357313421378382	atg9a(1of2)
chr3	86310714626842750804	86310714626842752757	pvr(2of2)
chr3	172621429253685503571	172621429253685506525	cadm2(1of3)
chr3	345242858507371010106	345242858507371012662	mmadhc(2of2)
chr3	690485717014742022778	690485717014742026982	ogdh(2of2)
chr3	1380971434029484049770	1380971434029484058543	ehbp1l1
chr3	2761942868058968108323	2761942868058968111138	zdhhc8(3of3)
chr3	5523885736117936219471	5523885736117936220740	tra2b(1of2)
chr3	11047771472235872440221	11047771472235872441264	LOC107378154
chr3	22095542944471744881495	22095542944471744882496	myl1(1of2)
chr3	44191085888943489764001	44191085888943489767099	plod1
chr3	88382171777886979531110	88382171777886979533493	ces1
chr4	1	471	wfdc3(5of7)
chr4	482	2938	pnpla2(3of5)
chr4	3430	8380	camsap1(2of2)
chr4	11820	16351	capn3(2of2)
chr4	28181	30319	laptm4b(2of2)
chr4	58510	61890	rbm15b
chr4	120410	123819	LOC107382835
chr4	244239	245176	elp5
chr4	489425	495455	ticrr
chr4	984890	985911	tnip1(1of4)
chr4	1970811	1972073	ackr4(2of2)
chr4	3942894	3943607	rps18
chr4	7886511	7889463	tmem151b(3of3)
chr4	15775984	15779354	otop1
chr4	31555348	31556141	cxcl1(2of2)
chr4	63111499	63112587	nccrp1
chr4	126224096	126225193	tmem208
chr4	252449299	252450672	msantd1
chr4	504899981	504901474	wdr4
chr4	1009801465	1009803176	prokr2(1of2)
chr4	2019604651	2019607466	moxd2
chr4	4039212127	4039213815	gabrr2(3of3)
chr4	8078425952	8078426811	zkscan2(1of2)
chr4	16156852773	16156855398	zscan22(2of6)
chr4	32313708181	32313709938	ttc16
chr4	64627418129	64627421055	cd2ap
chr4	129254839194	129254846209	ptprj
chr4	258509685413	258509687484	rag2
chr4	517019372907	517019375574	ppp2r2d
chr4	1034038748491	1034038749383	snai2(3of3)
chr4	2068077497884	2068077499429	slc48a1(1of2)
chr4	4136154997323	4136155006003	utp20
chr4	8272310003336	8272310006120	camkk2
chr4	16544620009466	16544620014412	rmdn2
chr4	33089240023888	33089240026826	bbs7
chr4	66178480050724	66178480053008	actr2(2of2)
chr4	132356960103742	132356960104778	tk1
chr4	264713920208530	264713920211506	pfkp(2of2)
chr4	529427840420046	529427840421805	gipc1(1of2)
chr4	1058855680841861	1058855680843711	zbtb26
chr4	2117711361685582	2117711361690517	tnk2(2of3)
chr4	4235422723376109	4235422723378133	igfals
chr4	8470845446754252	8470845446755578	lztr1(2of2)
chr4	16941690893509840	16941690893512845	notch1(3of3)
chr4	33883381787022695	33883381787028962	heatr5b
chr4	67766763574051667	67766763574058036	fgfr3
chr4	135533527148109713	135533527148114122	add3(2of2)
chr4	271067054296223845	271067054296226950	rims1(2of2)
chr4	542134108592450805	542134108592453863	dcbld2(1of2)
chr4	1084268217184904678	1084268217184906181	tecpr2(4of4)
chr4	2168536434369810869	2168536434369812524	myo7a(2of8)
chr4	4337072868739623403	4337072868739626558	usf2(1of2)
chr4	8674145737479249971	8674145737479253083	pcdhb16(3of3)
chr4	17348291474958503064	17348291474958505590	parg(3of3)
chr4	34696582949917008664	34696582949917016453	pcdh7(2of2)
chr4	69393165899834025127	69393165899834030615	mapk10
chr4	138786331799668055752	138786331799668056149	psmg4
chr4	277572663599336111911	277572663599336114362	mid1ip1(4of4)
chr4	555145327198672226283	555145327198672227995	plbd2
chr4	1110290654397344454288	1110290654397344460501	gpr158(1of2)
chr4	2220581308794688914799	2220581308794688915857	hist1h4c(5of12)
chr4	4441162617589377830666	4441162617589377831659	clec3b(1of2)
chr4	8882325235178755662335	8882325235178755667397	crtc3
chr4	17764650470357511329742	17764650470357511331931	ccdc53
chr4	35529300940715022661683	35529300940715022663272	sike1
chr4	71058601881430045324965	71058601881430045327372	donson
chr5	1	2061	bora
chr5	2072	12943	dido1(2of2)
chr5	15025	17234	nrg2(3of3)
chr5	32269	33828	prodh2
chr5	66107	70459	zbtb21
chr5	136576	140340	heatr6
chr5	276926	278962	gabrr2(1of3)
chr5	555898	559451	mcoln2
chr5	1115359	1116421	prmt6
chr5	2231790	2235000	ddx11
chr5	4466800	4468703	cyp4f22
chr5	8935513	8938506	rnd1(2of2)
chr5	17874029	17876299	khdrbs1(2of2)
chr5	35750338	35751435	otud6b
chr5	71501783	71503484	trmt2b(1of2)
chr5	143005277	143007696	zfp503(1of2)
chr5	286012983	286021788	kcnma1(1of2)
chr5	572034781	572035796	zp3(7of19)
chr5	1144070587	1144075174	pik3cd
chr5	2288145771	2288148167	capn5(2of4)
chr5	4576293948	4576312860	neb(3of7)
chr5	9152606818	9152611371	hipk2(1of6)
chr5	18305218199	18305221893	rims2(4of4)
chr5	36610440102	36610441590	dnajc8
chr5	73220881702	73220887496	smarca4(1of2)
chr5	146441769208	146441771611	anp32e(1of2)
chr5	292883540829	292883543210	gnl2
chr5	585767084049	585767084666	c22orf23
chr5	1171534168725	1171534169424	gstt2b(1of2)
chr5	2343068338159	2343068341077	slco3a1(3of3)
chr5	4686136679246	4686136679894	rpl8
chr5	9372273359150	9372273360409	rgs8(1of2)
chr5	18744546719569	18744546721108	chrm4(2of2)
chr5	37489093440687	37489093448691	prkrir(5of5)
chr5	74978186889388	74978186890810	gpr183(1of4)
chr5	149956373780208	149956373780639	c11orf88
chr5	299912747560857	299912747564033	mef2c(2of3)
chr5	599825495124900	599825495127352	gtpbp4
chr5	1199650990252262	1199650990253781	arl5b(1of2)
chr5	2399301980506053	2399301980507189	haus4
chr5	4798603961013252	4798603961014948	uqcrc1
chr5	9597207922028210	9597207922029338	timm17a
chr5	19194415844057558	19194415844058740	hsd17b3
chr5	38388831688116308	38388831688118921	tp63
chr5	76777663376235239	76777663376235999	thap4(3of6)
chr5	153555326752471248	153555326752474075	LOC107380904
chr5	307110653504945333	307110653504945986	myo7a(5of8)
chr5	614221307009891329	614221307009897242	myh9(2of2)
chr5	1228442614019788581	1228442614019790205	lrrc27
chr5	2456885228039578796	2456885228039580930	fam131b(1of2)
chr5	4913770456079159736	4913770456079161667	endod1(2of8)
chr5	9827540912158321413	9827540912158322226	cryba1(4of4)
chr5	19655081824316643649	19655081824316645414	gje1
chr5	39310163648633289073	39310163648633291237	acvr2b(2of2)
chr5	78620327297266580320	78620327297266589930	kalrn(1of2)
chr5	157240654594533170260	157240654594533171603	fam8a1(2of2)
chr5	314481309189066341873	314481309189066351068	shank2(3of3)
chr5	628962618378132692951	628962618378132696123	LOC107389169
chr5	1257925236756265389084	1257925236756265390869	ubox5
chr5	2515850473512530779963	2515850473512530782539	fam110b(1of2)
chr5	5031700947025061562512	5031700947025061562868	sspo(4of4)
chr5	10063401894050123125390	10063401894050123129456	crb1(3of4)
chr5	20126803788100246254856	20126803788100246258699	syde2(1of2)
chr5	40253607576200492513565	40253607576200492514464	surf1
chr5	80507215152400985028039	80507215152400985029706	prrt1(1of2)
chr6	1	1888	eif2d
chr6	1899	3534	ube2m(2of2)
chr6	5443	8483	ube2q2(2of2)
chr6	13936	14547	znf112(5of5)
chr6	28493	30033	oxa1l
chr6	58536	65108	zfp518a(2of2)
chr6	123654	126954	rapgef1(1of2)
chr6	250618	252913	sept7(1of3)
chr6	503541	504497	LOC107389325
chr6	1008048	1012744	fam184a(2of2)
chr6	2020802	2021566	cxcl10(1of3)
chr6	4042378	4043637	rdh16(2of2)
chr6	8086025	8091481	strn4
chr6	16177516	16181052	ube3a(2of2)
chr6	32358578	32360289	fgb
chr6	64718877	64720430	ncf2(3of3)
chr6	129439317	129441461	LOC107388366
chr6	258880788	258883118	best2
chr6	517763916	517764275	pmp2
chr6	1035528201	1035531394	adcyap1(1of2)
chr6	2071059605	2071062286	zbtb5(1of2)
chr6	4142121901	4142123617	LOC107373567
chr6	8284245528	8284246318	acot13
chr6	16568491856	16568493379	siglec1(2of6)
chr6	33136985245	33136987454	tll2(2of2)
chr6	66273972709	66273977434	furin(2of2)
chr6	132547950153	132547951709	pip4k2c(2of2)
chr6	265095901872	265095903143	dmbt1(2of3)
chr6	530191805025	530191807404	lag3(1of2)
chr6	1060383612439	1060383614691	ermn
chr6	2120767227140	2120767232119	diaph3(3of4)
chr6	4241534459269	4241534474802	pkd1(3of3)
chr6	8483068934081	8483068934506	p2rx7(9of10)
chr6	16966137868597	16966137868974	dntt(3of3)
chr6	33932275737581	33932275741785	ptprc
chr6	67864551479376	67864551481538	zc3h4(1of2)
chr6	135729102960924	135729102962940	gnaq(2of4)
chr6	271458205923874	271458205925245	fev
chr6	542916411849129	542916411852196	mboat7
chr6	1085832823701335	1085832823703020	LOC107388016
chr6	2171665647404365	2171665647408431	wwc1
chr6	4343331294812806	4343331294815795	opcml
chr6	8686662589628611	8686662589631435	cyp26c1
chr6	17373325179260056	17373325179261508	stx3(2of2)
chr6	34746650358521574	34746650358522693	LOC107391917
chr6	69493300717044277	69493300717045191	emc3(2of2)
chr6	138986601434089478	138986601434090949	myo15b(2of2)
chr6	277973202868180437	277973202868181453	msrb2
chr6	555946405736361900	555946405736364552	insc(1of2)
chr6	1111892811472726462	1111892811472729730	zhx1(3of3)
chr6	2223785622945456202	2223785622945458648	fgf13(2of2)
chr6	4447571245890914860	4447571245890916519	pla1a
chr6	8895142491781831389	8895142491781832483	aptx
chr6	17790284983563663882	17790284983563666191	mfap4(1of4)
chr6	35580569967127330083	35580569967127333144	hook2
chr6	71161139934254663237	71161139934254665806	pdpr
chr6	142322279868509329053	142322279868509329663	gtf3c6
chr6	284644559737018658726	284644559737018659552	p2rx7(10of10)
chr6	569289119474037318288	569289119474037321335	pitpnb(2of2)
chr6	1138578238948074639633	1138578238948074644271	magi3(4of4)
chr6	2277156477896149283914	2277156477896149286018	epo
chr6	4554312955792298569942	4554312955792298571819	cldn4(12of19)
chr6	9108625911584597141771	9108625911584597142327	nefh(5of6)
chr6	18217251823169194284108	18217251823169194285928	scamp4
chr6	36434503646338388570046	36434503646338388572915	fam134c
chr6	72869007292676777142971	72869007292676777144310	ebi3
chr7	1	2274	dgat1(1of3)
chr7	2285	5044	mfi2(1of2)
chr7	7339	9441	adcyap1(2of2)
chr7	16790	19225	ifi27(3of3)
chr7	36025	39860	vcl(1of2)
chr7	75895	78578	adam10(3of3)
chr7	154483	158625	rsbn1
chr7	313118	313915	kcnq1(2of2)
chr7	627043	628933	tdp1
chr7	1255986	1260503	ntrk2(1of2)
chr7	2516499	2519396	glra2
chr7	5035905	5038883	plk4
chr7	10074798	10075180	ssbp1(1of2)
chr7	20149988	20151564	nfix(2of3)
chr7	40301562	40305159	hipk2(2of6)
chr7	80606731	80612881	zfp516(1of2)
chr7	161219622	161219989	blmh(2of2)
chr7	322439621	322442749	mgrn1
chr7	644882380	644883116	dtd2(1of2)
chr7	1289765506	1289771135	akap12(1of2)
chr7	2579536651	2579544090	arhgap5
chr7	5159080751	5159082596	chrnb2(1of3)
chr7	10318163357	10318168028	pcdh18(1of2)
chr7	20636331395	20636336011	tbc1d2b
chr7	41272667416	41272669279	znf235(14of148)
chr7	82545336705	82545342355	nlrc3(15of24)
chr7	165090679070	165090680053	selt(2of2)
chr7	330181359133	330181359552	fam20c(4of6)
chr7	660362718695	660362719820	dusp26(5of5)
chr7	1320725438525	1320725438689	arnt2(1of3)
chr7	2641450877224	2641450878873	papln(1of6)
chr7	5282901756107	5282901760011	phtf2(2of2)
chr7	10565803516128	10565803518002	clptm1l(1of2)
chr7	21131607034140	21131607034944	tp53rk
chr7	42263214069094	42263214077464	dscam(2of3)
chr7	84526428146568	84526428148204	btg4(1of2)
chr7	169052856294782	169052856297850	mov10(2of2)
chr7	338105712592642	338105712599464	col11a1(2of4)
chr7	676211425192116	676211425195633	calcoco1(1of2)
chr7	1352422850387759	1352422850388478	urm1
chr7	2704845700776247	2704845700780069	cul4b(1of2)
chr7	5409691401556326	5409691401558511	msi2
chr7	10819382803114847	10819382803117502	gpc3
chr7	21638765606232359	21638765606233779	synj2bp
chr7	43277531212466148	43277531212467669	h3f3a(3of6)
chr7	86555062424933827	86555062424935915	lpcat1(3of3)
chr7	173110124849869752	173110124849875445	cep152
chr7	346220249699745207	346220249699746180	zp1(2of5)
chr7	692440499399491397	692440499399492077	iscu(1of2)
chr7	1384880998798983484	1384880998798985535	tcf25
chr7	2769761997597969029	2769761997597970603	dap
chr7	5539523995195939642	5539523995195940646	gapdh(2of2)
chr7	11079047990391880298	11079047990391884414	gpc6(2of4)
chr7	22158095980783764722	22158095980783765800	prss3(2of2)
chr7	44316191961567530532	44316191961567531926	mxd1(1of2)
chr7	88632383923135062468	88632383923135063298	chmp5(1of2)
chr7	177264767846270125776	177264767846270130640	myrip(2of2)
chr7	354529535692540256426	354529535692540257831	lin7b
chr7	709059071385080514267	709059071385080519162	abcb11(2of2)
chr7	1418118142770161033439	1418118142770161034514	slc22a3
chr7	2836236285540322067963	2836236285540322071149	tdrd5
chr7	5672472571080644139122	5672472571080644149044	fcgbp(1of3)
chr7	11344945142161288288176	11344945142161288290195	znf235(62of148)
chr7	22689890284322576578381	22689890284322576579842	mrc2(12of12)
chr7	45379780568645153158233	45379780568645153161195	srgap3(2of4)
chr7	90759561137290306319438	90759561137290306321073	cish(1of2)
chr8	1	2128	tmem51(2of2)
chr8	2139	3939	cfap99
chr8	6088	7490	c21orf62
chr8	13588	14753	gabbr1(1of3)
chr8	28351	30890	LOC107391421
chr8	59251	65737	sh3rf1
chr8	124998	130447	iqgap1(2of2)
chr8	255455	257793	fam78a
chr8	513258	514174	LOC107397346
chr8	1027442	1031312	samd3(1of10)
chr8	2058764	2068495	ehbp1(1of2)
chr8	4127269	4129054	nucb1
chr8	8256333	8258165	ubxn4
chr8	16514508	16515409	mog(1of3)
chr8	33029927	33031727	mthfd2
chr8	66061664	66062913	crcp
chr8	132124587	132126187	eif2s3
chr8	264250784	264263195	zbtb48(1of2)
chr8	528513989	528519456	sptbn1(6of6)
chr8	1057033455	1057036523	hdac9
chr8	2114069988	2114071437	figf
chr8	4228141435	4228142920	auh
chr8	8456284365	8456286574	bcas2
chr8	16912570949	16912571844	mrps18a
chr8	33825142803	33825144168	elavl1(1of2)
chr8	67650286981	67650287854	mrpl2
chr8	135300574845	135300575826	fam173a(2of2)
chr8	270601150681	270601153714	ptpre(2of2)
chr8	541202304405	541202311501	nfix(1of3)
chr8	1082404615916	1082404618690	zc3h3
chr8	2164809234616	2164809236231	ugt2a2(5of7)
chr8	4329618470857	4329618475356	fanci
chr8	8659236946223	8659236952653	ash1l(2of2)
chr8	17318473898886	17318473901695	mysm1
chr8	34636947800591	34636947803082	dhx15(1of2)
chr8	69273895603683	69273895608764	ext1(4of4)
chr8	138547791212457	138547791214238	igfbp5(2of2)
chr8	277095582426705	277095582427865	LOC107373368
chr8	554191164854580	554191164856485	pik3ip1
chr8	1108382329711075	1108382329712777	dnajc25
chr8	2216764659423862	2216764659428432	slitrk3(2of2)
chr8	4433529318852304	4433529318856340	ap1b1
chr8	8867058637708654	8867058637715323	rttn
chr8	17734117275423987	17734117275429216	csmd3(8of9)
chr8	35468234550853213	35468234550855048	sept7(3of3)
chr8	70936469101708271	70936469101709722	c8orf82
chr8	141872938203418003	141872938203419051	znf146(5of7)
chr8	283745876406837064	283745876406838648	st8sia2
chr8	567491752813675722	567491752813678528	txlna
chr8	1134983505627354260	1134983505627357031	LOC107389541
chr8	2269967011254711301	2269967011254715829	usp53(1of2)
chr8	4539934022509427140	4539934022509428902	c1orf131
chr8	9079868045018856052	9079868045018864669	ncoa1
chr8	18159736090037720731	18159736090037724554	atad2(2of2)
chr8	36319472180075445295	36319472180075447162	dapk2
chr8	72638944360150892467	72638944360150893056	tm2d1
chr8	145277888720301785533	145277888720301787256	slc30a10
chr8	290555777440603572799	290555777440603574046	tatdn1
chr8	581111554881207146855	581111554881207150609	zfp574
chr8	1162223109762414297474	1162223109762414299161	eno1
chr8	2324446219524828596645	2324446219524828600321	itga6(1of3)
chr8	4648892439049657196976	4648892439049657198764	srrm5
chr8	9297784878099314395750	9297784878099314397873	guf1
chr8	18595569756198628793633	18595569756198628795402	ap3m2
chr8	37191139512397257589045	37191139512397257591942	cadm2(2of3)
chr8	74382279024794515180997	74382279024794515184089	caskin1(2of5)
chr9	1	1199	glyatl3
chr9	1210	7185	numa1
chr9	8405	8772	mical3(2of6)
chr9	17187	24553	tjp1(1of2)
chr9	41750	43788	usp12(1of5)
chr9	85548	86235	eml2(1of2)
chr9	171793	173811	nefl(1of3)
chr9	345614	346904	tmem53(3of3)
chr9	692528	695427	map3k7
chr9	1387965	1393302	chpf
chr9	2781277	2783708	nol4l(1of2)
chr9	5564995	5566296	dffa
chr9	11131301	11133286	sms
chr9	22264597	22265282	irak1bp1
chr9	44529889	44534806	LOC107389053
chr9	89064705	89070143	cttnbp2
chr9	178134858	178139232	tjp2
chr9	356274100	356276384	rock2(2of4)
chr9	712550494	712552778	slc18a3(2of2)
chr9	1425103282	1425103605	rtl1(8of17)
chr9	2850206897	2850208100	use1
chr9	5700415007	5700418834	fzd4
chr9	11400833851	11400835220	cdh23(1of3)
chr9	22801669081	22801670509	pdzd11
chr9	45603339600	45603343939	asap2(1of2)
chr9	91206683549	91206686725	axdnd1
chr9	182413370284	182413371709	LOC107385466
chr9	364826742003	364826746402	rps6kc1
chr9	729653488415	729653491159	hectd3
chr9	1459306979584	1459306981328	spata2(2of2)
chr9	2918613960922	2918613963064	kcmf1(1of2)
chr9	5837227923996	5837227927355	gas1(2of3)
chr9	11674455851361	11674455853899	mpst(1of2)
chr9	23348911705270	23348911707014	foxh1(1of2)
chr9	46697823412294	46697823414026	flad1
chr9	93395646826330	93395646827981	fads2(1of4)
chr9	186791293654321	186791293656186	ate1
chr9	373582587310517	373582587313812	fbxo40(2of3)
chr9	747165174624339	747165174631429	arhgef18(1of2)
chr9	1494330349255778	1494330349257568	cd200r1
chr9	2988660698513356	2988660698514295	dhdh(2of3)
chr9	5977321397027661	5977321397029056	hsd11b1l(1of2)
chr9	11954642794056727	11954642794066944	tacc2
chr9	23909285588123681	23909285588126293	ubn1
chr9	47818571176249984	47818571176254791	sort1(2of3)
chr9	95637142352504785	95637142352505928	papln(2of6)
chr9	191274284705010723	191274284705012203	sertm1
chr9	382548569410022936	382548569410025640	igsf21
chr9	765097138820048586	765097138820056424	pde4dip(2of3)
chr9	1530194277640105020	1530194277640106797	wwox
chr9	3060388555280211827	3060388555280211930	pet117
chr9	6120777110560423767	6120777110560424819	ninj1(2of2)
chr9	12241554221120848596	12241554221120849813	LOC107377679
chr9	24483108442241698419	24483108442241699615	aldob
chr9	48966216884483398044	48966216884483403883	nalcn
chr9	97932433768966801937	97932433768966802234	phf5a
chr9	195864867537933604181	195864867537933608791	adcy2(1of4)
chr9	391729735075867212982	391729735075867215425	ufl1
chr9	783459470151734428417	783459470151734431586	pknox2
chr9	1566918940303468860013	1566918940303468863469	tex2(4of4)
chr9	3133837880606937723492	3133837880606937725404	slc29a3
chr9	6267675761213875448906	6267675761213875452117	tmem132d(7of7)
chr9	12535351522427750901033	12535351522427750904946	zfp280d
chr9	25070703044855501805989	25070703044855501808016	hcrtr2
chr9	50141406089711003614015	50141406089711003619098	grip2
