id,qval,Log2Fold
faah,0.108980714,-0.265133835
jun(2of2),0.109005905,0.238723277
pgbd4(9of12),0.109085916,-0.383887946
otud1(2of2),0.109215882,-0.52335647
ihh(1of2),0.109216679,-0.274243959
hmga1,0.109235819,-0.20550503
ghitm,0.109309077,0.17770846
sox21,0.109336358,0.224990631
ubtf(2of3),0.109376979,-0.202311818
epb41l2,0.109402003,-0.171384089
rbm33,0.109406395,0.175484451
rrm1(1of2),0.109410091,0.290286084
smim15,0.109416717,0.177239258
actr3(1of3),0.109455559,1.817643044
emilin3(2of2),0.109489145,-0.281781632
zbtb45,0.109534025,-0.200625102
gng5(3of3),0.109552975,0.190587875
l3mbtl1,0.109572374,-0.380660697
acot11(2of2),0.109715349,-0.186653905
atf6b,0.109719466,0.194153551
mrpl39,0.109772393,0.168956025
zbtb17,0.109780811,0.257143963
nynrin(7of15),0.109816147,-0.17781764
sp8(1of2),0.109860815,0.258660072
shroom2(2of2),0.110054443,0.252488791
zbed4(37of38),0.110212186,-0.352883971
dcaf5,0.110228777,0.1851592
LOC107372604,0.110269858,-0.361780949
es1(1of3),0.1102706,0.40376435
exosc9,0.110315558,0.268499152
rtl1(10of17),0.110481435,-0.485328353
recql(1of2),0.110513186,0.249393721
ywhag(2of2),0.110568222,-0.403017407
nelfa,0.110646161,0.200165012
bbx,0.110656707,-0.257941577
gtpbp3,0.110682963,-0.332027252
syndig1(4of4),0.110761972,-0.320728147
aldh6a1,0.110800467,0.168195311
twsg1,0.110817226,0.317384919
tcf7(1of4),0.110838965,-0.244278793
adat1,0.110859468,-0.399163091
nr2f2(3of3),0.110867358,-0.240143176
hoxb1(1of3),0.110989308,0.417890155
tasp1,0.11116042,-0.240396796
tma7,0.111243432,0.194186008
plp2,0.111307663,0.167452035
klhl17(1of2),0.11137881,-0.281916936
myl1(2of2),0.111396258,0.249780662
gtpbp2(2of2),0.111417879,-0.202829251
rfxap,0.111420558,0.189776657
lgals3(1of6),0.111477503,-0.257932746
kmt2d(1of5),0.111488976,-0.609401429
bmpr1a,0.11150267,0.171794248
pdzd2(1of2),0.111523777,-0.261381609
gtpbp2(1of2),0.11159139,-0.199922721
LOC107395623,0.111629656,-0.608553649
e2f6(1of2),0.111663693,0.181682376
rrp8,0.111738933,-0.167144826
LOC107395635,0.111740113,-0.328856203
ptprn2(1of2),0.111805242,-0.228516923
fam129b,0.111815397,0.171921745
col8a1(4of4),0.111829946,-0.755775909
cdc42(1of4),0.111867335,0.367899326
stk3,0.111896153,0.283880117
emp2(1of3),0.111941201,0.171506656
gsn(3of3),0.111949191,0.195795968
cbx4(2of2),0.112103478,-0.175493639
tmem154,0.112234353,0.396455593
kmt2c(2of3),0.112300182,-0.209573562
kdm6b(2of2),0.112312026,-0.266252372
herpud1,0.112331865,0.168122891
b3galt4,0.112345573,-0.298501256
utp18,0.112348483,0.169153926
gpkow,0.112353732,0.175223896
pik3cb(2of2),0.112396811,0.173167991
riok2,0.112398515,0.172831349
usp6nl(2of3),0.112401022,-0.22414377
dnaaf3,0.112407416,-0.433907454
LOC107395533,0.112426617,-0.190469235
brf1(2of2),0.112433472,-0.191769819
znf658(3of5),0.112449768,0.260669513
mrpl10,0.112459025,0.178000632
c7orf49,0.112465137,0.41640946
rbfox2(2of2),0.112589989,-0.272812175
gdpd5(1of2),0.11261326,-0.317279116
mrc1(18of18),0.112627869,-0.334531274
pabpc1(2of3),0.112636896,-0.202831674
fau,0.112766611,-0.203931644
pcbp3(1of3),0.112787663,0.330761476
ppil3,0.112821627,0.213373625
LOC107396748,0.112871818,-0.202816784
irf5(1of2),0.112876242,-0.176567446
gstz1(3of3),0.112897881,0.186788947
enthd2,0.112943456,-0.265134369
bcap29(1of2),0.11301983,0.295872835
csrnp2(2of2),0.113073031,0.355374146
neu1(1of2),0.113109511,0.255283558
dlx5,0.113134474,0.269799004
tex10(2of2),0.113141697,0.277732049
jazf1(1of2),0.113161404,-0.184108975
slc26a5(1of2),0.113263696,-0.314046251
epb41l5,0.113294229,-0.168145412
mlh1,0.113304492,-0.210940574
ppp1r3a(4of4),0.113389844,0.177125004
mb21d2(1of2),0.113435119,-0.319054248
dhrs3,0.113450768,0.250194306
LOC107390974,0.113451273,-0.496402583
krt12,0.1134726,1.215608859
pstpip1(1of2),0.1135465,-0.337222272
secisbp2l,0.113586551,-0.179680634
mettl14,0.113619939,-0.224666634
tnrc6c(2of2),0.113664656,-0.215461167
wrap53,0.113674315,0.170024881
pnpla2(1of5),0.113702918,0.239944982
rtn4(3of3),0.113735805,-0.208061493
psmg4,0.113762573,0.212977533
b4galt3(1of2),0.113765469,-0.16676725
srl(2of2),0.11378095,-0.258838717
tgs1,0.11382383,-0.183220201
ace(5of6),0.113838939,1.100346761
kdm7a,0.113869172,-0.186358907
cir1,0.113888927,0.166202722
rps7,0.11392329,-0.221373675
hmgn1(2of2),0.113949716,0.206830079
LOC107397203,0.113995035,-0.2364529
mtus1(2of2),0.114002342,0.224177639
bmp2(1of2),0.114006947,0.253234298
nos1ap(3of3),0.114106103,-0.201601146
b3galnt2,0.11424369,-0.288946056
pdp1(2of3),0.114302969,0.188265376
nat16(2of2),0.114401348,-0.335048123
tyms,0.114424581,0.367003767
LOC107386593,0.114465701,-0.446158027
fbln2,0.114476441,-0.226829075
mrps31,0.114556799,0.242544688
scap,0.114632788,-0.183071788
schip1(1of3),0.114685567,0.165769042
adk(3of3),0.114789733,0.262631924
dcaf4,0.114801444,0.172909978
nuak1(2of2),0.114808713,-0.230488054
prkx,0.114825862,0.302683621
aste1,0.114842399,-0.203376384
adprm(2of2),0.114846881,-0.263954616
LOC107394498,0.114869533,0.319636733
fam20a,0.1148893,-0.269518154
trak1(1of3),0.114935635,-0.21475222
or52d1(2of5),0.114997082,-0.318295285
sh3rf1,0.115073543,-0.168681308
nudt1,0.115200544,0.182138604
scyl3,0.115243492,0.182547618
tdg(2of2),0.115309454,0.225957659
sgms2(1of2),0.115346613,-0.290035689
u2surp(1of2),0.11536771,-0.165981128
pcmt1(2of2),0.115398305,0.234459853
mipol1,0.115538171,0.186749722
chst8,0.115575315,-0.348843966
klf6(2of2),0.115661783,0.17325879
wdr34,0.11567221,-0.17383696
sfxn2,0.115702306,0.235329715
tprg1l(1of2),0.115726932,-0.242790937
smn1(1of2),0.115828527,0.238599671
gng3,0.115859753,-0.228248935
mchr1(3of3),0.11591917,0.214733752
rmnd5b,0.115933443,0.306687173
c9orf172(1of2),0.115938783,0.179580332
sept5(2of2),0.116106731,-0.258537084
rpl21,0.116153333,-0.215352839
tax1bp1(2of4),0.116213082,0.165106263
mettl15,0.116400046,0.188575718
rock1(1of2),0.116408363,-0.366564935
grhpr(2of3),0.116457734,-0.291370818
sod1(2of2),0.116497432,0.218078179
fpgs,0.116543117,-0.220229323
tmem39b(2of2),0.11657066,0.166494185
ift122,0.116722314,-0.226860535
cd79a,0.116738879,0.267012016
mark3(1of2),0.116966064,-0.226215223
josd2,0.117060971,0.199865595
c15orf43,0.117121026,0.380628937
c1orf106(2of2),0.117222023,-0.268376223
corin,0.117300647,0.499756125
hgh1,0.117362413,0.16477346
trdn(1of3),0.117363788,0.236893951
rab6b(2of2),0.117400921,0.183861607
antxr2(2of2),0.117502024,-0.397394013
osgin2(1of2),0.117561859,-0.388151778
rwdd2b,0.117570421,0.300893667
sfrp2(1of2),0.117609827,0.194568601
sap18,0.117622802,0.165029605
clec4e(3of4),0.117635855,-0.408916272
nup35,0.117724851,0.176706433
dolpp1,0.117734764,-0.434539928
LOC107382948,0.117767751,0.175072546
gpn1,0.117774529,0.174344213
rims4,0.117870182,-0.261514814
sgip1,0.117900914,-0.249607021
mt_cyb,0.117914739,0.237659383
exd2,0.117976028,0.195965171
cd40(6of6),0.117988901,-0.341170034
LOC107373345,0.118000364,-0.553183551
LOC107373152,0.118113408,-0.476764416
lipt1,0.1181618,0.289096576
hoxc4(1of3),0.118167771,0.209326274
hnrnpul2,0.118180307,0.242967327
pllp,0.118340729,-0.243461489
sgk3,0.118356941,0.311848657
crim1(1of2),0.118387454,0.179335629
whamm,0.118391481,-0.187946667
gatsl3,0.118391591,0.170770328
katnb1,0.118483747,-0.203103213
gdpd1,0.118528948,-0.236393525
LOC107377023,0.118642998,-0.467214846
nudt12,0.11864487,0.189895488
smc1b(1of2),0.118781,-0.402602101
cav2(1of3),0.118881856,-0.262951411
yes1(2of2),0.118974572,0.185848676
hla-dpb1(2of2),0.119004454,-0.300293929
xrcc2,0.119027977,-0.18068924
pawr,0.119128895,0.194372406
col11a1(1of4),0.11916569,-0.383664085
cbr1(1of3),0.119264857,-0.179649124
zfp316,0.119266156,0.164772341
phactr2(1of3),0.119319889,-0.213354276
kpna6,0.119329159,0.186065231
thoc3,0.11934199,0.232773838
mars,0.119505865,-0.333762531
iqcc,0.11952795,-0.226801691
ccr1(3of5),0.119608007,-0.378705416
casd1,0.119651576,-0.168806204
gpr4(1of3),0.119658891,-0.373821936
ddx6(1of2),0.119775733,-0.371983184
mrps9,0.119803242,0.173460912
nfx1,0.119829139,-0.195977067
tyw1,0.11990685,0.171181068
erbb4(1of4),0.119937316,-0.212348738
gzf1(2of2),0.119961497,0.186325663
p4htm(1of2),0.119998292,-0.165381905
slc16a7(2of2),0.120088567,-0.223174005
LOC107394668,0.120178949,-0.591082296
rasa2,0.12023707,-0.189910807
chn2(1of2),0.12033429,-0.252123969
xcr1(1of4),0.120400843,-0.240879741
cfap20,0.120466976,0.249482015
rpl5(2of2),0.120487525,-0.225603719
atf6,0.120489469,0.208174235
paqr3(2of2),0.120569395,0.190045969
veph1,0.120596613,0.248663347
clcc1(1of2),0.120624571,0.202050289
cep112,0.120636376,-0.234294237
nmt1(2of2),0.120665955,0.236058401
pik3cg(2of2),0.120730976,-0.220969817
kbtbd8,0.120903894,0.290741691
hspg2(2of3),0.120940141,-0.202705433
aldh3b1(2of2),0.120940494,0.403771443
slc16a6(4of4),0.121039614,0.189164741
serpinf2,0.121068148,0.387739157
pcgf1,0.12113043,0.219569515
c8orf4(2of2),0.12122895,-0.241300359
csrp2(3of3),0.121243009,0.374166059
col15a1(5of5),0.121269462,-0.211506542
fa2h,0.121292046,-0.258298694
tdh(3of3),0.121493751,0.315363008
nit2,0.121539,-0.163696227
igf1r(2of2),0.121751267,-0.216845596
sac3d1,0.121830801,0.217829441
tmem14c(3of3),0.121839248,0.427116214
cyp24a1,0.121893729,-0.222022676
hmx3(3of3),0.122001101,-0.326023832
znf235(139of148),0.122146138,0.305945731
tead1(3of3),0.122149386,-0.167848492
tbc1d1,0.1221876,-0.213665753
LOC107396465,0.122194988,0.191303286
dact2(2of2),0.122210376,0.28829551
caprin1(2of2),0.122463186,0.167697388
slmap(2of2),0.122597935,-0.181286139
znf180(1of2),0.122617414,-0.187432283
rpl34,0.122663442,-0.178383566
pla2g12a,0.122664616,0.274023004
cxcr2(2of3),0.122691244,-0.346303596
scai,0.122730495,0.226403047
mydgf,0.122747593,0.295411153
bok(3of3),0.122793049,0.232797959
cd99l2(1of2),0.122850202,-0.19039067
hsp90b1,0.122852636,0.252445811
zhx1(2of3),0.122904559,-0.172161805
paox(2of2),0.122906705,-0.300428088
ndufaf5(2of3),0.122929548,-0.209466878
ap5m1,0.122952423,0.247202718
ccdc106(4of8),0.122958995,-0.399969807
etfb,0.123047422,-0.177716923
myl3(1of2),0.123085827,-1.607918222
slc9a3r1(1of2),0.123166925,0.223933647
ints7,0.123171163,-0.16603021
luc7l2,0.12319871,0.165174226
gp1bb,0.123212472,-0.47620833
smurf2(1of2),0.123249863,-0.18967323
mbtd1(2of4),0.123262423,-0.167238041
hoxd10,0.123265671,0.261453467
wdr36,0.123287636,-0.176678962
tmem30a(3of3),0.123475556,-0.326605243
ddx54,0.123563414,0.167876414
cdc27,0.123677813,0.178221346
spice1,0.123698146,-0.263798818
traf3,0.123716977,0.203842279
golim4,0.123725868,-0.16303484
gstt1,0.123735385,0.220104409
pnn,0.123776315,-0.199989941
anapc15,0.123820211,0.218753328
vamp1(1of4),0.123842234,0.400966626
wac(1of3),0.123988389,0.278408007
LOC107396831,0.124032363,-0.378775978
dnajb9(1of2),0.124037708,0.324279742
prkab2,0.12404223,0.184598913
tcf20(3of3),0.124071694,0.221648467
fmnl3,0.12409598,0.17131785
ap3m1,0.124103941,0.21482424
depdc1b,0.124121314,-0.16584966
ahnak2,0.124130548,-0.430403132
tgif1,0.12425001,0.161774008
plxdc2(2of2),0.124620432,-0.293513895
LOC107389161,0.124868833,0.344780951
LOC107383359,0.125038577,-0.270202492
ephb3(2of2),0.125099577,-0.189659794
ptprk,0.125123705,-0.176323278
nudt15,0.125128896,0.227586865
rpl6,0.125184907,-0.181564449
ttc7b,0.125259822,0.254452529
cdkl5(1of2),0.125314792,-0.289357467
cacna2d1(2of2),0.12540029,-0.23782852
ncaph,0.12551185,-0.231895352
wdr43,0.125514599,0.161166034
il12rb2(2of2),0.125527394,-0.288896763
mrps18c,0.125608582,0.174323179
rnf11(3of3),0.125615411,0.287513022
tor3a,0.125623653,0.23580169
zfand1,0.125648589,0.18647946
tmem47(3of3),0.125656657,-0.339586399
syde2(2of2),0.125667274,0.178432457
luzp2,0.12568138,0.38428777
actb,0.125711478,0.640285889
adhfe1(2of2),0.125713998,0.199835114
kif5b(2of3),0.125761952,-0.405458447
c19orf24,0.125762972,0.20511105
strip2,0.12579517,-0.269611824
hif3a,0.125836561,0.161122357
cnot6,0.125847326,0.16103759
wiz(1of2),0.125897433,-0.178971248
sun1(2of2),0.125977855,-0.400376915
scmh1(2of3),0.126022693,0.176801776
LOC107378857,0.126037524,-0.441922175
march5(1of2),0.126086813,0.1618178
mlana,0.126124262,-0.360089122
myo10(2of4),0.126138137,-0.184553294
il20rb,0.126232348,-0.220907073
lsm1,0.126259648,0.17611708
nabp1,0.126422898,0.172460563
esyt1(1of2),0.126499886,-0.203560976
phospho2,0.126506062,0.416311552
rpl17-c18orf32,0.12654389,-0.185209829
b4galt1(2of4),0.126581543,0.191582091
socs5(1of2),0.126608967,-0.189349024
herc3(2of2),0.126660743,0.2856332
tmem70,0.126690691,0.212267335
trmt10c,0.126740395,0.166455803
prune,0.126744231,0.278698044
zfp46(1of3),0.126850734,-0.352255725
LOC107388366,0.127040713,0.174650831
apoa4(3of4),0.127085681,0.830028715
slc30a4,0.127103736,0.234605667
btaf1(1of2),0.127192196,-0.713214142
LOC107375001,0.127246341,-0.298842624
LOC107373238,0.127383743,-0.425079747
mstn(1of2),0.127401244,-0.301850098
tle3(2of2),0.127492778,0.174137013
tekt2(2of2),0.12755736,-0.45668685
taf4a(3of5),0.127559118,-0.16940697
ggh(2of3),0.12759122,-0.319796486
hsf1,0.127605315,-0.160175614
yaf2(2of2),0.127630642,0.309918811
rtl1(4of17),0.127654333,-0.384182786
znf208(1of4),0.127682667,-0.163441579
LOC107394907,0.127734735,-0.333223973
lars,0.127895141,0.192443097
zfp410,0.127905576,0.160291501
orc5,0.127924048,0.289993173
rfxank,0.127978443,0.160399682
esam(1of2),0.127992063,0.335301204
asxl2,0.128016116,-0.199913756
LOC107373746,0.128060469,-0.242513461
surf1,0.128062502,0.232701296
mettl23,0.12812916,0.236029939
pms2,0.128209557,-0.210822588
hsd11b1(1of2),0.128260799,-0.333863254
rnf225(1of2),0.128311822,0.334062922
zfp703(2of2),0.128354029,0.180037732
tsc22d2(1of2),0.128400906,-0.284062952
g6pd(2of2),0.128510144,0.613249932
slc35f6,0.128594746,0.183680872
taok1(3of3),0.128754173,-0.159971686
senp5(2of2),0.128764742,-0.170265238
nrbp1(1of2),0.128782601,-0.163651247
lsm14a(2of2),0.128802054,0.159631552
clvs2,0.128802916,-0.248454285
slit2(2of2),0.128813842,0.266363141
nmur2(1of2),0.128872397,0.320205655
zfp367,0.128924209,-0.222228549
src(2of2),0.128986135,-0.325272406
rrs1,0.129022785,-0.181937144
mlph(1of2),0.129033908,-0.465286309
lemd3,0.129121577,0.170851163
nsun2,0.129157531,0.164883178
glyctk,0.129195037,0.217399793
tktl2,0.129233765,0.159998585
dtx4(2of3),0.129423702,-0.227134709
ccdc158(2of2),0.129504392,-0.212259597
nfatc4,0.129634401,-0.247900781
nynrin(10of15),0.129669506,-0.369091917
ndrg3(2of2),0.129739322,0.232474516
tial1,0.129754315,-0.159447268
zfp827,0.129798617,-0.160406321
bbs4,0.129922207,0.222061609
hoxa2(1of2),0.129953801,0.180040825
cfap77,0.129988816,0.209902268
il9r,0.129990631,-0.30770423
set(1of2),0.130050114,0.261962237
fmn2(4of4),0.130064013,-0.276430555
lef1(1of2),0.130144746,-0.194459119
grasp,0.130285324,0.17487223
map3k8,0.1303609,-0.168701063
LOC107382580,0.130378657,-0.464614688
plpp1(2of2),0.130419833,0.189408013
thap6(1of2),0.130638913,0.177173491
ptpmt1,0.130820961,0.192319849
tmem63a,0.130854345,0.309934727
grhl1,0.130901846,0.362026654
setd4,0.130959296,0.174109952
abhd2(1of2),0.13097319,-0.203184799
tgfbi,0.131009823,0.318662957
eif4g1(2of2),0.131021519,-0.158897332
otx1(1of2),0.131023765,0.248360201
ube2z,0.131139697,0.162655572
ece2(1of2),0.131192265,-0.324222414
fxr2,0.131221501,-0.159375224
ufsp1,0.131231352,-0.341862794
ccdc136(2of4),0.13127886,0.465172531
atg10,0.131298839,-0.162235196
slc50a1,0.131325219,-0.27375377
st14(4of4),0.131339462,-0.280384252
tsc22d3(1of2),0.131406435,0.205411657
supt4h1,0.131463526,0.190554381
prelid1(1of3),0.131570225,0.173129299
psmd4(2of2),0.131571728,0.15986095
LOC107376332,0.131572836,-0.369210964
cd84(1of2),0.131583303,-0.218405516
itch(1of2),0.131669477,-0.20845907
tmem56(2of2),0.131679068,-0.240191699
son(2of2),0.13172419,-0.19371276
plppr4(3of3),0.131813002,-0.644596538
harbi1(27of28),0.131817873,0.173643127
meis3,0.131832247,-0.260230435
ndufb7,0.13183414,0.159271546
mn1,0.13183598,-0.194203451
arhgap23(2of2),0.131836992,-0.174684078
tal1(2of2),0.131912621,0.264222517
usp48(2of5),0.131919033,-0.18067727
tmem241,0.13198439,0.223642965
znf226(4of4),0.132010845,-0.236412558
fermt2,0.132013593,-0.265389867
tmem107,0.132174629,0.1761827
tmtc1,0.132227469,-0.28900908
asb3,0.132286873,0.234973829
glo1,0.132346039,0.200804085
plcg1(2of2),0.132379786,-0.175023407
trim16(3of15),0.132422353,-0.247134081
minos1(2of2),0.132456048,0.210989615
zfp839,0.1325536,-0.19165888
eif4a2,0.132702682,0.158068319
pop1,0.132772672,-0.208328096
adcy3(3of3),0.132860394,-0.344609194
LOC107384930,0.132897611,0.460220445
otor,0.132979903,-0.17976724
trub1(1of2),0.133039811,0.1980783
knop1,0.133060995,0.186161492
runx1t1,0.133126718,-0.215692462
dtnbp1(3of3),0.133146393,-0.340577671
march7,0.133268194,0.176105129
hspb7(2of3),0.133289804,-0.420804827
LOC107379661,0.13335666,0.165446414
eogt,0.133463067,-0.35738421
c8orf88,0.133564909,-0.302060653
atxn2,0.13360067,-0.214877049
psmb3,0.133607215,0.157857904
gnrh1(2of2),0.133607253,-0.630296844
fbxo9,0.133674844,0.159422402
mdc1(1of2),0.13367937,-0.185433381
cars,0.13368808,0.177926259
gpr182,0.133734491,0.370418903
LOC107375078,0.133743557,-0.389582083
fam49b(3of3),0.133743994,-0.321589694
taf13,0.133750266,0.192835301
cyb5a,0.133767411,0.195637804
nfil3(3of5),0.133785474,-0.160773868
tctex1d2,0.134048962,0.26647165
stk26,0.134057177,0.169276643
lrrc8a(2of2),0.134206977,-0.188668508
usf3,0.134214762,-0.228643396
tmem51(1of2),0.134310397,0.183346601
LOC107382071,0.134329503,-0.455433723
rbp1(2of2),0.134341762,-0.360131225
apoo(1of2),0.134358568,-0.377400624
zfp566(2of2),0.134373764,-0.158207259
plppr5(3of3),0.134443705,-0.263848746
adgrf5(5of6),0.134499147,-0.268120409
rilpl1(2of3),0.134718146,0.168695499
aqp7,0.134733118,0.383235937
ccdc28b,0.134736905,-0.220597922
anapc16,0.134737475,0.171117185
LOC107395371,0.134762538,-0.206266342
trib2(2of2),0.134852024,0.184174879
calm3(3of4),0.13502765,0.157452484
atp6v0a1(2of2),0.135045935,0.163625807
stxbp6,0.135118423,0.188574367
orc3,0.135199011,-0.279198363
sbno1,0.135315948,-0.161827938
scaf1,0.135339949,-0.221434957
atp6v1c1(1of3),0.135380779,0.221020319
znf235(43of148),0.135383116,-0.166780044
vwa5b1,0.135432616,-0.297203786
rab31,0.13543727,-0.213302672
nup37,0.13546955,0.193096165
sptbn1(4of6),0.135497673,-0.159337373
hes5(1of5),0.135926724,0.227698891
rrm2b,0.136185567,0.1902829
cd9(5of5),0.1362052,-0.176344897
cxadr(2of2),0.136221716,0.207318832
hhex,0.136269232,-0.281724667
ube2d4(1of2),0.136288415,0.209439728
cpped1,0.136418967,0.366400292
utp11l,0.13644259,0.194575605
frmd6(1of2),0.136548976,0.220999641
tmem205(1of2),0.136566094,-0.183931787
clec10a(2of2),0.136618362,0.602813795
trim13,0.136626769,0.25198122
rnf121(1of2),0.136646638,0.212727937
gbf1(1of2),0.13667008,-0.225045352
pou3f4(1of3),0.13667749,-0.348493805
ankrd34a,0.136683595,-0.292409739
LOC107397263,0.136715619,0.360241868
camkmt,0.136761561,-0.259482104
ubr2,0.136961808,-0.233436783
tmem30a(1of3),0.13698132,0.212380308
c11orf54,0.137043688,0.258967333
lipg,0.1370511,0.238212834
cotl1,0.137082349,-0.228486882
mrpl4,0.137115923,0.170364177
ctns,0.137183587,0.174592233
ms4a4a(1of4),0.137193117,-0.189626089
col11a2,0.137309161,-0.282389903
egfl7,0.137328572,0.272363343
LOC107373799,0.13755754,-0.171540463
il6st(6of7),0.137558399,-0.212717344
st14(1of4),0.13760643,0.236702683
cc2d1a(2of2),0.137799395,-0.243125793
lix1l,0.13781864,-0.188702832
tmem243,0.137829098,-0.240906095
abt1,0.137863223,0.180365979
arl5b(1of2),0.137902597,0.157439623
nlrc3(19of24),0.137980474,0.342068842
c1orf112,0.138009961,-0.197369269
stxbp1(3of3),0.138038698,0.414712319
clp1,0.138061483,0.159152097
zmym4(4of4),0.138112151,-0.193956598
map4k5(1of3),0.138220723,0.159880043
mxra7,0.138267053,0.157855273
atp6v1h,0.138414676,0.166069724
gimap2,0.138533751,-0.234372229
slc6a13(6of6),0.138599316,-0.309851742
kcns2(2of2),0.138606689,-0.457642786
cldn8(3of4),0.138769009,-0.223264603
lxn,0.138800494,0.165947344
synpo2(1of2),0.138922774,-0.287949586
arpc3,0.139017391,0.202016607
pip4k2b,0.139142408,0.156942092
pycr2(2of2),0.139175964,0.18960326
znf235(65of148),0.13918007,0.237084311
alkbh8,0.139238985,0.1734756
rbm39(2of2),0.139258015,-0.171540629
tmco6,0.139266854,-0.174757209
rheb(1of2),0.13929241,-0.156467533
ebf3(2of3),0.139302648,-0.177787236
ugt1a1(2of2),0.139563085,0.289514158
swap70(1of3),0.139584643,-0.240966742
cask,0.139736239,-0.15597236
smdt1(1of2),0.13977657,0.18697362
nemf,0.139798059,-0.160446004
asf1a(2of2),0.139826598,0.211342378
apbb2(1of2),0.139925098,-0.222375312
samd14,0.139950985,-0.403048152
lmo1(1of2),0.139973394,-0.232122023
fbxl14(2of2),0.139973533,0.171899063
haus1,0.140100239,-0.330474283
tiam2(2of3),0.140254516,-0.241692751
slc6a11(2of4),0.140257045,-0.229089903
naglu,0.140288169,-0.321831043
sgms2(2of2),0.140502017,0.172580166
cox6b1(3of3),0.140536135,0.177240768
fbf1,0.140628367,-0.157403464
gin1(4of10),0.140703916,-0.281714746
parp12(3of3),0.140725724,0.224545929
znf235(90of148),0.140854026,0.155839
acaca,0.140919629,-0.22904663
htr3e,0.140960301,-0.299471482
duoxa2,0.141218529,0.448434819
hist2h2be(7of12),0.141220143,-0.471486199
pak2(2of2),0.14133379,-0.263736509
ube2t,0.141400826,0.241703433
ubtf(1of3),0.141658047,-0.154587616
lctl(1of2),0.14169555,0.189302536
cenpk,0.141759735,0.336353851
metap1,0.141966715,0.155378816
rps13,0.142011272,-0.171471677
angptl3(1of2),0.142011815,-0.35523118
sfrp5(1of3),0.142068453,-0.362718959
alg11(2of2),0.142177439,0.181653862
mrpl11,0.142303232,0.17513705
LOC107387421,0.14230419,0.377297439
mettl21a,0.142318804,-0.53378882
mxd1(2of2),0.142343466,-0.239216206
ogfod3,0.142455891,0.221276302
dnmbp,0.142459157,-0.162351927
ccdc14,0.14250785,-0.169675953
setd9,0.142563518,-0.253761902
ash2l,0.142604429,0.216798196
setdb1(2of4),0.142627066,-0.15510302
acvr2b(2of2),0.14274674,-0.33933143
ppl,0.142760549,0.288529605
macrod2,0.142791388,-0.266173691
gipc1(1of2),0.142894849,0.257545154
aco2(1of2),0.142948688,0.16417181
derl2,0.142971923,0.180163436
esyt3,0.142974404,0.294592618
stx12,0.14311743,0.187720836
klf1,0.143124672,-0.280202526
srp19,0.143148141,0.185022569
stip1(3of4),0.143200138,0.171532314
rfc2,0.143312328,0.189457648
ankrd49,0.143530288,0.186898211
lpp,0.14358786,-0.2291417
prdx5,0.143775699,-0.205577665
uck1,0.143868224,0.200306591
ash1l(1of2),0.143934421,-0.211313576
LOC107390332,0.143980571,0.204869245
LOC107395788,0.143985336,-0.603220328
rab44(1of2),0.144056381,0.284241565
zscan22(6of6),0.144181843,0.169658591
spen(1of2),0.144281946,-0.254687409
zfp46(2of3),0.14434874,0.18272111
spag17(3of4),0.144392668,0.376339312
ugp2(1of2),0.14440184,0.238653414
nog(4of4),0.144419451,0.306015452
kif1c,0.144424905,-0.18102751
fam219a(2of2),0.144454519,-0.180664161
dab2(1of2),0.144491183,0.206046662
pvrl1(3of3),0.144543213,0.201300041
c11orf98,0.144779066,0.175370781
fam117a(1of2),0.144789504,0.18684057
pkn2(1of6),0.144857635,-0.205213137
LOC107389230,0.144890875,0.159772635
ccnd1,0.144897033,0.21906022
rpl11,0.144944214,-0.2070753
ppp6r3,0.144961169,0.169084213
ice1,0.144977418,-0.176727934
morc3(2of2),0.145038854,0.15908221
nupl2,0.145077774,0.157941107
npy2r(3of3),0.145221395,-0.292359464
tbx19,0.145278053,-0.237755343
dzank1,0.145292869,-0.32415067
ttyh3(2of2),0.145301879,-0.194524583
tubb3(2of3),0.145332142,-0.237726962
zfp462(1of2),0.145394035,-0.155467364
sh2d4b,0.145442147,0.291876842
arf3(1of2),0.145444376,0.614872281
zhx2(1of2),0.145509652,-0.192302308
cand1(2of3),0.145509871,-0.159449011
magel2(1of4),0.145553065,-0.607578179
tcn2,0.145558805,0.212689304
fgfr2(1of2),0.145626806,-0.163987848
fam126b,0.145670377,-0.241256045
tmem223,0.145688956,0.212657535
zdhhc20,0.145883903,0.159145804
mog(2of3),0.14591919,0.214452316
dhfr(2of3),0.146010578,0.156309901
stat5b(3of4),0.146019897,0.349342615
zbtb40,0.146045469,0.156869526
arid3b(1of2),0.146122345,0.153842596
anxa2(1of3),0.146157226,0.317097239
eva1c(1of4),0.146209631,0.273964118
raf1,0.146298554,0.154029283
robo2(4of4),0.146450359,-0.247796043
cdc42se1,0.146456015,0.260120193
cd109,0.146535393,-0.255208027
slc9a6(2of2),0.146546624,0.170573868
ccdc106(2of8),0.146579172,0.429947939
sapcd2,0.146604795,0.190989869
bcl9,0.146628536,-0.159344683
stard10(2of3),0.146696898,0.379716118
arpc1a(2of2),0.146765275,0.335646426
rpusd2,0.146874979,0.240972891
acp2(2of2),0.146881484,-0.24704093
gpatch11,0.146885285,-0.201597999
top2b,0.146895577,-0.201121199
gtf3c1,0.146918362,-0.164575371
aqp4(1of2),0.146923291,-0.248671256
rwdd1,0.146977047,0.152845324
ugp2(2of2),0.147014089,0.218697593
