GOBPID,Term
GO:0002687,positive regulation of leukocyte migration
GO:0050921,positive regulation of chemotaxis
GO:0007164,establishment of tissue polarity
GO:0001736,establishment of planar polarity
GO:0021983,pituitary gland development
GO:0002520,immune system development
GO:0048333,mesodermal cell differentiation
GO:0042769,"DNA damage response, detection of DNA damage"
GO:0006027,glycosaminoglycan catabolic process
GO:0071173,spindle assembly checkpoint
GO:0048705,skeletal system morphogenesis
GO:0048485,sympathetic nervous system development
GO:0010631,epithelial cell migration
GO:0060147,regulation of posttranscriptional gene silencing
GO:0060966,regulation of gene silencing by RNA
GO:2001251,negative regulation of chromosome organization
GO:0044819,mitotic G1/S transition checkpoint
GO:0031571,mitotic G1 DNA damage checkpoint
GO:0002688,regulation of leukocyte chemotaxis
GO:2000060,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process
GO:0048592,eye morphogenesis
GO:0098727,maintenance of cell number
GO:0001738,morphogenesis of a polarized epithelium
GO:0050000,chromosome localization
GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0045685,regulation of glial cell differentiation
GO:0061351,neural precursor cell proliferation
GO:1901342,regulation of vasculature development
GO:0030855,epithelial cell differentiation
GO:0019827,stem cell population maintenance
GO:0090399,replicative senescence
GO:0007386,compartment pattern specification
GO:0021855,hypothalamus cell migration
GO:0001709,cell fate determination
GO:0006026,aminoglycan catabolic process
GO:0033047,regulation of mitotic sister chromatid segregation
GO:0042770,signal transduction in response to DNA damage
GO:0051272,positive regulation of cellular component movement
GO:0007379,segment specification
GO:0006297,"nucleotide-excision repair, DNA gap filling"
GO:0060425,lung morphogenesis
GO:1904018,positive regulation of vasculature development
GO:0050919,negative chemotaxis
GO:0007409,axonogenesis
GO:0048545,response to steroid hormone
GO:0000076,DNA replication checkpoint
GO:0021984,adenohypophysis development
GO:2000147,positive regulation of cell motility
GO:0007129,synapsis
GO:0060572,morphogenesis of an epithelial bud
GO:0008406,gonad development
GO:0009798,axis specification
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle
GO:0006950,response to stress
GO:0048486,parasympathetic nervous system development
GO:0071542,dopaminergic neuron differentiation
GO:0032613,interleukin-10 production
GO:1990523,bone regeneration
GO:0060447,bud outgrowth involved in lung branching
GO:0060853,Notch signaling pathway involved in arterial endothelial cell fate commitment
GO:0010032,meiotic chromosome condensation
GO:0021687,cerebellar molecular layer morphogenesis
GO:0021688,cerebellar molecular layer formation
GO:0021871,forebrain regionalization
GO:0003006,developmental process involved in reproduction
GO:0051310,metaphase plate congression
GO:0060071,"Wnt signaling pathway, planar cell polarity pathway"
GO:0032355,response to estradiol
GO:0016446,somatic hypermutation of immunoglobulin genes
GO:0060623,regulation of chromosome condensation
GO:0006023,aminoglycan biosynthetic process
GO:0006024,glycosaminoglycan biosynthetic process
GO:0072422,signal transduction involved in DNA damage checkpoint
GO:0072401,signal transduction involved in DNA integrity checkpoint
GO:0006304,DNA modification
GO:0000281,mitotic cytokinesis
GO:0009628,response to abiotic stimulus
GO:0051960,regulation of nervous system development
GO:0071478,cellular response to radiation
GO:0071774,response to fibroblast growth factor
GO:0019731,antibacterial humoral response
GO:0060837,blood vessel endothelial cell differentiation
GO:1990668,vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane
GO:0060023,soft palate development
GO:0016102,diterpenoid biosynthetic process
GO:0014029,neural crest formation
GO:0001757,somite specification
GO:0035910,ascending aorta morphogenesis
GO:0035905,ascending aorta development
GO:0002138,retinoic acid biosynthetic process
GO:0097476,spinal cord motor neuron migration
GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
GO:0090175,regulation of establishment of planar polarity
GO:0048546,digestive tract morphogenesis
GO:0021987,cerebral cortex development
GO:0048708,astrocyte differentiation
GO:0071495,cellular response to endogenous stimulus
GO:0045137,development of primary sexual characteristics
GO:0061458,reproductive system development
GO:0060964,regulation of gene silencing by miRNA
GO:0048608,reproductive structure development
GO:0060284,regulation of cell development
GO:0008593,regulation of Notch signaling pathway
GO:0002227,innate immune response in mucosa
GO:0061564,axon development
GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0033555,multicellular organismal response to stress
GO:0060563,neuroepithelial cell differentiation
GO:0010965,regulation of mitotic sister chromatid separation
GO:2001020,regulation of response to DNA damage stimulus
GO:0072207,metanephric epithelium development
GO:0035883,enteroendocrine cell differentiation
GO:0044783,G1 DNA damage checkpoint
GO:0090263,positive regulation of canonical Wnt signaling pathway
GO:0051347,positive regulation of transferase activity
GO:0048532,anatomical structure arrangement
GO:0098743,cell aggregation
GO:0001502,cartilage condensation
GO:0010001,glial cell differentiation
GO:0021783,preganglionic parasympathetic fiber development
GO:0021511,spinal cord patterning
GO:0044344,cellular response to fibroblast growth factor stimulus
GO:0001649,osteoblast differentiation
GO:0050673,epithelial cell proliferation
GO:0033044,regulation of chromosome organization
GO:0072413,signal transduction involved in mitotic cell cycle checkpoint
GO:1902402,signal transduction involved in mitotic DNA damage checkpoint
GO:1902403,signal transduction involved in mitotic DNA integrity checkpoint
GO:0051291,protein heterooligomerization
GO:0048534,hematopoietic or lymphoid organ development
GO:0040037,negative regulation of fibroblast growth factor receptor signaling pathway
GO:0030208,dermatan sulfate biosynthetic process
GO:0051383,kinetochore organization
GO:0032808,lacrimal gland development
GO:0014013,regulation of gliogenesis
GO:0014070,response to organic cyclic compound
GO:0030335,positive regulation of cell migration
GO:0051173,positive regulation of nitrogen compound metabolic process
GO:0010595,positive regulation of endothelial cell migration
GO:0016049,cell growth
GO:0045934,negative regulation of nucleobase-containing compound metabolic process
GO:0050922,negative regulation of chemotaxis
GO:0072273,metanephric nephron morphogenesis
GO:2000779,regulation of double-strand break repair
GO:0060707,trophoblast giant cell differentiation
GO:0009100,glycoprotein metabolic process
GO:0090307,mitotic spindle assembly
GO:0043279,response to alkaloid
GO:0030071,regulation of mitotic metaphase/anaphase transition
GO:1902099,regulation of metaphase/anaphase transition of cell cycle
GO:0060218,hematopoietic stem cell differentiation
GO:0042044,fluid transport
GO:0031325,positive regulation of cellular metabolic process
GO:0050679,positive regulation of epithelial cell proliferation
GO:0072331,signal transduction by p53 class mediator
GO:0016458,gene silencing
GO:0022414,reproductive process
GO:0051962,positive regulation of nervous system development
GO:0007292,female gamete generation
GO:0090329,regulation of DNA-dependent DNA replication
GO:0044702,single organism reproductive process
GO:0070734,histone H3-K27 methylation
GO:0031952,regulation of protein autophosphorylation
GO:0030212,hyaluronan metabolic process
GO:0065003,macromolecular complex assembly
GO:0021781,glial cell fate commitment
GO:0021952,central nervous system projection neuron axonogenesis
GO:0032653,regulation of interleukin-10 production
GO:0045931,positive regulation of mitotic cell cycle
GO:0034284,response to monosaccharide
GO:0010628,positive regulation of gene expression
GO:0035148,tube formation
GO:0002690,positive regulation of leukocyte chemotaxis
GO:0030326,embryonic limb morphogenesis
GO:0035113,embryonic appendage morphogenesis
GO:0006275,regulation of DNA replication
GO:0031507,heterochromatin assembly
GO:0051988,regulation of attachment of spindle microtubules to kinetochore
GO:0007091,metaphase/anaphase transition of mitotic cell cycle
GO:0044784,metaphase/anaphase transition of cell cycle
GO:0048593,camera-type eye morphogenesis
GO:0090230,regulation of centromere complex assembly
GO:0051255,spindle midzone assembly
GO:0021957,corticospinal tract morphogenesis
GO:0045766,positive regulation of angiogenesis
GO:0050678,regulation of epithelial cell proliferation
GO:0036293,response to decreased oxygen levels
GO:0031100,organ regeneration
GO:0048146,positive regulation of fibroblast proliferation
GO:0048846,axon extension involved in axon guidance
GO:2000242,negative regulation of reproductive process
GO:1902284,neuron projection extension involved in neuron projection guidance
GO:0090090,negative regulation of canonical Wnt signaling pathway
GO:0090183,regulation of kidney development
GO:0060688,regulation of morphogenesis of a branching structure
GO:0072431,signal transduction involved in mitotic G1 DNA damage checkpoint
GO:1902400,intracellular signal transduction involved in G1 DNA damage checkpoint
GO:0042063,gliogenesis
GO:0040036,regulation of fibroblast growth factor receptor signaling pathway
GO:0002068,glandular epithelial cell development
GO:0070828,heterochromatin organization
GO:0030205,dermatan sulfate metabolic process
GO:0060513,prostatic bud formation
GO:0045830,positive regulation of isotype switching
GO:0021800,cerebral cortex tangential migration
GO:0021692,cerebellar Purkinje cell layer morphogenesis
GO:0040017,positive regulation of locomotion
GO:0001666,response to hypoxia
GO:0008217,regulation of blood pressure
GO:0031397,negative regulation of protein ubiquitination
GO:0030206,chondroitin sulfate biosynthetic process
GO:0071526,semaphorin-plexin signaling pathway
GO:0061640,cytoskeleton-dependent cytokinesis
GO:0051145,smooth muscle cell differentiation
GO:0031128,developmental induction
GO:0007600,sensory perception
GO:0035019,somatic stem cell population maintenance
GO:0033554,cellular response to stress
GO:0030111,regulation of Wnt signaling pathway
GO:0060070,canonical Wnt signaling pathway
GO:0007267,cell-cell signaling
GO:0007350,blastoderm segmentation
GO:0030540,female genitalia development
GO:0007094,mitotic spindle assembly checkpoint
GO:0070482,response to oxygen levels
GO:0070374,positive regulation of ERK1 and ERK2 cascade
GO:0003158,endothelium development
GO:0030334,regulation of cell migration
GO:0048645,organ formation
GO:0060602,branch elongation of an epithelium
GO:0060601,lateral sprouting from an epithelium
GO:0051984,positive regulation of chromosome segregation
GO:0051784,negative regulation of nuclear division
GO:2001022,positive regulation of response to DNA damage stimulus
GO:0045687,positive regulation of glial cell differentiation
GO:0042476,odontogenesis
GO:0097102,endothelial tip cell fate specification
GO:0048341,paraxial mesoderm formation
GO:0009157,deoxyribonucleoside monophosphate biosynthetic process
GO:0014015,positive regulation of gliogenesis
GO:0021545,cranial nerve development
GO:0002062,chondrocyte differentiation
GO:0009746,response to hexose
GO:1901135,carbohydrate derivative metabolic process
GO:0043436,oxoacid metabolic process
GO:0050767,regulation of neurogenesis
GO:0051169,nuclear transport
GO:2000145,regulation of cell motility
GO:0048484,enteric nervous system development
GO:0060638,mesenchymal-epithelial cell signaling
GO:0002315,marginal zone B cell differentiation
GO:0097475,motor neuron migration
GO:0008038,neuron recognition
GO:0098773,skin epidermis development
GO:0008584,male gonad development
GO:0046546,development of primary male sexual characteristics
GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling
GO:0035914,skeletal muscle cell differentiation
GO:0016053,organic acid biosynthetic process
GO:0046394,carboxylic acid biosynthetic process
GO:0097485,neuron projection guidance
GO:0030177,positive regulation of Wnt signaling pathway
GO:0045765,regulation of angiogenesis
GO:0060018,astrocyte fate commitment
GO:0048807,female genitalia morphogenesis
GO:0060467,negative regulation of fertilization
GO:0098532,histone H3-K27 trimethylation
GO:0060664,epithelial cell proliferation involved in salivary gland morphogenesis
GO:0061056,sclerotome development
GO:0010511,regulation of phosphatidylinositol biosynthetic process
GO:2000360,negative regulation of binding of sperm to zona pellucida
GO:2000359,regulation of binding of sperm to zona pellucida
GO:0010605,negative regulation of macromolecule metabolic process
GO:0060571,morphogenesis of an epithelial fold
GO:0072170,metanephric tubule development
GO:0000077,DNA damage checkpoint
GO:0007411,axon guidance
GO:0051262,protein tetramerization
GO:0051338,regulation of transferase activity
